Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,0.18101501,0.18101501,0.2523651,0.106333636,0.7430725,0.7430725,0.79403687,0.03450828,278.03308,278.03308,278.19873,0.28290024,3909732.5,3909732.5,3997747.2,129419260000.0,-1651773.5,-1651773.5,-1651907.8,3034656300.0
2019-01-02,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,-1.0378437,-1.0378437,-1.0504475,0.012379786,0.7508726,0.7508726,0.75166607,0.00037195906,278.21393,278.21393,278.27734,0.50727046,7301060.0,7301060.0,7489710.0,280344500000.0,-4334766.5,-4334766.5,-4365513.0,11469701000.0
2019-01-03,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,1.7440987,1.7440987,1.7853584,0.021983624,-0.88002014,-0.88002014,-0.9273834,0.106249034,273.41302,273.41302,273.4077,0.4080342,698589.06,698589.06,688452.56,4949633500.0,-489930.3,-489930.3,-475248.0,3565925400.0
2019-01-04,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,0.9148865,0.9148865,0.957489,0.022218093,-0.7932062,-0.7932062,-0.84462833,0.020272357,271.67682,271.67682,271.76074,0.2570653,1680631.8,1680631.8,1612318.5,31274869000.0,-1298592.1,-1298592.1,-1258805.8,25280782000.0
2019-01-05,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,0.99469185,0.99469185,1.015749,0.0034344755,-0.11222839,-0.11222839,-0.0867157,0.053815946,272.65436,272.65436,272.61353,1.5578792,3225267.5,3225267.5,3144972.0,322718000000.0,-2311946.2,-2311946.2,-2318032.0,52050860000.0
2019-01-06,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,0.01159668,0.01159668,0.03955078,0.026832506,0.7129011,0.7129011,0.8036909,0.25851947,277.61853,277.61853,277.49243,0.45441705,4440920.5,4440920.5,4263066.5,516382720000.0,-2994119.8,-2994119.8,-2980736.8,39246004000.0
2019-01-07,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,0.5328064,0.5328064,0.56936646,0.09087416,-1.377594,-1.377594,-1.3806152,0.063557304,272.40802,272.40802,272.49316,0.34782964,3529551.2,3529551.2,3361982.2,266581180000.0,-2390236.2,-2390236.2,-2416935.8,19317713000.0
2019-01-08,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,-0.78134155,-0.78134155,-0.78515625,0.024975916,1.1183014,1.1183014,1.1536713,0.041799076,271.1977,271.1977,270.94507,1.4745996,4865189.0,4865189.0,4671122.5,547120100000.0,-3698779.0,-3698779.0,-3722214.5,11156980000.0
2019-01-09,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,-0.96661377,-0.96661377,-0.9949951,0.009905215,-0.021694183,-0.021694183,-0.033290863,0.0050174445,273.1001,273.1001,273.13013,0.028981328,1219045.8,1219045.8,1163731.2,31123194000.0,94557.56,94557.56,95471.25,3779796500.0
2019-01-10,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,-0.44444275,-0.44444275,-0.45256042,0.039233975,1.8095417,1.8095417,1.7608967,0.10551389,278.04456,278.04456,278.01514,0.42702046,2539402.0,2539402.0,2467559.5,179763680000.0,-1016121.25,-1016121.25,-983440.25,26346236000.0
2019-01-11,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,-1.0638905,-1.0638905,-1.0763721,0.006543751,-0.24772644,-0.24772644,-0.29118347,0.07265614,278.44977,278.44977,278.46753,2.3068864,4037693.0,4037693.0,3906310.8,319343230000.0,-2410463.0,-2410463.0,-2444461.5,22671196000.0
2019-01-12,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,0.6845093,0.6845093,0.745697,0.032903843,0.61374855,0.61374855,0.62815285,0.040172577,274.88806,274.88806,274.83838,0.09911249,1923093.1,1923093.1,1887851.2,88049710000.0,-963580.0,-963580.0,-970029.75,15860325000.0
2019-01-13,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,-0.5246134,-0.5246134,-0.52702427,0.043146774,0.6169386,0.6169386,0.595088,0.014017746,276.50653,276.50653,276.60815,0.5031241,5309781.5,5309781.5,5104652.5,431852450000.0,-3605495.2,-3605495.2,-3644339.2,23627766000.0
2019-01-14,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,0.05026245,0.05026245,0.07559204,0.01555508,-0.14423275,-0.14423275,-0.12889767,0.036684364,277.47803,277.47803,277.64282,0.80945873,2915360.0,2915360.0,2815950.0,78487190000.0,-1904885.9,-1904885.9,-1912660.0,15512430000.0
