Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,-0.5419464,-0.5419464,-0.48738098,0.19179587,-1.2311096,-1.2311096,-1.085846,0.34965205,278.29562,278.29562,278.57056,0.718828,2890752.0,2890752.0,2987250.5,171324920000.0,-1015420.8,-1015420.8,-1085669.2,58148504000.0
2019-01-02,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,-0.75039864,-0.75039864,-0.78946114,0.09360826,0.39743838,0.39743838,0.39229107,0.015170679,279.12503,279.12503,279.24927,0.41467118,7580504.0,7580504.0,7684374.5,91669864000.0,-3988814.0,-3988814.0,-4007147.8,16652653000.0
2019-01-03,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,1.7705065,1.7705065,1.7997627,0.014654455,-0.7129466,-0.7129466,-0.74916077,0.25177523,273.44766,273.44766,273.44897,0.28676933,518715.5,518715.5,515577.56,4257627000.0,-339076.97,-339076.97,-346628.25,9159123000.0
2019-01-04,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,1.2452494,1.2452494,1.214325,0.025080755,-0.864831,-0.864831,-0.8956537,0.085735016,272.467,272.467,272.49658,0.18500954,1403913.1,1403913.1,1360349.2,38824354000.0,-1250877.0,-1250877.0,-1213599.8,9693111000.0
2019-01-05,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,1.2354349,1.2354349,1.1532001,0.11475545,0.24958801,0.24958801,0.20381165,0.2619822,271.2633,271.2633,271.07422,1.0883833,1764524.6,1764524.6,1671178.1,105669790000.0,-1474564.0,-1474564.0,-1420668.5,65763906000.0
2019-01-06,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,-0.5429077,-0.5429077,-0.5847168,0.10193803,0.8347171,0.8347171,0.8942671,0.33386636,274.58716,274.58716,274.63965,2.1837146,3129818.8,3129818.8,3045528.0,203625270000.0,-2298184.0,-2298184.0,-2335798.2,53542605000.0
2019-01-07,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,-0.7685445,-0.7685445,-0.769989,0.043086346,-1.4077759,-1.4077759,-1.2502441,0.109259814,272.94962,272.94962,272.90234,0.84352976,2757491.8,2757491.8,2695220.0,133390730000.0,-1997496.4,-1997496.4,-1944901.2,43536036000.0
2019-01-08,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,-0.55458575,-0.55458575,-0.53845215,0.18452357,0.45876566,0.45876566,0.41282654,0.28401718,272.35767,272.35767,272.53857,1.2605851,3395426.2,3395426.2,3352421.0,270369400000.0,-3227572.8,-3227572.8,-3192781.5,57956454000.0
2019-01-09,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,-0.7446696,-0.7446696,-0.7669678,0.06738376,-0.27560043,-0.27560043,-0.33651352,0.07398355,274.3809,274.3809,274.22437,0.7121372,1266263.4,1266263.4,1255724.8,12375912000.0,-15733.25,-15733.25,-8022.5,8275940000.0
2019-01-10,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,0.49596658,0.49596658,0.5240021,0.10004168,2.1568115,2.1568115,2.0631428,0.060672972,279.43808,279.43808,279.1975,0.437278,2096705.4,2096705.4,2101743.5,51351050000.0,-957595.44,-957595.44,-966133.5,11689837000.0
