Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,0.8484955,0.8484955,0.8712616,0.017355468,-0.72836304,-0.72836304,-0.83096313,0.112161,280.93652,280.93652,280.9829,0.057704568,6192460.0,6192460.0,6186101.0,3938676000.0,-3471530.8,-3471530.8,-3493736.2,7732419600.0
2019-01-02,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,-0.9537678,-0.9537678,-0.92666817,0.045971945,0.7305784,0.7305784,0.66780376,0.024778595,278.6585,278.6585,278.6516,0.061582975,7528381.0,7528381.0,7548146.0,19156312000.0,-4708728.0,-4708728.0,-4712324.0,3967775000.0
2019-01-03,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,2.2112007,2.2112007,2.1513252,0.0408343,-2.3910675,-2.3910675,-2.5763092,0.1943917,275.50757,275.50757,275.54346,0.07753146,1212147.8,1212147.8,1214554.2,8989442000.0,-1014322.5,-1014322.5,-1039344.5,4505114600.0
2019-01-04,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,0.9819641,0.9819641,0.92892456,0.032037314,-2.1353693,-2.1353693,-2.1168451,0.049938284,272.63177,272.63177,272.6604,0.1173911,1432962.2,1432962.2,1431983.5,368202750.0,-1331944.5,-1331944.5,-1331729.0,2279820300.0
2019-01-05,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,1.3551044,1.3551044,1.3211689,0.007011771,-0.98783875,-0.98783875,-0.99198914,0.06858063,272.6048,272.6048,272.52075,0.18222636,1825611.8,1825611.8,1722483.1,130556140000.0,-1699539.8,-1699539.8,-1721595.0,9602822000.0
2019-01-06,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,1.9180603,1.9180603,1.8973389,0.027255213,-1.6975908,-1.6975908,-1.7652788,0.18085092,274.96997,274.96997,275.01172,0.8907878,3433262.5,3433262.5,3098977.2,863857340000.0,-2954829.5,-2954829.5,-2930288.0,58205266000.0
2019-01-07,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,2.2335815,2.2335815,2.243805,0.02454277,-2.638153,-2.638153,-2.710083,0.16588041,272.24573,272.24573,272.38184,0.3560551,3175839.0,3175839.0,2931076.2,657979100000.0,-2877574.5,-2877574.5,-2868472.8,35415613000.0
2019-01-08,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,-0.9029236,-0.9029236,-0.8405762,0.07867358,0.15074158,0.15074158,0.110824585,0.01505506,272.60315,272.60315,272.78174,0.32883546,4166816.8,4166816.8,3972916.0,934582350000.0,-4035549.8,-4035549.8,-3950475.8,251040000000.0
2019-01-09,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,0.12176514,0.12176514,0.19177246,0.050174825,-1.8916283,-1.8916283,-1.898037,0.030244492,271.84326,271.84326,271.8374,0.0844205,981040.4,981040.4,895028.8,52477510000.0,-411965.5,-411965.5,-451077.75,21367525000.0
2019-01-10,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,-0.66685486,-0.66685486,-0.7491913,0.12200042,-1.1949139,-1.1949139,-1.2132244,0.024991214,276.4502,276.4502,276.29077,0.23156244,1944824.0,1944824.0,1758156.0,262311920000.0,-1090390.6,-1090390.6,-1060738.8,35082410000.0
2019-01-11,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,0.15664482,0.15664482,0.17216301,0.027749639,-2.238388,-2.238388,-2.2700653,0.059190936,276.0829,276.0829,276.07446,0.21312997,3799031.5,3799031.5,3532800.0,798435640000.0,-2974524.0,-2974524.0,-2993305.5,241057350000.0
2019-01-12,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,1.053772,1.053772,1.0087585,0.017004935,-2.0846767,-2.0846767,-2.1543179,0.09273975,274.98145,274.98145,275.05078,0.21417832,3390418.0,3390418.0,3222617.2,476538860000.0,-2497609.8,-2497609.8,-2491083.0,45758185000.0
2019-01-13,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,0.14613247,0.14613247,0.17329311,0.017581876,-0.22583485,-0.22583485,-0.21362782,0.03462313,277.77594,277.77594,277.8191,0.11470138,4791076.0,4791076.0,4717825.5,925499650000.0,-3447207.0,-3447207.0,-3452998.8,61295583000.0
2019-01-14,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,-0.4378357,-0.4378357,-0.4357605,0.033798546,-0.46968746,-0.46968746,-0.452384,0.01785394,276.49548,276.49548,276.69482,0.34829155,2960706.0,2960706.0,2926454.0,359852080000.0,-1965080.5,-1965080.5,-2012946.2,84559905000.0
2019-01-15,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,3.1605148,3.1605148,3.0928574,0.088712186,-3.9661713,-3.9661713,-4.065323,0.35622472,274.51404,274.51404,274.55444,0.14202324,5546611.0,5546611.0,5601306.5,1006575160000.0,-4351846.5,-4351846.5,-4395205.0,42889360000.0
2019-01-16,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,1.2322693,1.2322693,1.2024841,0.028773293,-1.1729736,-1.1729736,-1.1787109,0.06776713,277.77533,277.77533,277.42407,0.39584148,5817433.0,5817433.0,5934911.0,935867060000.0,-3827749.2,-3827749.2,-3883790.0,238057550000.0
2019-01-17,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,-0.52305984,-0.52305984,-0.4759407,0.041543454,0.38542843,0.38542843,0.36745358,0.011130897,280.9961,280.9961,280.95947,0.0263834,6541536.5,6541536.5,6662224.5,680451640000.0,-3662016.0,-3662016.0,-3742622.8,91518580000.0
