Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,0.92814636,0.92814636,0.9789276,0.009330082,-1.0767639,-1.0767639,-1.0604553,0.0077961544,280.62494,280.62494,280.58374,0.053987652,6221031.0,6221031.0,6230937.0,14141511000.0,-3444145.5,-3444145.5,-3459870.0,2760652300.0
2019-01-02,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.5912922,-0.5912922,-0.5124836,0.09361556,0.43220806,0.43220806,0.40974712,0.030685712,278.21515,278.21515,278.1831,0.06288572,7436006.5,7436006.5,7410217.5,2975806200.0,-4563490.0,-4563490.0,-4564262.0,960530100.0
2019-01-03,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,1.828083,1.828083,1.7924385,0.045197774,-2.5538971,-2.5538971,-2.5384674,0.035685785,275.61166,275.61166,275.58325,0.008862151,1458726.6,1458726.6,1517844.2,17424759000.0,-1092924.2,-1092924.2,-1099424.5,76634110.0
2019-01-04,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,0.5069519,0.5069519,0.52804565,0.05215677,-2.022851,-2.022851,-2.0057611,0.07726832,272.8894,272.8894,272.9353,0.013206196,1373393.4,1373393.4,1367817.8,2398830600.0,-1307768.6,-1307768.6,-1293595.0,2118288100.0
2019-01-05,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,1.3661884,1.3661884,1.3568134,0.004021588,-1.2976043,-1.2976043,-1.4243622,0.05008741,272.7959,272.7959,272.7827,0.13964263,2113884.5,2113884.5,2075543.1,31325372000.0,-1459995.6,-1459995.6,-1466654.0,8855890000.0
2019-01-06,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,2.3091063,2.3091063,2.2928467,0.01834692,-2.2668169,-2.2668169,-2.2580767,0.018032297,275.69928,275.69928,275.5984,0.111438714,4668973.0,4668973.0,4576870.5,75124690000.0,-3219947.5,-3219947.5,-3241289.0,5106797600.0
2019-01-07,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,2.2464905,2.2464905,2.2120667,0.009066391,-2.9253662,-2.9253662,-2.991333,0.04424611,272.7791,272.7791,272.86426,0.026401196,4214912.0,4214912.0,4184892.0,59198677000.0,-3148261.0,-3148261.0,-3118936.5,6251043300.0
2019-01-08,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.11271973,-0.11271973,-0.051879883,0.2175748,-0.12396546,-0.12396546,-0.11805725,0.024410423,272.39264,272.39264,272.48364,0.05614496,5266682.0,5266682.0,5229455.0,70579830000.0,-4594841.0,-4594841.0,-4549322.5,58332996000.0
2019-01-09,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.6488525,-0.6488525,-0.6090088,0.097555876,-1.531533,-1.531533,-1.481533,0.08896595,271.85175,271.85175,271.96143,0.09080644,1298321.2,1298321.2,1310138.8,5130840000.0,-471966.7,-471966.7,-488711.5,5917069000.0
2019-01-10,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.8865448,-0.8865448,-0.91789246,0.0124586485,-0.9495037,-0.9495037,-0.9180584,0.053756773,275.955,275.955,275.96436,0.09189294,2708481.2,2708481.2,2761827.0,24629488000.0,-1312489.8,-1312489.8,-1328499.0,3086592800.0
2019-01-11,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,0.49567375,0.49567375,0.5994091,0.07503516,-2.1621063,-2.1621063,-2.0898895,0.057608306,276.20816,276.20816,276.08325,0.123407975,4987539.5,4987539.5,4972194.5,57110280000.0,-3462832.8,-3462832.8,-3418731.5,17815409000.0
2019-01-12,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,1.0640808,1.0640808,1.0663757,0.011447086,-2.2396693,-2.2396693,-2.269064,0.032367174,275.243,275.243,275.2849,0.075911365,4236782.5,4236782.5,4259547.0,47703050000.0,-2522262.5,-2522262.5,-2552881.5,12034320000.0
2019-01-13,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,0.57749236,0.57749236,0.5807638,0.038563244,-0.6134569,-0.6134569,-0.61682606,0.010466132,276.5904,276.5904,276.87476,0.90687144,5742377.5,5742377.5,5945610.0,74905470000.0,-3604470.5,-3604470.5,-3628418.5,13082763000.0
2019-01-14,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.27179566,-0.27179566,-0.23703003,0.039319243,-0.7823645,-0.7823645,-0.74242306,0.011464325,275.37518,275.37518,275.42578,0.061624963,3598121.2,3598121.2,3706117.0,21431460000.0,-2212596.0,-2212596.0,-2210804.5,9196249000.0
2019-01-15,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,3.314122,3.314122,3.3590927,0.03693105,-4.430899,-4.430899,-4.537491,0.07277327,274.69916,274.69916,274.72485,0.029534489,6348601.5,6348601.5,6553791.5,128170040000.0,-4367055.5,-4367055.5,-4407322.0,14811409000.0
2019-01-16,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,1.5463073,1.5463073,1.5590515,0.06995882,-1.4031738,-1.4031738,-1.5754395,0.055319346,277.55792,277.55792,277.56836,0.103321806,6539007.5,6539007.5,6733180.0,120307760000.0,-4356677.0,-4356677.0,-4339495.5,9302098000.0
2019-01-17,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.21458817,-0.21458817,-0.1486702,0.07618742,0.22126217,0.22126217,0.21388912,0.00925201,280.89517,280.89517,280.8943,0.007240428,7113430.5,7113430.5,7273238.0,85888745000.0,-3813046.5,-3813046.5,-3858210.0,17526972000.0
2019-01-18,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.5007904,-0.5007904,-0.35777283,0.1348188,-0.5214378,-0.5214378,-0.5533714,0.004209409,279.29565,279.29565,279.30542,0.014137626,5315233.0,5315233.0,5352129.0,6715891700.0,-2932297.0,-2932297.0,-2959026.0,3027040800.0
2019-01-19,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,0.27502745,0.27502745,0.235672,0.028044447,-0.21622829,-0.21622829,-0.21896267,0.001573453,283.24527,283.24527,283.2976,0.010015239,6085203.0,6085203.0,6072705.0,5931734500.0,-2862349.2,-2862349.2,-2826532.2,5248228400.0
2019-01-20,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.49178773,-0.49178773,-0.49879456,0.03978778,-0.6208576,-0.6208576,-0.61709785,0.0010213994,282.82968,282.82968,282.83887,0.040068954,4590240.0,4590240.0,4661217.0,55506153000.0,-1277420.0,-1277420.0,-1271368.2,17268978000.0
2019-01-21,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,0.04986267,0.04986267,0.0071868896,0.017440066,0.29432067,0.29432067,0.27708435,0.007883397,283.31012,283.31012,283.323,0.045666557,5848089.5,5848089.5,5833897.0,47120294000.0,-1952291.2,-1952291.2,-1989109.2,35438248000.0
2019-01-22,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-2.2865174,-2.2865174,-2.1614685,0.28274256,-0.7267321,-0.7267321,-0.6979723,0.1802018,281.27823,281.27823,281.42725,0.058081377,2490585.5,2490585.5,2464148.0,65659904000.0,-500006.7,-500006.7,-485296.0,2442576100.0
2019-01-23,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-1.9832046,-1.9832046,-1.9827652,0.115116335,-0.39623412,-0.39623412,-0.39535522,0.13801712,282.22028,282.22028,282.23218,0.055891186,2470404.0,2470404.0,2459985.5,649352900.0,-1365936.6,-1365936.6,-1372072.0,1851848100.0
2019-01-24,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,-0.04496765,-0.04496765,-0.08842468,0.08239956,-0.297579,-0.297579,-0.28044033,0.01696535,284.89053,284.89053,284.83398,0.023757305,7738461.0,7738461.0,7842594.0,50398343000.0,-3758756.8,-3758756.8,-3806453.5,19676240000.0
