Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,EDESSA,0.5948944,0.5948944,0.6056366,0.008906186,-0.8010559,-0.8010559,-0.8607483,0.061924502,278.35535,278.35535,278.71216,1.0698527,5497886.0,5497886.0,5538692.5,8608009000.0,-2911276.5,-2911276.5,-2933599.0,15713734000.0
2019-01-02,EDESSA,0.2283001,0.2283001,0.27755547,0.03570081,-0.7052431,-0.7052431,-0.76847553,0.08194789,277.55066,277.55066,277.60913,0.33726028,7439240.0,7439240.0,7429329.5,2165671200.0,-4843865.5,-4843865.5,-4859949.0,4339620000.0
2019-01-03,EDESSA,1.5847969,1.5847969,1.5358467,0.027763888,-1.5756989,-1.5756989,-1.5592194,0.019221947,272.62915,272.62915,272.7539,0.7141081,1130036.1,1130036.1,1123600.2,15585925000.0,-915875.4,-915875.4,-922546.5,7840711700.0
2019-01-04,EDESSA,0.61569214,0.61569214,0.63327026,0.0038242936,-1.3046503,-1.3046503,-1.3099604,0.00034339353,269.76282,269.76282,269.9839,0.50896114,1335816.8,1335816.8,1185214.2,126952920000.0,-1034538.75,-1034538.75,-1072919.5,6433242000.0
2019-01-05,EDESSA,1.250246,1.250246,1.2508564,0.0011723489,-0.6562958,-0.6562958,-0.707077,0.04082501,268.99585,268.99585,269.2788,0.90275776,2588816.0,2588816.0,2286916.0,651625900000.0,-2206418.5,-2206418.5,-2224981.0,21525790000.0
2019-01-06,EDESSA,1.374939,1.374939,1.3818359,0.0067768805,-0.68544483,-0.68544483,-0.7097368,0.0319698,273.14404,273.14404,273.80786,1.6906849,3017276.5,3017276.5,2663594.5,780907500000.0,-2346119.5,-2346119.5,-2335052.2,29726028000.0
2019-01-07,EDESSA,1.3434753,1.3434753,1.3078918,0.01933984,-1.5680542,-1.5680542,-1.5535889,0.0036519282,267.12512,267.12512,267.1223,0.3417559,2832027.0,2832027.0,2548404.8,665955100000.0,-2500936.5,-2500936.5,-2536458.8,27267707000.0
2019-01-08,EDESSA,0.45007324,0.45007324,0.44384766,0.013741463,-0.06983948,-0.06983948,-0.06959534,0.00061900914,269.7721,269.7721,270.042,0.37982956,3499810.8,3499810.8,3138163.5,941563700000.0,-3142306.2,-3142306.2,-3083635.0,63088710000.0
2019-01-09,EDESSA,-0.78393555,-0.78393555,-0.75183105,0.028995559,-0.08346176,-0.08346176,-0.1363182,0.03381221,268.93823,268.93823,269.0713,0.06231469,1080721.8,1080721.8,954383.25,107290890000.0,75744.375,75744.375,51095.0,2847384000.0
2019-01-10,EDESSA,-0.24662781,-0.24662781,-0.30558777,0.043941543,0.28189278,0.28189278,0.33218575,0.061262906,276.24036,276.24036,276.41626,0.34944716,1562244.8,1562244.8,1379470.5,221458450000.0,-780502.5,-780502.5,-776701.0,8740114000.0
