Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ELASSONA,-0.43822733,-0.43822733,-0.3824005,0.009008461,-0.01634725,-0.01634725,-0.05947876,0.252272,279.21786,279.21786,279.47192,0.3035867,4720131.5,4720131.5,4744625.0,2641522000.0,-2243400.8,-2243400.8,-2196839.0,8789280000.0
2019-01-02,ELASSONA,-0.63154286,-0.63154286,-0.6308918,0.0069763795,0.49959087,0.49959087,0.42244244,0.016996384,278.2062,278.2062,278.44775,0.1567741,7676009.5,7676009.5,7617401.0,9469060000.0,-4520960.0,-4520960.0,-4574303.5,9485627000.0
2019-01-03,ELASSONA,0.72635776,0.72635776,0.66060257,0.017436557,-0.78000385,-0.78000385,-0.83436584,0.13194598,273.77823,273.77823,273.8557,0.066086665,744994.3,744994.3,752127.8,644482100.0,-609184.5,-609184.5,-636993.5,3731640600.0
2019-01-04,ELASSONA,0.044321697,0.044321697,-0.03982544,0.014409435,-1.0173985,-1.0173985,-1.0113764,0.08425683,271.84366,271.84366,271.88257,0.1473936,1948218.0,1948218.0,1970210.2,1768820600.0,-1125158.1,-1125158.1,-1159005.0,2658676200.0
2019-01-05,ELASSONA,0.66605824,0.66605824,0.65612984,0.0007734829,-0.20577495,-0.20577495,-0.3013153,0.03187249,273.2311,273.2311,273.2754,0.3486643,3788868.0,3788868.0,3702557.0,20256098000.0,-2120611.2,-2120611.2,-2184419.0,16225418000.0
2019-01-06,ELASSONA,0.0048421226,0.0048421226,0.044555664,0.0070514013,-0.19801807,-0.19801807,-0.37331104,0.08832089,278.33472,278.33472,278.6106,0.40891567,5795037.5,5795037.5,5792514.5,18325518000.0,-3559148.8,-3559148.8,-3562584.0,4091360500.0
2019-01-07,ELASSONA,0.09430949,0.09430949,0.15396118,0.010352704,-1.149292,-1.149292,-1.2069092,0.08043591,272.8937,272.8937,272.81396,0.54540914,4613046.5,4613046.5,4666135.0,14706423000.0,-2877526.8,-2877526.8,-2843067.0,4727584300.0
2019-01-08,ELASSONA,-0.031778973,-0.031778973,-0.029663086,0.033781543,0.6926524,0.6926524,0.69859314,0.001312269,272.70483,272.70483,272.97827,0.21530215,6221179.5,6221179.5,6202544.0,17023186000.0,-3988008.8,-3988008.8,-3953271.5,5583403000.0
2019-01-09,ELASSONA,-0.59175617,-0.59175617,-0.7095947,0.049263213,-0.24064763,-0.24064763,-0.22323227,0.008234077,273.17935,273.17935,273.1372,0.005242083,1633186.4,1633186.4,1675406.8,4382841300.0,-84541.664,-84541.664,-88339.5,1856964600.0
2019-01-10,ELASSONA,-0.02938334,-0.02938334,-0.10783386,0.109171756,1.5186278,1.5186278,1.5296955,0.0006526841,277.30322,277.30322,277.29492,0.0148688955,3221720.2,3221720.2,3206199.0,3739912200.0,-1511326.9,-1511326.9,-1491121.0,934290750.0
2019-01-11,ELASSONA,-0.6150277,-0.6150277,-0.6276417,0.0033184818,-0.02901713,-0.02901713,0.026321411,0.038152274,279.20468,279.20468,279.7307,0.62624437,5084024.0,5084024.0,5097017.0,9675093000.0,-2609055.8,-2609055.8,-2610169.0,2410349600.0
2019-01-12,ELASSONA,0.04928589,0.04928589,0.084198,0.0040091276,0.045389175,0.045389175,-0.0698452,0.13197517,276.48917,276.48917,276.66968,0.108460166,2592108.0,2592108.0,2635312.2,22559836000.0,-1293757.1,-1293757.1,-1269165.5,7912445400.0
2019-01-13,ELASSONA,0.14676316,0.14676316,0.18305874,0.003063374,0.51826507,0.51826507,0.42589855,0.018121494,276.55508,276.55508,276.63843,0.07696873,6469160.0,6469160.0,6466722.0,10861989000.0,-3864833.2,-3864833.2,-3892561.0,2916336600.0
2019-01-14,ELASSONA,0.5322571,0.5322571,0.53689575,0.0011659065,-0.1805741,-0.1805741,-0.18297482,0.0013372535,277.187,277.187,277.50195,0.21903913,3655572.8,3655572.8,3712258.0,15803657000.0,-2176427.0,-2176427.0,-2172997.0,164935070.0
2019-01-15,ELASSONA,1.7603785,1.7603785,1.6476669,0.03694925,-2.0647533,-2.0647533,-2.0814362,0.073365696,274.69913,274.69913,274.90796,0.27635324,6774828.0,6774828.0,6754038.5,7897063000.0,-4218442.5,-4218442.5,-4187570.5,3883353900.0
