Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,GIANNITSA,0.5915985,0.5915985,0.59098816,0.0055562705,-0.09207153,-0.09207153,-0.11929321,0.067322895,281.0603,281.0603,280.83716,0.32727706,6158090.0,6158090.0,6136694.5,5680227000.0,-3325911.0,-3325911.0,-3341556.2,2871038000.0
2019-01-02,GIANNITSA,-0.65109444,-0.65109444,-0.6510334,0.043799467,0.68910503,0.68910503,0.7060118,0.046483494,278.68103,278.68103,278.59668,0.13739184,7656223.0,7656223.0,7673757.0,4275198500.0,-4823001.0,-4823001.0,-4794293.5,3068600000.0
2019-01-03,GIANNITSA,2.2592354,2.2592354,2.2494698,0.027892709,-1.4502106,-1.4502106,-1.4681549,0.0966367,274.9546,274.9546,275.07886,0.07856041,1108901.2,1108901.2,1114389.0,4845782000.0,-922466.5,-922466.5,-921830.75,803135550.0
2019-01-04,GIANNITSA,1.0761414,1.0761414,1.0746765,0.012904704,-1.7024164,-1.7024164,-1.6792231,0.020720735,272.06897,272.06897,272.13745,0.12558034,1409666.0,1409666.0,1441074.0,3432599800.0,-1253100.2,-1253100.2,-1261653.0,1539923300.0
2019-01-05,GIANNITSA,1.2956562,1.2956562,1.2784443,0.0012171715,-0.5066376,-0.5066376,-0.54985046,0.023961365,272.20764,272.20764,272.17505,0.63608783,1828177.2,1828177.2,1686692.1,126273044000.0,-1889699.2,-1889699.2,-1886894.0,12058051000.0
2019-01-06,GIANNITSA,1.7283936,1.7283936,1.7099609,0.0045678318,-0.84920216,-0.84920216,-0.88319874,0.065987475,274.11047,274.11047,273.7439,1.2151823,2712636.2,2712636.2,2613224.0,138072870000.0,-2692183.2,-2692183.2,-2689235.5,4314764000.0
2019-01-07,GIANNITSA,1.9455261,1.9455261,1.9405823,0.014883023,-1.786438,-1.786438,-1.8148193,0.05860827,271.03503,271.03503,271.1084,0.22378364,2513158.8,2513158.8,2433607.5,119848000000.0,-2689669.0,-2689669.0,-2674368.8,2777003800.0
2019-01-08,GIANNITSA,-0.763855,-0.763855,-0.7624512,0.06912313,0.017623901,0.017623901,-0.005142212,0.0036414973,272.7777,272.7777,272.78174,0.118992016,3295439.2,3295439.2,3205658.5,145467210000.0,-3457768.5,-3457768.5,-3473068.0,5561433000.0
2019-01-09,GIANNITSA,0.3400879,0.3400879,0.3433838,0.0065774173,-1.5240135,-1.5240135,-1.5122948,0.021133065,271.2561,271.2561,271.26416,0.06401092,820133.8,820133.8,788540.3,11767041000.0,-189114.5,-189114.5,-197318.5,2100374800.0
2019-01-10,GIANNITSA,0.06990051,0.06990051,0.06599426,0.03999722,-0.8457928,-0.8457928,-0.88363457,0.02800119,277.16663,277.16663,277.11377,0.3678501,1530626.8,1530626.8,1492328.0,41016398000.0,-912959.6,-912959.6,-892036.0,4957979600.0
2019-01-11,GIANNITSA,0.32200432,0.32200432,0.3276806,0.020911325,-1.7140961,-1.7140961,-1.7378387,0.028291952,275.8246,275.8246,275.55835,0.48005655,3006164.5,3006164.5,2958154.2,111929020000.0,-2421366.5,-2421366.5,-2411861.0,31140581000.0
2019-01-12,GIANNITSA,1.348114,1.348114,1.344696,0.008353502,-1.4366665,-1.4366665,-1.4743862,0.052647635,274.06238,274.06238,274.16626,0.19989577,2865622.2,2865622.2,2774549.2,140698550000.0,-2397337.0,-2397337.0,-2380353.5,24487485000.0
2019-01-13,GIANNITSA,0.07630825,0.07630825,0.068190575,0.015461277,0.04564953,0.04564953,0.06957531,0.0044302493,277.18323,277.18323,277.30884,0.16286686,3820258.5,3820258.5,3755895.5,97997780000.0,-3180485.0,-3180485.0,-3158323.8,3182378000.0
2019-01-14,GIANNITSA,-0.08493042,-0.08493042,-0.08529663,0.028302282,-0.24748898,-0.24748898,-0.26744747,0.006079059,276.9823,276.9823,276.9358,0.15534416,2351400.5,2351400.5,2304509.0,30247586000.0,-1632519.0,-1632519.0,-1620072.8,3779988000.0
2019-01-15,GIANNITSA,2.7860336,2.7860336,2.7660751,0.048516013,-2.7016144,-2.7016144,-2.7412262,0.13942304,273.94934,273.94934,274.00537,0.24134424,4366007.5,4366007.5,4315982.0,80194240000.0,-4085686.5,-4085686.5,-4089597.8,8034422000.0
2019-01-16,GIANNITSA,1.6095886,1.6095886,1.596405,0.017201245,-0.6925049,-0.6925049,-0.74121094,0.028343841,277.19922,277.19922,277.33472,0.20591438,4502896.5,4502896.5,4515603.5,56896790000.0,-3169251.5,-3169251.5,-3176884.0,2979668700.0
2019-01-17,GIANNITSA,-0.20640945,-0.20640945,-0.19566727,0.029838994,0.2676611,0.2676611,0.25685787,0.0066122822,280.86047,280.86047,280.92358,0.09758739,5180570.0,5180570.0,5257253.0,76483300000.0,-3204442.2,-3204442.2,-3232836.8,2983022000.0
2019-01-18,GIANNITSA,-0.2495575,-0.2495575,-0.22264099,0.049252845,-0.39803696,-0.39803696,-0.41884995,0.007918429,279.68896,279.68896,279.64038,0.12254998,3993486.8,3993486.8,4081065.0,58343547000.0,-2214537.8,-2214537.8,-2252630.5,10315352000.0
