Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,KALAMPAKA,0.25968933,0.25968933,0.344162,0.029318014,-0.16738892,-0.16738892,-0.26602173,0.040877502,277.14883,277.14883,277.33862,0.1540059,3212766.8,3212766.8,3265689.8,58929120000.0,-1774114.9,-1774114.9,-1784450.5,1335733200.0
2019-01-02,KALAMPAKA,-0.67296535,-0.67296535,-0.7085285,0.030881973,0.49194112,0.49194112,0.4810362,0.0022914144,277.6071,277.6071,277.6211,0.04225434,5969081.5,5969081.5,6100350.0,159612780000.0,-4047682.8,-4047682.8,-4084419.5,33563146000.0
2019-01-03,KALAMPAKA,1.4315987,1.4315987,1.5395088,0.040709656,-1.7191315,-1.7191315,-1.6541901,0.015155315,272.4838,272.4838,272.34058,0.10254818,659896.5,659896.5,675900.8,6477795300.0,-547723.0,-547723.0,-562540.0,624072100.0
2019-01-04,KALAMPAKA,0.19227092,0.19227092,0.27853394,0.026191764,-1.1924473,-1.1924473,-1.1717768,0.014376058,269.90176,269.90176,269.88403,0.13512808,1300624.8,1300624.8,1394806.8,43272684000.0,-1128409.0,-1128409.0,-1186323.0,9409948000.0
2019-01-05,KALAMPAKA,0.7570413,0.7570413,0.81726265,0.0077338745,-1.0747528,-1.0747528,-1.0102997,0.01815033,270.06723,270.06723,270.14893,0.08688376,3163272.2,3163272.2,3373468.0,239955690000.0,-2719071.8,-2719071.8,-2754606.0,25288622000.0
2019-01-06,KALAMPAKA,0.025512695,0.025512695,0.05529785,0.007722656,-1.2849321,-1.2849321,-1.0942583,0.107764125,276.08276,276.08276,276.3899,1.3008758,3570915.2,3570915.2,3845666.5,293702860000.0,-2749476.0,-2749476.0,-2857238.0,37688996000.0
2019-01-07,KALAMPAKA,0.8426819,0.8426819,0.92300415,0.026877442,-2.0268147,-2.0268147,-1.9591064,0.0143562285,270.0436,270.0436,269.8711,0.24110197,2790756.2,2790756.2,2987007.5,190435410000.0,-2194286.8,-2194286.8,-2296040.5,26913155000.0
2019-01-08,KALAMPAKA,-0.0974528,-0.0974528,-0.1895752,0.059948016,0.5840912,0.5840912,0.5987396,0.0016182661,272.4768,272.4768,272.5183,0.135832,3897314.8,3897314.8,4184682.0,293604030000.0,-3358522.0,-3358522.0,-3477297.5,29418275000.0
2019-01-09,KALAMPAKA,-1.0928955,-1.0928955,-1.0743408,0.014764786,0.50072604,0.50072604,0.4779396,0.019619359,272.60074,272.60074,272.56787,0.010316266,802429.8,802429.8,862537.8,10243385000.0,368798.0,368798.0,369747.5,1004168000.0
2019-01-10,KALAMPAKA,-0.2318573,-0.2318573,-0.27482605,0.07420365,1.2889729,1.2889729,1.2333088,0.0063614845,276.37402,276.37402,276.2627,0.11229149,2000731.0,2000731.0,2110978.0,45774860000.0,-782945.3,-782945.3,-754187.5,2145008300.0
2019-01-11,KALAMPAKA,-0.8981088,-0.8981088,-0.9259815,0.02771342,0.46048483,0.46048483,0.42182922,0.0037412776,278.0393,278.0393,278.22974,0.12138859,3525650.2,3525650.2,3713397.5,167674220000.0,-2650106.0,-2650106.0,-2691709.5,32494705000.0
2019-01-12,KALAMPAKA,0.6919454,0.6919454,0.7826843,0.035485994,-0.75409,-0.75409,-0.79250145,0.018575402,273.55933,273.55933,273.5315,0.18049829,2222019.0,2222019.0,2222825.2,55148007000.0,-1608997.6,-1608997.6,-1589189.5,6198892000.0
2019-01-13,KALAMPAKA,-0.45992628,-0.45992628,-0.5183573,0.017729811,0.32628918,0.32628918,0.3594923,0.002653281,276.02563,276.02563,276.06763,0.0050530434,4548974.0,4548974.0,4765576.0,170901030000.0,-3658894.2,-3658894.2,-3753574.5,26902755000.0
2019-01-14,KALAMPAKA,0.29674277,0.29674277,0.3039856,0.024108978,-0.30622515,-0.30622515,-0.38548946,0.02651792,276.1499,276.1499,276.0337,0.12623024,2393915.2,2393915.2,2520608.0,58031964000.0,-1745012.0,-1745012.0,-1825111.5,19906980000.0
2019-01-15,KALAMPAKA,1.7256292,1.7256292,1.8871689,0.06748924,-2.9305573,-2.9305573,-2.9251862,0.034530442,272.4174,272.4174,272.26196,0.15810718,4888750.0,4888750.0,5133285.5,182864950000.0,-4264766.5,-4264766.5,-4354496.0,16551163000.0
2019-01-16,KALAMPAKA,1.4236349,1.4236349,1.4457703,0.0040883357,-0.54418945,-0.54418945,-0.5119629,0.05325365,276.58008,276.58008,276.9873,0.35485125,4845307.5,4845307.5,5075829.0,172319100000.0,-3330983.2,-3330983.2,-3397051.0,30250190000.0
2019-01-17,KALAMPAKA,0.5577914,0.5577914,0.54639816,0.06784079,0.19655514,0.19655514,0.1596899,0.013476889,280.32822,280.32822,280.71216,0.48956016,4985482.5,4985482.5,5210843.0,160496340000.0,-3254147.2,-3254147.2,-3328208.0,20622287000.0
2019-01-18,KALAMPAKA,0.2913157,0.2913157,0.21376038,0.08557662,0.3391253,0.3391253,0.30209732,0.0038120085,280.59424,280.59424,280.84326,0.6138961,3887053.0,3887053.0,3992523.0,55886270000.0,-1897486.4,-1897486.4,-1963671.0,10592342000.0
