Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,KILKIS,1.1502167,1.1502167,1.1551971,0.0114133265,-0.93984985,-0.93984985,-0.9408264,0.039124966,279.7264,279.7264,279.8723,0.46622998,6600450.5,6600450.5,6610618.0,10133137000.0,-3612819.2,-3612819.2,-3613164.0,7395972600.0
2019-01-02,KILKIS,0.35826835,0.35826835,0.35738945,0.13536946,0.17053814,0.17053814,0.17390728,0.05819744,277.84335,277.84335,277.938,0.35831228,7279903.0,7279903.0,7290761.0,2065907300.0,-4595858.0,-4595858.0,-4602465.0,3107060500.0
2019-01-03,KILKIS,1.9557197,1.9557197,1.9540596,0.016177615,-2.376358,-2.376358,-2.3768463,0.09882422,275.11713,275.11713,275.17456,0.23693998,1666032.0,1666032.0,1658287.8,1954112100.0,-1071285.1,-1071285.1,-1062252.5,5293404000.0
2019-01-04,KILKIS,0.68361205,0.68361205,0.68185425,0.007837543,-1.4998041,-1.4998041,-1.4935541,0.02632095,272.198,272.198,272.22437,0.15266772,1107469.0,1107469.0,1077284.2,11228976000.0,-1171141.2,-1171141.2,-1168051.5,12251449000.0
2019-01-05,KILKIS,1.3583759,1.3583759,1.3568134,0.0075526624,-0.7481903,-0.7481903,-0.74028015,0.012677709,271.5301,271.5301,271.60498,0.08502613,1501262.5,1501262.5,1300964.1,164536340000.0,-1519635.8,-1519635.8,-1519719.0,30066125000.0
2019-01-06,KILKIS,1.9565185,1.9565185,1.9539795,0.003544607,-1.8514849,-1.8514849,-1.8520708,0.012557497,273.8187,273.8187,273.7473,0.7840684,2996973.8,2996973.8,2616289.0,604103200000.0,-2720505.2,-2720505.2,-2641374.5,50190110000.0
2019-01-07,KILKIS,2.191754,2.191754,2.193756,0.0011711455,-2.4175537,-2.4175537,-2.418335,0.034334026,271.4572,271.4572,271.50586,0.4092203,2878130.8,2878130.8,2549561.5,482564280000.0,-2686372.5,-2686372.5,-2630887.5,42992470000.0
2019-01-08,KILKIS,0.4517334,0.4517334,0.45544434,0.04110111,0.31656188,0.31656188,0.31626892,0.0018389082,271.8521,271.8521,271.88745,0.2624913,3573334.5,3573334.5,3194273.0,675477260000.0,-3554566.0,-3554566.0,-3449370.0,81963660000.0
2019-01-09,KILKIS,-0.8931885,-0.8931885,-0.89367676,0.028203677,-0.74286115,-0.74286115,-0.7432518,0.10381864,271.28595,271.28595,271.29443,0.016106471,911306.8,911306.8,818279.8,40111330000.0,-333677.9,-333677.9,-307863.0,7519809500.0
2019-01-10,KILKIS,-0.91838074,-0.91838074,-0.9252167,0.0062870025,-0.31923026,-0.31923026,-0.321867,0.067426644,276.39355,276.39355,276.46094,0.33696622,1870903.2,1870903.2,1671319.0,172823600000.0,-911016.1,-911016.1,-845677.5,20598477000.0
2019-01-11,KILKIS,1.1546825,1.1546825,1.1564159,0.041712005,-1.6851532,-1.6851532,-1.6851044,0.034640033,274.6107,274.6107,274.70825,0.5563517,3675458.5,3675458.5,3351565.0,468912900000.0,-3422334.0,-3422334.0,-3324881.0,39828530000.0
