Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,LARISA,-1.1208038,-1.1208038,-1.0996857,0.033293054,-1.2106018,-1.2106018,-1.1510315,0.1818443,280.33105,280.33105,280.43042,0.07486647,4284353.0,4284353.0,4296569.0,25552388000.0,-1933913.6,-1933913.6,-1947554.2,14089880000.0
2019-01-02,LARISA,-0.43899727,-0.43899727,-0.428133,0.01898691,0.7784605,0.7784605,0.7868223,0.0011929087,279.7472,279.7472,279.6797,0.05419974,7934837.0,7934837.0,7936396.0,1509177600.0,-4404779.5,-4404779.5,-4389753.5,2120699900.0
2019-01-03,LARISA,1.0465889,1.0465889,1.0463448,0.033561885,-0.90101624,-0.90101624,-0.8360748,0.19283038,274.29773,274.29773,274.3098,0.06761186,548568.94,548568.94,550684.8,434171700.0,-595211.25,-595211.25,-611780.5,2661685500.0
2019-01-04,LARISA,0.379364,0.379364,0.37399292,0.048574746,-1.3070307,-1.3070307,-1.2455072,0.16623619,273.2362,273.2362,273.29517,0.046618864,1076105.4,1076105.4,1096111.5,2357276400.0,-1042618.5,-1042618.5,-1038529.25,93688660.0
2019-01-05,LARISA,0.5596943,0.5596943,0.55945015,0.0022704005,0.5468292,0.5468292,0.5580597,0.0728935,274.29663,274.29663,274.33862,0.18031627,1510132.9,1510132.9,1545514.6,8754741000.0,-1648469.6,-1648469.6,-1640845.2,4369251300.0
2019-01-06,LARISA,-0.70617676,-0.70617676,-0.7211914,0.0097310245,1.133769,1.133769,1.1099653,0.07533148,277.68774,277.68774,277.67236,0.7538246,2688366.8,2688366.8,2701132.2,16323090000.0,-2472254.2,-2472254.2,-2471142.0,13224986000.0
2019-01-07,LARISA,-0.84036255,-0.84036255,-0.85787964,0.0239398,-1.8621216,-1.8621216,-1.8162842,0.080042936,273.44568,273.44568,273.51562,0.049001977,2250272.5,2250272.5,2255239.0,8091177500.0,-1788436.1,-1788436.1,-1792354.2,14290128000.0
2019-01-08,LARISA,0.080322266,0.080322266,0.07531738,0.08720906,1.4108734,1.4108734,1.4341888,0.009451523,273.71216,273.71216,273.87842,0.17191327,2951306.5,2951306.5,2981959.0,22257656000.0,-3007827.8,-3007827.8,-3012206.8,5115439600.0
2019-01-09,LARISA,0.15393066,0.15393066,0.11853027,0.07845527,-0.56795883,-0.56795883,-0.5545311,0.011121154,273.63232,273.63232,273.69995,0.017033935,845491.3,845491.3,844281.8,435122880.0,180204.38,180204.38,194041.25,758267500.0
2019-01-10,LARISA,0.92207336,0.92207336,0.8882599,0.073564574,2.171053,2.171053,2.1896076,0.0046301484,279.3534,279.3534,279.26294,0.03413479,1689835.2,1689835.2,1677804.0,1953363500.0,-886435.25,-886435.25,-879195.25,1785635600.0
