Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,NAOUSA,0.3079071,0.3079071,0.27043152,0.0070480555,-0.25003052,-0.25003052,-0.30752563,0.11668913,276.8286,276.8286,277.1399,7.0536466,5549641.5,5549641.5,5560858.5,19884626000.0,-2710073.0,-2710073.0,-2745624.5,85535280000.0
2019-01-02,NAOUSA,-0.2890339,-0.2890339,-0.26089668,0.034228396,-0.048565865,-0.048565865,-0.12772846,0.13870269,276.46252,276.46252,276.7019,2.6259604,7540639.5,7540639.5,7550337.5,9188778000.0,-4690010.0,-4690010.0,-4729718.5,32513577000.0
2019-01-03,NAOUSA,1.9031563,1.9031563,1.8825264,0.037882373,-1.353775,-1.353775,-1.3648834,0.09120409,271.26392,271.26392,271.49854,3.539373,1011590.6,1011590.6,1003348.56,3267555300.0,-608569.6,-608569.6,-656025.75,46133690000.0
2019-01-04,NAOUSA,0.65548706,0.65548706,0.6603699,0.029742718,-1.2748652,-1.2748652,-1.2751703,0.00014613196,268.76843,268.76843,268.9485,3.186264,1441875.2,1441875.2,1417693.5,101139860000.0,-830310.9,-830310.9,-827902.5,42084327000.0
2019-01-05,NAOUSA,1.265749,1.265749,1.2625751,0.0002991557,-0.14860535,-0.14860535,-0.15751648,0.023142383,269.24902,269.24902,269.3872,4.3497124,2681496.2,2681496.2,2579675.0,533072280000.0,-1982155.0,-1982155.0,-1970727.0,1107182300.0
2019-01-06,NAOUSA,1.4541626,1.4541626,1.4741211,0.0063797943,-0.27077198,-0.27077198,-0.3015337,0.020237744,272.25977,272.25977,272.67383,8.593799,3322011.5,3322011.5,3279132.8,705480500000.0,-2427857.5,-2427857.5,-2509423.5,28738324000.0
2019-01-07,NAOUSA,1.6037292,1.6037292,1.5962219,0.0107657425,-1.4961548,-1.4961548,-1.4938965,0.019927394,266.09558,266.09558,266.08887,3.8117914,2898114.5,2898114.5,2841927.5,470521800000.0,-2308678.5,-2308678.5,-2274034.8,17012631000.0
2019-01-08,NAOUSA,0.18615723,0.18615723,0.24475098,0.1269187,-0.02772522,-0.02772522,-0.018692017,0.00084990263,269.9004,269.9004,269.87744,2.3293617,3737071.8,3737071.8,3706101.0,740333060000.0,-3169264.0,-3169264.0,-3246251.5,28220520000.0
2019-01-09,NAOUSA,-0.5019531,-0.5019531,-0.539917,0.071432754,-0.34334946,-0.34334946,-0.31332016,0.04427159,269.0808,269.0808,269.04614,0.38985902,1111893.2,1111893.2,1071820.2,80447040000.0,132026.0,132026.0,150379.25,2561213200.0
2019-01-10,NAOUSA,0.26826477,0.26826477,0.2759552,0.018452689,0.70144844,0.70144844,0.6349201,0.064702794,275.1527,275.1527,275.42334,2.7356195,1701190.0,1701190.0,1690821.0,177688700000.0,-688670.25,-688670.25,-674929.0,2786165200.0
