Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,NIKAIA,-1.1098175,-1.1098175,-1.0218048,0.063026235,-1.3312073,-1.3312073,-1.1634827,0.35610992,280.15588,280.15588,280.2317,0.28212562,3988924.5,3988924.5,4032870.8,26376622000.0,-1719218.0,-1719218.0,-1781745.0,25467683000.0
2019-01-02,NIKAIA,-0.40896797,-0.40896797,-0.40713692,0.025682002,0.6862364,0.6862364,0.6996641,0.004718974,279.8319,279.8319,279.8147,0.15466921,7959562.5,7959562.5,7958250.0,305857900.0,-4296093.0,-4296093.0,-4321067.0,6946548700.0
2019-01-03,NIKAIA,1.2770576,1.2770576,1.2597237,0.01015681,-0.62916565,-0.62916565,-0.5162506,0.5736201,274.17383,274.17383,274.0896,0.20059234,573744.56,573744.56,565488.3,2010720800.0,-557926.9,-557926.9,-553151.75,6267434500.0
2019-01-04,NIKAIA,0.5883484,0.5883484,0.5822449,0.041057765,-0.9914179,-0.9914179,-0.9541254,0.29555178,273.09204,273.09204,273.10742,0.12652957,1258772.0,1258772.0,1080864.8,129758765000.0,-1104269.6,-1104269.6,-1046707.75,12769710000.0
2019-01-05,NIKAIA,0.57800484,0.57800484,0.56677437,0.0042237043,0.7945099,0.7945099,0.81611633,0.2357997,273.35547,273.35547,273.9026,1.3184017,1699090.4,1699090.4,1471244.6,214685910000.0,-1582705.4,-1582705.4,-1588249.0,2367338500.0
2019-01-06,NIKAIA,-0.75823975,-0.75823975,-0.79125977,0.053391792,1.2903852,1.2903852,1.4013472,0.26927733,276.00232,276.00232,276.83252,3.0619752,3077590.8,3077590.8,2725325.0,557302400000.0,-2570450.0,-2570450.0,-2548581.2,45994324000.0
2019-01-07,NIKAIA,-0.9773865,-0.9773865,-0.98605347,0.019684285,-1.946228,-1.946228,-1.72229,0.32858402,273.74414,273.74414,273.58643,0.11550784,2610659.2,2610659.2,2304577.2,413875400000.0,-1910911.2,-1910911.2,-1792694.5,89087650000.0
2019-01-08,NIKAIA,-0.09088135,-0.09088135,-0.15112305,0.08739478,1.5115204,1.5115204,1.4911957,0.0030773394,272.8158,272.8158,273.4265,1.8901359,3352869.0,3352869.0,2996067.5,615937340000.0,-3171352.8,-3171352.8,-3061700.0,82569600000.0
2019-01-09,NIKAIA,0.030883789,0.030883789,-0.029174805,0.07817513,-0.4381981,-0.4381981,-0.47152328,0.014263555,273.739,273.739,273.5647,0.31138903,1023784.3,1023784.3,889998.8,75063050000.0,82129.625,82129.625,121491.5,16079321000.0
2019-01-10,NIKAIA,0.99263,0.99263,1.0244904,0.05710332,2.2468586,2.2468586,2.2220783,0.0056108683,279.27258,279.27258,279.27124,0.080498144,1959025.0,1959025.0,1783028.0,158589370000.0,-959306.5,-959306.5,-890058.0,22965459000.0
2019-01-11,NIKAIA,-1.1833973,-1.1833973,-1.1737843,0.016618842,-0.97972107,-0.97972107,-0.89286804,0.049786903,279.10852,279.10852,279.40942,0.9426836,3032653.2,3032653.2,2829094.5,200706750000.0,-1816803.2,-1816803.2,-1765262.2,12266881000.0
2019-01-12,NIKAIA,0.23007202,0.23007202,0.17416382,0.01912029,0.46860695,0.46860695,0.5934849,0.39829817,276.31226,276.31226,276.69067,0.7100662,1247937.5,1247937.5,1169514.8,32632370000.0,-484536.75,-484536.75,-490926.75,2394992400.0
2019-01-13,NIKAIA,-0.19828892,-0.19828892,-0.19242954,0.0002912581,0.9641676,0.9641676,0.9820509,0.011010837,277.80786,277.80786,278.13184,0.84191,4007236.8,4007236.8,3761991.0,320612430000.0,-3195483.0,-3195483.0,-3121704.2,22451104000.0
2019-01-14,NIKAIA,0.36123657,0.36123657,0.30923462,0.034449473,0.47055912,0.47055912,0.44788456,0.0063022776,278.12524,278.12524,278.1631,0.12786728,2506371.5,2506371.5,2364116.5,110905385000.0,-1851242.2,-1851242.2,-1845234.8,11181976000.0
2019-01-15,NIKAIA,2.3504257,2.3504257,2.3703232,0.0070423037,-2.3686676,-2.3686676,-2.1840973,0.44796705,276.06128,276.06128,275.94604,0.16538048,4511609.5,4511609.5,4290969.0,256102560000.0,-3430470.5,-3430470.5,-3419729.8,12021128000.0
2019-01-16,NIKAIA,1.2676086,1.2676086,1.266449,0.009276342,1.0325928,1.0325928,1.090332,0.020223662,279.57202,279.57202,279.854,0.56049937,4704553.0,4704553.0,4490524.5,249619280000.0,-3064617.5,-3064617.5,-3019446.8,20660593000.0
2019-01-17,NIKAIA,-0.30742264,-0.30742264,-0.32603836,0.052108653,0.53700924,0.53700924,0.5318823,0.0013016015,281.81824,281.81824,281.85962,0.042279527,4923776.0,4923776.0,4698634.0,270610640000.0,-2958123.5,-2958123.5,-2904785.2,17712183000.0
2019-01-18,NIKAIA,0.6131134,0.6131134,0.5763092,0.0519178,0.492527,0.492527,0.50998306,0.02369544,283.4104,283.4104,283.4259,0.0010122955,4478450.5,4478450.5,4233247.0,343112400000.0,-2197456.0,-2197456.0,-2106681.0,42181830000.0
2019-01-19,NIKAIA,-0.71995544,-0.71995544,-0.70903015,0.015512746,-0.6460867,-0.6460867,-0.6632986,0.017848209,284.9314,284.9314,284.92114,0.08794725,5319743.5,5319743.5,5179997.0,442257570000.0,-2474967.8,-2474967.8,-2393906.0,78928530000.0
2019-01-20,NIKAIA,0.4053192,0.4053192,0.42015076,0.007114593,0.17226982,0.17226982,0.2227459,0.020857077,285.19153,285.19153,285.20264,0.12079112,5780119.0,5780119.0,5732293.5,307425000000.0,-2123773.0,-2123773.0,-2075107.9,65557524000.0
2019-01-21,NIKAIA,-1.079483,-1.079483,-1.0866852,0.0019607842,-0.72602844,-0.72602844,-0.75416565,0.016278576,283.7152,283.7152,283.71045,0.027144358,5597380.0,5597380.0,5613440.0,75347860000.0,-2165678.5,-2165678.5,-2160418.8,27213316000.0
2019-01-22,NIKAIA,-1.3374329,-1.3374329,-1.3361511,0.008710008,-0.35928822,-0.35928822,-0.43869495,0.043810584,284.79077,284.79077,284.79272,0.116582215,5404333.0,5404333.0,5379762.0,122084530000.0,-1411253.4,-1411253.4,-1394452.0,27686593000.0
2019-01-23,NIKAIA,-1.4332657,-1.4332657,-1.4019547,0.0076964907,0.05947876,0.05947876,-0.02645874,0.15971118,284.41284,284.41284,284.35278,0.2126435,4697579.0,4697579.0,4713340.5,31139766000.0,-1978139.5,-1978139.5,-1982232.4,10423675000.0
2019-01-24,NIKAIA,0.29048157,0.29048157,0.31221008,0.0247854,-0.44523525,-0.44523525,-0.38322353,0.051991254,285.2511,285.2511,285.2527,0.11076181,9110374.0,9110374.0,9103810.0,27207127000.0,-4349420.0,-4349420.0,-4313614.0,19473914000.0
