Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ORAIOKASTRO,0.9123993,0.9123993,0.9242401,0.010422751,-1.0808411,-1.0808411,-1.0919495,0.009662077,280.52222,280.52222,280.50366,0.0147128105,6257099.0,6257099.0,6264922.0,11172438000.0,-3428897.8,-3428897.8,-3432851.2,2288342300.0
2019-01-02,ORAIOKASTRO,-0.464571,-0.464571,-0.45340157,0.03672815,0.36482525,0.36482525,0.40559673,0.015654922,278.1023,278.1023,278.11206,0.014940798,7443164.0,7443164.0,7426327.0,3463624700.0,-4552288.0,-4552288.0,-4547069.0,573230300.0
2019-01-03,ORAIOKASTRO,1.7333565,1.7333565,1.7306709,0.011631608,-2.4957428,-2.4957428,-2.5355377,0.027697623,275.56628,275.56628,275.57056,0.00077836215,1512207.5,1512207.5,1518581.2,7479875600.0,-1096377.1,-1096377.1,-1099547.5,36182640.0
2019-01-04,ORAIOKASTRO,0.40927124,0.40927124,0.4489441,0.017488405,-1.9243402,-1.9243402,-1.9337397,0.04806356,272.85315,272.85315,272.8496,0.009935662,1360219.6,1360219.6,1366205.5,2130790300.0,-1289768.9,-1289768.9,-1291747.2,1027909700.0
2019-01-05,ORAIOKASTRO,1.3420429,1.3420429,1.331667,0.0021119565,-1.2659149,-1.2659149,-1.2688446,0.05758816,272.6692,272.6692,272.64893,0.09427744,2123469.8,2123469.8,2125097.0,38697320000.0,-1433829.8,-1433829.8,-1425134.8,7646603300.0
2019-01-06,ORAIOKASTRO,2.3289185,2.3289185,2.3380127,0.020971071,-2.269002,-2.269002,-2.251607,0.0225165,275.5702,275.5702,275.53784,0.05599384,4721915.5,4721915.5,4739510.0,79891520000.0,-3210180.5,-3210180.5,-3206738.8,5906540000.0
2019-01-07,ORAIOKASTRO,2.2046814,2.2046814,2.1871643,0.002592992,-2.8651733,-2.8651733,-2.8787842,0.037191726,272.7301,272.7301,272.73608,0.020996973,4262419.0,4262419.0,4271937.0,62713710000.0,-3158260.0,-3158260.0,-3159014.2,7313914000.0
2019-01-08,ORAIOKASTRO,0.0847168,0.0847168,0.10839844,0.07706262,-0.1509552,-0.1509552,-0.15943909,0.026870798,272.448,272.448,272.4912,0.054851413,5275989.0,5275989.0,5292990.0,87791714000.0,-4540728.5,-4540728.5,-4539274.5,58275303000.0
2019-01-09,ORAIOKASTRO,-0.7805176,-0.7805176,-0.77770996,0.035266444,-1.4091454,-1.4091454,-1.4080467,0.036313698,271.761,271.761,271.78638,0.072310746,1316670.2,1316670.2,1323130.8,4730103000.0,-445036.62,-445036.62,-452859.25,3770191600.0
2019-01-10,ORAIOKASTRO,-0.85453796,-0.85453796,-0.8822479,0.010451123,-0.853117,-0.853117,-0.839201,0.020743966,275.911,275.911,275.86865,0.1051995,2761322.0,2761322.0,2770141.0,16826106000.0,-1303447.2,-1303447.2,-1306509.8,3449402600.0
2019-01-11,ORAIOKASTRO,0.6047802,0.6047802,0.6075268,0.034272872,-2.0711517,-2.0711517,-2.075119,0.03064669,276.07922,276.07922,276.0503,0.07114439,5043647.5,5043647.5,5046861.5,55647388000.0,-3473858.5,-3473858.5,-3472159.2,21661463000.0
