Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,PERAIA,0.6278534,0.6278534,0.6278534,0.04347062,-2.0648499,-2.0648499,-2.0648499,0.15992188,280.49878,280.49878,280.49878,0.31311893,5937609.5,5937609.5,5937609.5,12730496000.0,-3351242.0,-3351242.0,-3351242.0,70980620.0
2019-01-02,PERAIA,-0.23587227,-0.23587227,-0.23587227,0.00016117096,-0.5079775,-0.5079775,-0.5079775,0.012943506,278.20654,278.20654,278.20654,0.4619751,7623165.0,7623165.0,7623165.0,1284595200.0,-4451649.5,-4451649.5,-4451649.5,2217326800.0
2019-01-03,PERAIA,1.8542061,1.8542061,1.8542061,0.31833178,-3.9205475,-3.9205475,-3.9205475,0.800623,275.6765,275.6765,275.6765,0.31202698,1452955.8,1452955.8,1452955.8,2982689000.0,-1123795.2,-1123795.2,-1123795.2,1043015500.0
2019-01-04,PERAIA,-0.08230591,-0.08230591,-0.08230591,0.039299965,-3.2334223,-3.2334223,-3.2334223,0.687207,273.30103,273.30103,273.30103,0.25,1575590.5,1575590.5,1575590.5,7669161500.0,-1257344.5,-1257344.5,-1257344.5,953420000.0
2019-01-05,PERAIA,1.640749,1.640749,1.640749,0.054360926,-3.0371552,-3.0371552,-3.0371552,0.60047364,273.42334,273.42334,273.42334,0.602746,2145995.0,2145995.0,2145995.0,23943520000.0,-1155459.5,-1155459.5,-1155459.5,1202529000.0
2019-01-06,PERAIA,3.5302734,3.5302734,3.5302734,0.30107832,-3.9353228,-3.9353228,-3.9353228,0.692276,276.2173,276.2173,276.2173,0.6918698,5520796.0,5520796.0,5520796.0,185995760000.0,-3972355.8,-3972355.8,-3972355.8,444722600000.0
2019-01-07,PERAIA,2.4745178,2.4745178,2.4745178,0.124628305,-4.434326,-4.434326,-4.434326,0.7825942,273.2876,273.2876,273.2876,0.51379776,4810476.0,4810476.0,4810476.0,96227610000.0,-4356798.0,-4356798.0,-4356798.0,22693917000.0
2019-01-08,PERAIA,0.64245605,0.64245605,0.64245605,0.0010385513,-0.93177795,-0.93177795,-0.93177795,0.021030664,271.4187,271.4187,271.4187,0.0012359619,6000374.5,6000374.5,6000374.5,158269900000.0,-5104343.5,-5104343.5,-5104343.5,19438911000.0
2019-01-09,PERAIA,-2.126587,-2.126587,-2.126587,0.29693985,-1.391201,-1.391201,-1.391201,0.02707696,273.42822,273.42822,273.42822,0.9536743,1461046.8,1461046.8,1461046.8,6963401700.0,-574932.25,-574932.25,-574932.25,32229853000.0
2019-01-10,PERAIA,-0.34025574,-0.34025574,-0.34025574,0.0008299351,-0.52889824,-0.52889824,-0.52889824,0.005654335,278.94385,278.94385,278.94385,0.83551025,3151281.0,3151281.0,3151281.0,40250393000.0,-1634268.8,-1634268.8,-1634268.8,25728561000.0
2019-01-11,PERAIA,0.6014843,0.6014843,0.6014843,0.00029206276,-2.9630585,-2.9630585,-2.9630585,0.40339243,276.9734,276.9734,276.9734,0.6149378,5644893.0,5644893.0,5644893.0,133706320000.0,-3244819.2,-3244819.2,-3244819.2,6852652500.0
2019-01-12,PERAIA,1.2738953,1.2738953,1.2738953,0.085544825,-3.2905483,-3.2905483,-3.2905483,0.3683684,276.32275,276.32275,276.32275,0.9646731,4594641.0,4594641.0,4594641.0,43464327000.0,-2456064.5,-2456064.5,-2456064.5,906160500.0
2019-01-13,PERAIA,0.904006,0.904006,0.904006,0.0010073185,-1.2403612,-1.2403612,-1.2403612,0.04145837,275.7671,275.7671,275.7671,0.7181073,6531598.0,6531598.0,6531598.0,293109630000.0,-4346625.0,-4346625.0,-4346625.0,203078900000.0
