Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,PYLI,-0.29060364,-0.29060364,-0.28157043,0.12443411,-0.038848877,-0.038848877,-0.05581665,0.11025719,274.771,274.771,274.63477,1.589581,2170116.8,2170116.8,2162243.2,31192826000.0,-1367490.8,-1367490.8,-1352804.5,2528881000.0
2019-01-02,PYLI,0.013456345,0.013456345,0.02950859,0.031175263,0.75215435,0.75215435,0.753253,0.00026376545,276.80005,276.80005,276.63428,1.0179036,3911580.5,3911580.5,3956293.2,49086874000.0,-3205516.0,-3205516.0,-3161835.5,17281850000.0
2019-01-03,PYLI,0.6743965,0.6743965,0.6691475,0.10425155,-1.4221344,-1.4221344,-1.4242096,0.0016744584,272.04993,272.04993,271.8496,0.9118247,735092.06,735092.06,743699.56,13308874000.0,-425982.62,-425982.62,-406091.25,5012070400.0
2019-01-04,PYLI,-0.119903564,-0.119903564,-0.1321106,0.060959578,-0.79970646,-0.79970646,-0.786767,0.002419114,269.27527,269.27527,269.11694,0.8215089,1600957.2,1600957.2,1618259.2,43977273000.0,-1333276.1,-1333276.1,-1323091.8,9176031000.0
2019-01-05,PYLI,0.42822456,0.42822456,0.42663765,0.033625647,-0.3708954,-0.3708954,-0.3757782,0.004637301,271.1974,271.1974,270.99292,1.2106525,3151537.8,3151537.8,3195127.5,146324830000.0,-2550973.0,-2550973.0,-2568058.5,3410593000.0
2019-01-06,PYLI,0.19909668,0.19909668,0.2121582,0.0015639365,0.60581493,0.60581493,0.60325146,0.013872638,275.76172,275.76172,275.52588,2.0720587,3551797.5,3551797.5,3596974.8,141664100000.0,-2762147.5,-2762147.5,-2768680.5,2207699200.0
2019-01-07,PYLI,0.2527771,0.2527771,0.24819946,0.065649875,-1.6346436,-1.6346436,-1.6375732,0.00932008,269.28003,269.28003,269.2671,1.8069454,2915265.5,2915265.5,2955154.2,117911810000.0,-2233610.0,-2233610.0,-2225110.8,682660740.0
2019-01-08,PYLI,0.5429077,0.5429077,0.5617676,0.03739927,0.9584198,0.9584198,0.96287537,0.005319994,271.34753,271.34753,271.09058,1.6054155,3784075.2,3784075.2,3832801.0,159399850000.0,-3311772.5,-3311772.5,-3310885.8,1564503200.0
2019-01-09,PYLI,-0.30737305,-0.30737305,-0.29382324,0.023260638,0.55020523,0.55020523,0.56534195,0.045212507,273.00708,273.00708,273.01367,0.077506244,753946.8,753946.8,767892.3,2456743400.0,637548.5,637548.5,651187.25,6497891000.0
2019-01-10,PYLI,0.8178253,0.8178253,0.82722473,0.068030044,1.2253742,1.2253742,1.223299,0.013365194,276.76184,276.76184,276.42188,2.1161566,1756322.0,1756322.0,1752679.0,12079277000.0,-462600.12,-462600.12,-456711.0,4231312600.0
