Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,SERRES,0.2896698,0.2896698,0.26994324,0.008109436,-0.26192015,-0.26192015,-0.23672485,0.007017574,281.8562,281.8562,282.88745,2.2342467,6618825.5,6618825.5,6647288.0,5229773300.0,-3900954.8,-3900954.8,-3899000.5,11558310000.0
2019-01-02,SERRES,0.37403983,0.37403983,0.35983086,0.007853946,0.42473736,0.42473736,0.4102354,0.0026446723,278.06046,278.06046,278.7539,0.9005455,7240449.5,7240449.5,7182261.0,14625746000.0,-4654686.5,-4654686.5,-4658553.5,1812358800.0
2019-01-03,SERRES,1.2628486,1.2628486,1.2621651,0.046208628,-0.9128815,-0.9128815,-0.9393463,0.039812796,276.83344,276.83344,277.32788,1.0068709,2638477.5,2638477.5,2676207.2,12906758000.0,-1484979.8,-1484979.8,-1497648.0,4313995300.0
2019-01-04,SERRES,0.13468628,0.13468628,0.13449097,0.0051024053,-0.6718744,-0.6718744,-0.7716303,0.071570694,274.2482,274.2482,274.59595,0.793205,1570354.2,1570354.2,1597148.2,12406281000.0,-1519477.2,-1519477.2,-1510111.5,16013060000.0
2019-01-05,SERRES,1.0059345,1.0059345,1.0550556,0.019859657,-0.36420593,-0.36420593,-0.21586609,0.036345616,272.65567,272.65567,273.01367,0.43847173,1380682.1,1380682.1,1321731.1,18194110000.0,-1231533.2,-1231533.2,-1267693.0,5734343700.0
2019-01-06,SERRES,2.005591,2.005591,2.1151123,0.08574453,-0.8646196,-0.8646196,-0.9301958,0.13204528,274.02994,274.02994,274.23022,1.8676026,4029783.2,4029783.2,3997449.5,158714900000.0,-3010171.5,-3010171.5,-2921812.0,17430184000.0
2019-01-07,SERRES,1.2532775,1.2532775,1.3067932,0.06647552,-0.8916748,-0.8916748,-0.9403076,0.06687005,272.9912,272.9912,273.03564,0.79970855,3708564.8,3708564.8,3706861.5,104123680000.0,-2865753.5,-2865753.5,-2842784.5,11031607000.0
2019-01-08,SERRES,1.131958,1.131958,1.1151123,0.01357007,0.22432557,0.22432557,0.35020447,0.04024965,271.04694,271.04694,271.4475,0.77933675,5003111.5,5003111.5,5011858.0,176315660000.0,-4038611.2,-4038611.2,-4034903.0,2015881500.0
2019-01-09,SERRES,-1.541919,-1.541919,-1.550415,0.007106838,-0.45409164,-0.45409164,-0.4566307,0.006221714,272.0835,272.0835,272.33496,0.18494043,1569694.2,1569694.2,1553593.8,39564290000.0,-938115.5,-938115.5,-962162.5,9535470000.0
2019-01-10,SERRES,-1.1890838,-1.1890838,-1.1898651,0.01708952,0.7165119,0.7165119,0.66690254,0.029234562,277.71182,277.71182,278.125,0.72238004,2262127.5,2262127.5,2266125.0,39946224000.0,-877844.4,-877844.4,-876183.0,1139446000.0
2019-01-11,SERRES,1.4624951,1.4624951,1.4667187,0.027491864,-0.4629364,-0.4629364,-0.3474579,0.03604231,275.69614,275.69614,276.0144,0.36725503,4613455.0,4613455.0,4698586.0,111835330000.0,-3281243.2,-3281243.2,-3286300.5,2646953500.0
2019-01-12,SERRES,1.6190125,1.6190125,1.6579285,0.025540128,-0.17658348,-0.17658348,-0.14064598,0.069733486,275.42007,275.42007,275.46118,0.13587546,4807833.0,4807833.0,4890102.0,136171360000.0,-2894195.5,-2894195.5,-2904737.0,931725630.0
2019-01-13,SERRES,0.86509,0.86509,0.85151577,0.013889948,0.14010754,0.14010754,0.15709972,0.024671687,275.9471,275.9471,276.43384,1.1778228,4458005.0,4458005.0,4428407.0,31845640000.0,-2879736.0,-2879736.0,-2935892.0,56749896000.0
2019-01-14,SERRES,0.87527466,0.87527466,0.8821106,0.012025952,-0.1390295,-0.1390295,-0.088736534,0.031995744,275.90176,275.90176,276.32373,0.5818536,4258802.5,4258802.5,4253787.0,61403673000.0,-2652922.8,-2652922.8,-2620840.5,19342860000.0
2019-01-15,SERRES,2.1958115,2.1958115,2.2875595,0.103834644,-1.981485,-1.981485,-1.9325104,0.11400856,275.2479,275.2479,275.4651,2.5404093,6671195.0,6671195.0,6687111.5,61428170000.0,-4091247.2,-4091247.2,-4131829.0,8822938000.0
2019-01-16,SERRES,2.0945983,2.0945983,2.2030945,0.100574836,-0.22797851,-0.22797851,-0.03149414,0.08229356,277.4415,277.4415,277.85156,1.845854,6708905.0,6708905.0,6604267.0,63954813000.0,-4010084.8,-4010084.8,-3932584.5,30446637000.0
2019-01-17,SERRES,0.19317551,0.19317551,0.20240402,0.0056259967,0.35041255,0.35041255,0.36769772,0.0010197973,281.50943,281.50943,281.93774,0.5003677,7296418.5,7296418.5,7188794.0,48062620000.0,-3997212.0,-3997212.0,-3922895.0,12317434000.0
2019-01-18,SERRES,0.56649476,0.56649476,0.5775299,0.015430532,0.08378677,0.08378677,0.09994888,0.009569153,280.0143,280.0143,280.14014,0.21864097,6000337.0,6000337.0,5977349.0,21750858000.0,-3503655.2,-3503655.2,-3483941.5,2142698800.0
2019-01-19,SERRES,-0.7115448,-0.7115448,-0.5839081,0.025772417,0.6822092,0.6822092,0.6899729,0.0021924113,282.84097,282.84097,283.25854,0.71015215,6331733.5,6331733.5,6272910.0,37640850000.0,-3092152.5,-3092152.5,-3069810.2,8134354000.0
2019-01-20,SERRES,-0.6072906,-0.6072906,-0.62379456,0.007210442,0.066251755,0.066251755,0.015958786,0.011397672,282.5337,282.5337,283.3169,1.3120743,3511828.0,3511828.0,3454014.0,39583520000.0,-845132.8,-845132.8,-858507.25,29248434000.0
2019-01-21,SERRES,-0.038467407,-0.038467407,-0.007217407,0.03738861,0.7807953,0.7807953,0.7949066,0.008809695,283.1649,283.1649,283.58765,0.80076516,5740521.0,5740521.0,5745953.0,4050578000.0,-2149034.0,-2149034.0,-2128787.8,7419248600.0
2019-01-22,SERRES,-2.4739685,-2.4739685,-2.520111,0.13920064,0.18093395,0.18093395,0.18288708,0.00668993,279.88174,279.88174,280.4624,0.7649325,2606023.0,2606023.0,2652065.0,32006025000.0,-711093.3,-711093.3,-796218.5,21210841000.0
2019-01-23,SERRES,-2.3519058,-2.3519058,-2.432228,0.10589459,-0.052093506,-0.052093506,-0.10824585,0.025072765,282.29135,282.29135,282.80005,1.3108517,2661783.5,2661783.5,2645584.5,2532624000.0,-1431487.8,-1431487.8,-1466552.0,19446030000.0
2019-01-24,SERRES,-0.19613953,-0.19613953,-0.17826843,0.030208549,-0.0046102526,-0.0046102526,-0.00065517426,0.02153569,284.81134,284.81134,285.47852,1.6718228,5918089.0,5918089.0,5824943.0,49994370000.0,-2648098.0,-2648098.0,-2750998.5,116959764000.0
2019-01-25,SERRES,-2.905571,-2.905571,-2.8357468,0.21154995,0.1193737,0.1193737,-0.17173958,0.13444534,282.30255,282.30255,282.7744,1.8246485,676755.56,676755.56,680003.56,360170780.0,-699203.9,-699203.9,-783120.0,49695320000.0
2019-01-26,SERRES,1.8386291,1.8386291,1.9933167,0.17525229,-1.1055744,-1.1055744,-1.0775471,0.049323138,279.70328,279.70328,279.4973,0.1600861,2761963.2,2761963.2,2761905.0,28196346000.0,-1418748.8,-1418748.8,-1505152.0,28759392000.0
2019-01-27,SERRES,0.32076415,0.32076415,0.29986572,0.0061620376,0.6387291,0.6387291,0.6157799,0.007528019,281.86896,281.86896,282.2041,0.59853494,8154349.0,8154349.0,8253784.0,39599268000.0,-3710038.8,-3710038.8,-3756023.5,43760742000.0
2019-01-28,SERRES,-1.3669109,-1.3669109,-1.427702,0.017749596,0.91264457,0.91264457,0.8115704,0.046145365,283.39047,283.39047,283.9348,1.2430856,4028937.5,4028937.5,3976049.0,69709770000.0,-1862195.4,-1862195.4,-1909810.5,33711657000.0
2019-01-29,SERRES,-1.0877345,-1.0877345,-1.1243067,0.0063614706,0.85539246,0.85539246,0.85539246,0.014067459,283.35513,283.35513,283.60913,1.2151365,2198831.2,2198831.2,2218714.0,22995204000.0,-1241022.8,-1241022.8,-1213108.5,25802609000.0
