Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,SOFADES,0.10173035,0.10173035,0.13468933,0.029788315,-0.282135,-0.282135,-0.3060608,0.03478515,279.09387,279.09387,279.104,0.11871962,2736398.2,2736398.2,2817614.5,344044200000.0,-1228673.0,-1228673.0,-1228967.5,19829699000.0
2019-01-02,SOFADES,-1.258028,-1.258028,-1.2884846,0.009176116,0.52955914,0.52955914,0.53169537,0.007561069,279.52112,279.52112,279.57983,0.040393636,6018997.0,6018997.0,6197552.0,1257253000000.0,-3875184.0,-3875184.0,-3921333.8,79916470000.0
2019-01-03,SOFADES,1.8941231,1.8941231,1.9254951,0.0094215125,-1.1289215,-1.1289215,-1.157608,0.019819066,274.09436,274.09436,274.07764,0.0017997473,371623.56,371623.56,354046.3,6917922000.0,-463136.5,-463136.5,-463142.5,359333820.0
2019-01-04,SOFADES,1.054779,1.054779,1.0724792,0.025651857,-0.9444208,-0.9444208,-0.94948673,0.006881874,272.36877,272.36877,272.40845,0.07419436,1069199.6,1069199.6,1013647.5,17663220000.0,-1426736.2,-1426736.2,-1415891.8,1009167000.0
2019-01-05,SOFADES,1.0722675,1.0722675,1.0926533,0.0027327985,0.002029419,0.002029419,-0.026657104,0.016255423,274.14307,274.14307,274.10596,0.044084787,1547573.1,1547573.1,1483144.1,30787885000.0,-1964855.4,-1964855.4,-1955511.5,5193123000.0
2019-01-06,SOFADES,-0.30456543,-0.30456543,-0.30981445,0.00850907,1.4019575,1.4019575,1.3859663,0.025616422,277.01257,277.01257,277.3413,0.5490119,2353457.0,2353457.0,2247246.8,130193620000.0,-2231152.0,-2231152.0,-2193305.5,21670207000.0
2019-01-07,SOFADES,-0.09780884,-0.09780884,-0.1211853,0.013133835,-1.3344116,-1.3344116,-1.328125,0.010403793,274.98608,274.98608,275.08276,0.36384708,2064496.1,2064496.1,1967171.5,94005200000.0,-2000469.6,-2000469.6,-1959574.0,15270248000.0
2019-01-08,SOFADES,-1.2406006,-1.2406006,-1.2662354,0.010987014,1.0323334,1.0323334,1.0527191,0.049672097,272.8152,272.8152,273.11865,1.1117817,2641980.8,2641980.8,2512414.5,207067580000.0,-3110026.5,-3110026.5,-3058319.0,38450120000.0
2019-01-09,SOFADES,-0.9984131,-0.9984131,-0.9737549,0.0046798587,0.029331207,0.029331207,0.047763824,0.011767432,273.6444,273.6444,273.65332,0.010669515,827234.0,827234.0,788499.3,19428123000.0,243304.0,243304.0,252653.25,20849863000.0
2019-01-10,SOFADES,-0.26957703,-0.26957703,-0.2823944,0.0023706406,2.6810627,2.6810627,2.6759357,0.009760976,278.73608,278.73608,278.76392,0.0090940595,1365295.2,1365295.2,1312317.5,47531966000.0,-567445.75,-567445.75,-550228.75,10603060000.0
2019-01-11,SOFADES,-1.0437489,-1.0437489,-1.0533619,0.027658442,-0.9872894,-0.9872894,-0.9946747,0.00505824,280.91577,280.91577,281.04565,0.8198005,2424096.0,2424096.0,2345365.2,74956700000.0,-1808416.4,-1808416.4,-1810398.5,9544530000.0
2019-01-12,SOFADES,0.806427,0.806427,0.77316284,0.0068477206,0.4577427,0.4577427,0.4487095,0.038777173,275.3694,275.3694,275.31543,0.08563411,957683.25,957683.25,927239.7,15519418000.0,-566474.75,-566474.75,-575908.0,1248422500.0
2019-01-13,SOFADES,-0.8798685,-0.8798685,-0.85649204,0.0031722896,0.28765392,0.28765392,0.27624035,0.031641882,277.94177,277.94177,277.93555,0.027685568,3214399.5,3214399.5,3107945.0,172463030000.0,-3308365.0,-3308365.0,-3288578.8,1803587200.0
2019-01-14,SOFADES,-0.3835144,-0.3835144,-0.4015808,0.007259041,-0.048392296,-0.048392296,-0.037528038,0.022076491,279.1206,279.1206,279.09863,0.017603278,1909827.5,1909827.5,1853647.6,47362355000.0,-1593050.1,-1593050.1,-1571821.8,9384625000.0
2019-01-15,SOFADES,3.4231186,3.4231186,3.4727402,0.026339512,-2.8318024,-2.8318024,-2.8464508,0.003202036,275.71814,275.71814,275.7964,0.15608636,3832483.0,3832483.0,3752144.0,165247320000.0,-3714646.0,-3714646.0,-3725077.0,1619450400.0
2019-01-16,SOFADES,1.561676,1.561676,1.5567322,0.0024118833,0.6279297,0.6279297,0.61694336,0.0016515851,281.0498,281.0498,280.98047,0.3457446,3961627.5,3961627.5,3883760.0,147204550000.0,-3218308.8,-3218308.8,-3204686.0,2288227300.0
2019-01-17,SOFADES,-0.8087044,-0.8087044,-0.8300667,0.05414419,0.46321774,0.46321774,0.47865963,0.0037761442,282.7682,282.7682,282.77246,0.016410276,4191766.8,4191766.8,4086422.5,191268680000.0,-2971232.8,-2971232.8,-2953614.5,3280705800.0
2019-01-18,SOFADES,-0.052597046,-0.052597046,-0.071762085,0.03921309,0.67264175,0.67264175,0.666111,0.011509281,285.0594,285.0594,285.11536,0.0420276,3858243.0,3858243.0,3688893.5,437639250000.0,-1939257.9,-1939257.9,-1876495.2,43788450000.0
2019-01-19,SOFADES,-1.005661,-1.005661,-1.0394745,0.016451523,0.08761692,0.08761692,0.094880104,0.03387783,285.09558,285.09558,285.00293,0.12660067,4218403.5,4218403.5,3984856.5,922672900000.0,-2013219.2,-2013219.2,-1917999.5,103793070000.0
2019-01-20,SOFADES,-0.7205353,-0.7205353,-0.7406769,0.0030934103,-0.20254707,-0.20254707,-0.20645332,0.0017931759,285.4419,285.4419,285.3921,0.11024964,4627126.0,4627126.0,4441993.0,1136338700000.0,-1808127.5,-1808127.5,-1728930.6,138586180000.0
2019-01-21,SOFADES,-1.0229034,-1.0229034,-1.0200348,0.0003186576,-0.560318,-0.560318,-0.55433655,0.0144967735,283.93286,283.93286,283.95264,0.015031934,4684572.0,4684572.0,4569340.5,1047411000000.0,-2095484.5,-2095484.5,-2028097.6,163174940000.0
2019-01-22,SOFADES,-1.2402649,-1.2402649,-1.2406921,0.0028886609,0.05910778,0.05910778,0.05178356,0.008412629,284.7251,284.7251,284.73535,0.043738842,3956996.8,3956996.8,3872013.0,681650550000.0,-982056.1,-982056.1,-927139.25,151937600000.0
2019-01-23,SOFADES,-1.4289932,-1.4289932,-1.433815,0.009120684,0.07571411,0.07571411,0.08950806,0.0050976723,283.7312,283.7312,283.69336,0.03585756,3323539.0,3323539.0,3295670.5,373117940000.0,-1175894.0,-1175894.0,-1148096.4,153957480000.0
2019-01-24,SOFADES,-1.1594696,-1.1594696,-1.1628876,0.004348576,-0.44657803,-0.44657803,-0.44889736,0.02669625,285.87463,285.87463,285.95142,0.043835208,7240526.5,7240526.5,7371621.5,1158021300000.0,-3327361.5,-3327361.5,-3363296.2,226449720000.0
2019-01-25,SOFADES,0.2376175,0.2376175,0.21601105,0.025903866,0.12611198,0.12611198,0.12489128,0.03887093,282.64575,282.64575,282.64917,0.025092185,2198108.0,2198108.0,2266041.5,47072866000.0,-744983.9,-744983.9,-799328.5,74785186000.0
2019-01-26,SOFADES,0.5248108,0.5248108,0.5333557,0.057219088,-1.3028889,-1.3028889,-1.3297443,0.009909689,281.51074,281.51074,281.66528,0.13260776,6201421.0,6201421.0,6373708.5,342060200000.0,-2578235.5,-2578235.5,-2645791.2,38477586000.0
2019-01-27,SOFADES,-1.5818481,-1.5818481,-1.5598755,0.0062912256,-0.05804825,-0.05804825,-0.05133438,0.0032292306,284.60797,284.60797,284.5996,0.0055662207,8967717.0,8967717.0,9160808.0,423786380000.0,-3866984.8,-3866984.8,-3946933.8,79675785000.0
2019-01-28,SOFADES,-1.0533123,-1.0533123,-1.0780926,0.08049397,1.3227398,1.3227398,1.3326886,0.08113352,286.08704,286.08704,286.11157,0.07726674,5719325.5,5719325.5,5808521.0,195518150000.0,-2368915.5,-2368915.5,-2425695.0,56995980000.0
2019-01-29,SOFADES,-0.7283106,-0.7283106,-0.72892094,0.003335148,-1.2273712,-1.2273712,-1.2241974,0.0016210675,283.68994,283.68994,283.68823,0.10753173,3892284.8,3892284.8,3935769.0,61349710000.0,-1497134.2,-1497134.2,-1528195.2,17331454000.0
2019-01-30,SOFADES,1.789279,1.789279,1.7920256,0.012011509,1.3514662,1.3514662,1.354579,0.018592667,284.77655,284.77655,284.82007,0.046170123,6187638.0,6187638.0,6247982.5,131282040000.0,-2300645.2,-2300645.2,-2337725.5,16332587000.0
2019-01-31,SOFADES,4.12844,4.12844,4.1571264,0.03155805,1.9403028,1.9403028,1.9320021,0.0022210032,282.96863,282.96863,283.00415,0.065955326,6379104.5,6379104.5,6441605.0,77868030000.0,-2766760.5,-2766760.5,-2795640.5,14815612000.0
2019-02-01,SOFADES,1.0547333,1.0547333,1.0709076,0.048419513,1.1303711,1.1303711,1.137207,0.02806294,287.56873,287.56873,287.573,0.026467368,8173621.0,8173621.0,8219189.0,92668640000.0,-3632226.8,-3632226.8,-3648786.5,14151123000.0
2019-02-02,SOFADES,-1.9160004,-1.9160004,-1.9515228,0.034870535,-0.37350273,-0.37350273,-0.3738079,0.013250601,288.89587,288.89587,288.87988,0.048896,9537234.0,9537234.0,9523776.0,22972342000.0,-4030772.5,-4030772.5,-4022697.8,6920490000.0
2019-02-03,SOFADES,-2.0269518,-2.0269518,-2.0444689,0.0044267885,-0.23580933,-0.23580933,-0.23330688,0.0011441521,287.9068,287.9068,287.90027,0.04052336,7965198.0,7965198.0,7943226.5,2809788000.0,-3438180.5,-3438180.5,-3448974.2,3735241000.0
2019-02-04,SOFADES,-1.9525299,-1.9525299,-1.9530792,0.022223156,-1.0475941,-1.0475941,-1.0334339,0.0017353445,286.969,286.969,286.9829,0.026933014,6338425.0,6338425.0,6339628.0,11719186000.0,-2421156.2,-2421156.2,-2425180.8,5282684400.0
2019-02-05,SOFADES,-2.455658,-2.455658,-2.443573,0.009900019,-2.0823479,-2.0823479,-2.0915031,0.014610559,286.33618,286.33618,286.36108,0.01947093,6140355.0,6140355.0,6148706.0,33137586000.0,-2256013.5,-2256013.5,-2252163.0,3394543900.0
2019-02-06,SOFADES,-2.035304,-2.035304,-2.0325575,0.038993575,-3.2418022,-3.2418022,-3.2365532,0.029977605,281.81787,281.81787,281.82642,0.04101199,2656868.8,2656868.8,2655512.0,17190457000.0,-949868.1,-949868.1,-953741.75,4808521700.0
2019-02-07,SOFADES,-2.2149506,-2.2149506,-2.2142792,0.010169458,-0.44703865,-0.44703865,-0.46400642,0.001428768,281.38904,281.38904,281.39868,0.020255491,5248533.0,5248533.0,5265371.0,5507910000.0,-1694100.5,-1694100.5,-1693880.2,5903879700.0
2019-02-08,SOFADES,-1.205677,-1.205677,-1.1967659,0.0018995553,0.15623474,0.15623474,0.14433289,0.008845102,282.9306,282.9306,282.94653,0.021755915,6112607.0,6112607.0,6091128.0,17993447000.0,-2615042.5,-2615042.5,-2617918.0,8943882000.0
2019-02-09,SOFADES,-0.76153564,-0.76153564,-0.76989746,0.007342916,0.12819004,0.12819004,0.12226963,0.008968633,284.04907,284.04907,284.05713,0.011449546,7237336.0,7237336.0,7211820.5,18321895000.0,-2803797.2,-2803797.2,-2800841.5,5090301000.0
2019-02-10,SOFADES,-1.177659,-1.177659,-1.2220926,0.022267014,0.5332613,0.5332613,0.5286226,0.00085647404,286.95007,286.95007,286.94202,0.00876011,11168216.0,11168216.0,11210194.0,20253180000.0,-4359080.5,-4359080.5,-4341253.5,1532510200.0
2019-02-11,SOFADES,0.85223484,0.85223484,0.85797215,0.0074565858,3.1854277,3.1854277,3.191043,0.0024093091,287.83704,287.83704,287.89514,0.07842113,8914416.0,8914416.0,8959307.0,131742840000.0,-3588249.0,-3588249.0,-3600695.5,15498313000.0
2019-02-12,SOFADES,0.66988087,0.66988087,0.6919756,0.036379486,0.10709953,0.10709953,0.10221672,0.050959587,283.92273,283.92273,283.9568,0.043844983,8308779.5,8308779.5,8315477.5,6356941300.0,-3716230.8,-3716230.8,-3713689.5,1753858300.0
2019-02-13,SOFADES,-2.1026459,-2.1026459,-2.1163788,0.0064208917,-2.3325653,-2.3325653,-2.3324432,0.0037769526,279.77783,279.77783,279.7964,0.063902676,5664982.0,5664982.0,5678569.0,37748867000.0,-2787829.5,-2787829.5,-2785653.5,7870407700.0
2019-02-14,SOFADES,-0.36378574,-0.36378574,-0.32698154,0.025929343,-0.74775696,-0.74775696,-0.7577667,0.022454143,283.64404,283.64404,283.67114,0.042420685,11465864.0,11465864.0,11471222.0,62591693000.0,-4509026.5,-4509026.5,-4509748.0,6649530000.0
2019-02-15,SOFADES,-2.2450094,-2.2450094,-2.2414694,0.030703828,-1.4035187,-1.4035187,-1.421341,0.01673001,280.93958,280.93958,280.96484,0.022416636,10351527.0,10351527.0,10353274.0,67810790000.0,-4441063.0,-4441063.0,-4442666.5,5281355000.0
2019-02-16,SOFADES,-0.32740784,-0.32740784,-0.30989075,0.0032368414,0.49813843,0.49813843,0.5155945,0.013617322,281.92828,281.92828,281.9536,0.05566395,7903841.5,7903841.5,7916561.0,256732170000.0,-3017200.5,-3017200.5,-3021008.8,28451890000.0
2019-02-17,SOFADES,0.18933773,0.18933773,0.1826849,0.02531476,0.3319702,0.3319702,0.3232422,0.0015297048,284.06427,284.06427,284.0874,0.022477191,11885827.0,11885827.0,11897050.0,51488633000.0,-4904854.0,-4904854.0,-4903018.0,4364756000.0
2019-02-18,SOFADES,-0.747447,-0.747447,-0.7585554,0.006581351,-0.04522705,-0.04522705,-0.055847168,0.0027402192,287.1881,287.1881,287.18433,0.01426892,12548468.0,12548468.0,12570688.0,21432961000.0,-4965591.0,-4965591.0,-4970901.0,549309630.0
2019-02-19,SOFADES,-1.2103729,-1.2103729,-1.2111664,0.006346237,-0.0059661865,-0.0059661865,-0.0033416748,0.0015273802,287.69165,287.69165,287.68237,0.004036814,12848581.0,12848581.0,12878626.0,12670222000.0,-5110920.0,-5110920.0,-5116969.0,2561159700.0
2019-02-20,SOFADES,-0.8765793,-0.8765793,-0.89751434,0.010083776,0.49339294,0.49339294,0.5076752,0.022237323,289.0805,289.0805,289.08447,0.0022865646,13062358.0,13062358.0,13091341.0,13848136000.0,-5117268.5,-5117268.5,-5124482.0,3246458600.0
2019-02-21,SOFADES,-1.2401428,-1.2401428,-1.2530823,0.0066462755,0.45111084,0.45111084,0.42462158,0.0063281357,288.02454,288.02454,288.04187,0.0048591644,12871020.0,12871020.0,12891065.0,11048940000.0,-5026834.0,-5026834.0,-5035815.5,3182146800.0
