Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,THESSALONIKI,0.65334165,0.65334165,0.7679901,0.045293275,-1.6003968,-1.6003968,-1.5257874,0.2245193,280.42984,280.42984,280.58374,0.20641653,6062636.0,6062636.0,6102894.0,17678385000.0,-3350424.5,-3350424.5,-3359667.0,1649410400.0
2019-01-02,THESSALONIKI,-0.3515461,-0.3515461,-0.24856758,0.04390012,-0.17516498,-0.17516498,-0.39420795,0.15257724,278.0753,278.0753,278.1831,0.25937867,7574961.5,7574961.5,7587323.5,9355999000.0,-4478224.0,-4478224.0,-4498738.0,4612969000.0
2019-01-03,THESSALONIKI,1.6956612,1.6956612,1.5966377,0.17747016,-3.178311,-3.178311,-2.8333893,0.6965729,275.51715,275.51715,275.55786,0.17557226,1477802.0,1477802.0,1507569.8,5672044000.0,-1100668.8,-1100668.8,-1091499.5,858449800.0
2019-01-04,THESSALONIKI,0.05265503,0.05265503,0.11593628,0.099909835,-2.5932124,-2.5932124,-2.2772455,0.55624324,273.05347,273.05347,272.9353,0.14580221,1481382.4,1481382.4,1468969.8,10007661000.0,-1268430.4,-1268430.4,-1288222.0,2304356900.0
2019-01-05,THESSALONIKI,1.4707782,1.4707782,1.4075947,0.042116888,-2.2436981,-2.2436981,-2.1338348,0.7126956,273.03973,273.03973,272.7827,0.37936386,2004916.2,2004916.2,1991258.1,51121918000.0,-1231727.9,-1231727.9,-1190137.0,21939860000.0
2019-01-06,THESSALONIKI,2.969995,2.969995,2.887085,0.35689113,-3.1288285,-3.1288285,-2.9399614,0.7475734,275.82944,275.82944,275.5984,0.43241248,4928481.0,4928481.0,4902149.5,349072460000.0,-3509465.5,-3509465.5,-3305480.5,325088900000.0
2019-01-07,THESSALONIKI,2.2819397,2.2819397,2.1593323,0.08181084,-3.65813,-3.65813,-3.331421,0.7267722,272.9709,272.9709,272.86426,0.28808865,4356386.5,4356386.5,4358982.0,203954160000.0,-3773297.5,-3773297.5,-3682187.5,263206760000.0
2019-01-08,THESSALONIKI,0.40251464,0.40251464,0.6102295,0.14936422,-0.6317291,-0.6317291,-0.7240143,0.09693746,271.92523,271.92523,271.57495,0.3196302,5439568.5,5439568.5,5447769.0,316777960000.0,-4820164.0,-4820164.0,-4883423.0,81581990000.0
2019-01-09,THESSALONIKI,-1.4764893,-1.4764893,-1.5626221,0.49832392,-1.3965721,-1.3965721,-1.3345604,0.0345273,272.6624,272.6624,272.42285,0.79569554,1336580.2,1336580.2,1336122.8,15157658000.0,-477728.3,-477728.3,-417007.0,23575822000.0
2019-01-10,THESSALONIKI,-0.49289244,-0.49289244,-0.36906433,0.054912724,-0.65653497,-0.65653497,-0.60409355,0.054581035,277.7123,277.7123,278.0298,1.9692672,2853031.8,2853031.8,2778455.0,80234450000.0,-1453375.5,-1453375.5,-1380363.0,33025053000.0
2019-01-11,THESSALONIKI,0.5698681,0.5698681,0.61564445,0.014372337,-2.5034637,-2.5034637,-2.3142548,0.30723923,276.4904,276.4904,276.1892,0.43300256,5169397.0,5169397.0,5121528.5,225945110000.0,-3238733.2,-3238733.2,-3275625.0,19289608000.0
2019-01-12,THESSALONIKI,1.1246277,1.1246277,1.0212097,0.049694385,-2.7454312,-2.7454312,-2.4936733,0.35049465,275.7395,275.7395,275.34058,0.61610067,4281951.0,4281951.0,4259547.0,92954470000.0,-2421079.0,-2421079.0,-2425962.0,9445224000.0
