Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,TIRNAVOS,-0.8698273,-0.8698273,-0.8704376,0.03000407,-0.5649719,-0.5649719,-0.5243225,0.24204639,279.89636,279.89636,279.865,0.10274474,4520948.0,4520948.0,4520922.5,10960036000.0,-2128357.5,-2128357.5,-2148148.5,14059062000.0
2019-01-02,TIRNAVOS,-0.55337715,-0.55337715,-0.533968,0.01177372,0.749774,0.749774,0.74922466,0.0027817897,279.0807,279.0807,278.98218,0.104807064,7782907.5,7782907.5,7778973.0,5346569000.0,-4504675.0,-4504675.0,-4496160.0,624235650.0
2019-01-03,TIRNAVOS,0.8842354,0.8842354,0.8544502,0.019230723,-0.98109436,-0.98109436,-0.88905334,0.15550107,274.27454,274.27454,274.29492,0.075043365,644085.3,644085.3,646409.56,2795521500.0,-629212.75,-629212.75,-640436.0,1983010300.0
2019-01-04,TIRNAVOS,0.20419312,0.20419312,0.17770386,0.022355124,-1.3272943,-1.3272943,-1.2577143,0.12975389,272.92798,272.92798,272.89478,0.056701303,1503249.8,1503249.8,1521781.0,115476280000.0,-1113224.9,-1113224.9,-1105963.2,4777434000.0
2019-01-05,TIRNAVOS,0.64087105,0.64087105,0.63025093,0.0015947074,0.10273743,0.10273743,0.16035461,0.046780407,274.50122,274.50122,274.47412,0.042064965,2483088.8,2483088.8,2482661.5,512098500000.0,-1917345.9,-1917345.9,-1900863.0,20767031000.0
2019-01-06,TIRNAVOS,-0.36193848,-0.36193848,-0.3326416,0.016998827,0.576457,0.576457,0.60740185,0.10136942,278.82568,278.82568,278.84204,0.058942497,4080003.5,4080003.5,4094067.8,1172023500000.0,-3008554.2,-3008554.2,-2996010.2,186732630000.0
2019-01-07,TIRNAVOS,-0.3701477,-0.3701477,-0.35043335,0.030160826,-1.5059814,-1.5059814,-1.4541016,0.11122349,273.68738,273.68738,273.687,0.013375208,3308318.5,3308318.5,3321931.8,728098800000.0,-2357303.8,-2357303.8,-2347149.2,158191450000.0
2019-01-08,TIRNAVOS,0.07904053,0.07904053,0.08972168,0.053200968,1.0622406,1.0622406,1.0618744,0.019769952,273.35632,273.35632,273.27783,0.21637204,4443846.5,4443846.5,4458111.0,1285979400000.0,-3519991.5,-3519991.5,-3516748.0,139394170000.0
2019-01-09,TIRNAVOS,-0.091918945,-0.091918945,-0.10583496,0.072847486,-0.47213364,-0.47213364,-0.47933578,0.010996029,273.51575,273.51575,273.52686,0.03646128,1179744.5,1179744.5,1183006.2,84747320000.0,48185.375,48185.375,49555.0,21654786000.0
2019-01-10,TIRNAVOS,0.42793274,0.42793274,0.43025208,0.09169416,1.8906574,1.8906574,1.9183674,0.020908162,278.5359,278.5359,278.6311,0.34014374,2344138.0,2344138.0,2345162.5,291222360000.0,-1178443.5,-1178443.5,-1175247.2,53958705000.0
2019-01-11,TIRNAVOS,-0.7929554,-0.7929554,-0.7941456,0.013615238,-0.48136902,-0.48136902,-0.52104187,0.05218546,280.03027,280.03027,280.13135,0.27213055,3821626.2,3821626.2,3827691.5,618781300000.0,-2213372.5,-2213372.5,-2216408.2,64187085000.0
2019-01-12,TIRNAVOS,-0.12887573,-0.12887573,-0.13430786,0.010256182,0.10947609,0.10947609,0.16868019,0.12864164,277.22595,277.22595,277.18115,0.06798701,1774335.5,1774335.5,1775941.8,163801650000.0,-887671.6,-887671.6,-893627.25,32599368000.0
2019-01-13,TIRNAVOS,-0.029709816,-0.029709816,-0.052659035,0.006186679,0.7963209,0.7963209,0.7950392,0.006630283,277.78394,277.78394,277.69922,0.09675777,5049855.0,5049855.0,5072337.5,817020000000.0,-3515829.8,-3515829.8,-3512405.2,54461743000.0
2019-01-14,TIRNAVOS,0.5210266,0.5210266,0.53738403,0.010106653,0.062996864,0.062996864,0.04920292,0.012061089,277.9619,277.9619,277.94507,0.03148806,2945640.8,2945640.8,2961398.0,248292900000.0,-1972761.4,-1972761.4,-1964620.0,31175987000.0
2019-01-15,TIRNAVOS,2.0788193,2.0788193,2.0327988,0.02999124,-2.311905,-2.311905,-2.2158356,0.09092876,275.68823,275.68823,275.6626,0.04904425,5472988.5,5472988.5,5492914.0,660678700000.0,-3851681.0,-3851681.0,-3859709.2,49088168000.0
2019-01-16,TIRNAVOS,1.3070374,1.3070374,1.3155212,0.0009695105,0.28430176,0.28430176,0.28149414,0.06915133,279.52905,279.52905,279.45923,0.8398822,5545541.0,5545541.0,5570082.5,601257800000.0,-3322464.2,-3322464.2,-3325557.8,63234867000.0
2019-01-17,TIRNAVOS,0.048778534,0.048778534,0.067028046,0.029528718,0.39308834,0.39308834,0.3957739,0.004805535,281.57385,281.57385,281.52832,0.021437451,5885135.0,5885135.0,5914622.0,751386600000.0,-3304579.5,-3304579.5,-3314039.2,85994406000.0
2019-01-18,TIRNAVOS,0.52272034,0.52272034,0.54200745,0.03725256,0.72452164,0.72452164,0.719944,0.0020993166,282.48444,282.48444,282.45447,0.19101208,5198044.0,5198044.0,5208276.0,662239050000.0,-2508240.5,-2508240.5,-2501958.2,126360035000.0
2019-01-19,TIRNAVOS,-0.6412201,-0.6412201,-0.65763855,0.009464037,0.15213108,0.15213108,0.14236546,0.049031496,283.86548,283.86548,283.74585,0.18084991,5977156.0,5977156.0,6021534.0,688872550000.0,-2678608.5,-2678608.5,-2679335.5,138460800000.0
2019-01-20,TIRNAVOS,0.39439392,0.39439392,0.40641785,0.004233472,0.71865654,0.71865654,0.7079754,0.006705951,284.27527,284.27527,284.16113,0.04410605,6129484.5,6129484.5,6154704.5,159590740000.0,-2240783.8,-2240783.8,-2231258.2,46432010000.0
2019-01-21,TIRNAVOS,-0.80415344,-0.80415344,-0.80799866,0.010813456,0.07511902,0.07511902,0.053085327,0.052202858,283.05127,283.05127,282.95947,0.045695364,6041601.5,6041601.5,6047736.0,81962930000.0,-2680777.5,-2680777.5,-2666958.0,47872352000.0
