Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,TRIKALA,0.50016785,0.50016785,0.59220886,0.033016026,0.6911723,0.6911723,0.7701111,0.057200562,277.6809,277.6809,277.6609,0.41833267,2832092.2,2832092.2,2809116.0,301797300000.0,-1625604.6,-1625604.6,-1630393.0,9395899000.0
2019-01-02,TRIKALA,-0.62539864,-0.62539864,-0.63687325,0.05155127,0.7428363,0.7428363,0.7536192,0.0016770494,278.78857,278.78857,278.64893,0.19963424,5419523.5,5419523.5,5382988.0,979581300000.0,-3910274.8,-3910274.8,-3967696.5,80546420000.0
2019-01-03,TRIKALA,1.5816637,1.5816637,1.661335,0.069221,-1.4025625,-1.4025625,-1.4141998,0.009984546,274.0126,274.0126,273.9668,0.19794494,598276.3,598276.3,582776.06,1263564000.0,-578440.25,-578440.25,-572077.75,1185194100.0
2019-01-04,TRIKALA,0.60161334,0.60161334,0.65670776,0.0764771,-0.97154075,-0.97154075,-0.9704828,0.004267244,271.43417,271.43417,271.60327,0.33574298,1389429.5,1389429.5,1342989.2,15157458000.0,-1483598.4,-1483598.4,-1447973.2,12158701000.0
2019-01-05,TRIKALA,0.89245796,0.89245796,0.9273701,0.015939793,-0.4148407,-0.4148407,-0.4028778,0.035044093,273.16528,273.16528,272.78394,0.6894994,2899905.2,2899905.2,2845570.0,50207870000.0,-2623968.0,-2623968.0,-2606008.2,3766558500.0
2019-01-06,TRIKALA,0.2290039,0.2290039,0.21899414,0.0016065985,0.41404247,0.41404247,0.42331982,0.21728204,278.5668,278.5668,278.52124,0.27495185,3491431.0,3491431.0,3399317.2,154483050000.0,-2961344.2,-2961344.2,-2910536.0,41785766000.0
2019-01-07,TRIKALA,0.8503723,0.8503723,0.8791809,0.01577647,-1.7256266,-1.7256266,-1.6994629,0.005123768,271.98926,271.98926,272.26978,0.49579024,2751345.8,2751345.8,2659906.2,90699964000.0,-2365243.2,-2365243.2,-2384252.5,20978577000.0
2019-01-08,TRIKALA,-0.20772298,-0.20772298,-0.22253418,0.093434036,1.0511322,1.0511322,1.0275726,0.023714185,273.54166,273.54166,273.47583,0.45107892,3762882.8,3762882.8,3653054.5,205487470000.0,-3496729.0,-3496729.0,-3510702.5,39358386000.0
2019-01-09,TRIKALA,-0.7886149,-0.7886149,-0.8013916,0.022632075,0.03376643,0.03376643,-0.045009613,0.029525891,273.16138,273.16138,273.19385,0.023145258,855541.2,855541.2,831614.8,22598924000.0,307027.1,307027.1,282158.0,17306237000.0
2019-01-10,TRIKALA,-0.0209198,-0.0209198,-0.012863159,0.074377775,1.2244383,1.2244383,1.1669025,0.023601325,279.33716,279.33716,279.18604,0.7521723,1965427.9,1965427.9,1935356.0,70029710000.0,-750595.3,-750595.3,-756370.25,16136144000.0
