Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,VEROIA,0.14164734,0.14164734,0.16618347,0.02392368,0.22665405,0.22665405,0.18270874,0.068629384,279.80176,279.80176,279.74146,3.293955,5702695.5,5702695.5,5696841.0,19296565000.0,-3008566.5,-3008566.5,-2982494.2,68443280000.0
2019-01-02,VEROIA,-0.6813679,-0.6813679,-0.68741035,0.009381872,0.6118345,0.6118345,0.5672178,0.053516068,278.0442,278.0442,277.95435,1.5588193,7620413.5,7620413.5,7627383.0,7532900400.0,-4792317.5,-4792317.5,-4778811.0,26382152000.0
2019-01-03,VEROIA,2.0348701,2.0348701,2.062458,0.10332495,-0.83473206,-0.83473206,-0.8790436,0.015308425,273.52795,273.52795,273.5056,1.4284966,872349.7,872349.7,882964.8,6667352000.0,-766451.4,-766451.4,-749955.0,29391331000.0
2019-01-04,VEROIA,0.8293152,0.8293152,0.8432312,0.051449895,-1.3756342,-1.3756342,-1.3615961,0.0051330626,270.94128,270.94128,270.88916,1.5323032,1274547.2,1274547.2,1276591.0,6756286500.0,-1085140.2,-1085140.2,-1040400.0,47751655000.0
2019-01-05,VEROIA,1.1761494,1.1761494,1.1878681,0.004588723,-0.030929565,-0.030929565,-0.019577026,0.014228746,271.97815,271.97815,271.89478,1.7424395,2182799.2,2182799.2,2114587.5,29893734000.0,-1929510.5,-1929510.5,-1917389.0,24372523000.0
2019-01-06,VEROIA,1.4556885,1.4556885,1.4768066,0.019327492,-0.19142628,-0.19142628,-0.17543507,0.02603212,275.7168,275.7168,275.68018,2.0298412,3016836.5,3016836.5,2961118.0,45443500000.0,-2614317.5,-2614317.5,-2560689.0,15456001000.0
2019-01-07,VEROIA,1.5761414,1.5761414,1.5852356,0.058265485,-1.3632202,-1.3632202,-1.376709,0.013509136,269.19287,269.19287,269.00586,2.0335994,2599548.0,2599548.0,2564652.5,20649198000.0,-2507820.0,-2507820.0,-2462245.8,38409695000.0
2019-01-08,VEROIA,-0.5172119,-0.5172119,-0.48791504,0.07476956,0.07206726,0.07206726,0.073349,0.0053105466,272.17468,272.17468,272.11646,1.0489442,3471926.0,3471926.0,3457967.0,31541311000.0,-3304355.0,-3304355.0,-3231291.5,24367913000.0
2019-01-09,VEROIA,-0.11206055,-0.11206055,-0.14318848,0.06604628,-0.83309555,-0.83309555,-0.8291893,0.028837323,270.568,270.568,270.57446,0.1971983,945355.06,945355.06,921426.8,3988457200.0,49310.875,49310.875,74025.25,9141817000.0
2019-01-10,VEROIA,0.43415833,0.43415833,0.42536926,0.0014988184,0.3512287,0.3512287,0.33999825,0.039866745,277.16248,277.16248,277.22827,0.66922706,1607723.5,1607723.5,1608497.5,12517973000.0,-843996.25,-843996.25,-841577.5,3532998000.0
2019-01-11,VEROIA,0.20414543,0.20414543,0.18583488,0.019378722,-1.1210175,-1.1210175,-1.1069794,0.00458996,276.77307,276.77307,276.65747,2.8712368,3058664.0,3058664.0,3078450.2,21312653000.0,-2116109.5,-2116109.5,-2079260.5,9333194000.0
2019-01-12,VEROIA,1.3811951,1.3811951,1.3843689,0.041466966,-0.6618862,-0.6618862,-0.64235497,0.010597527,273.23267,273.23267,273.25,0.87215626,2794303.8,2794303.8,2780797.2,6050575000.0,-2225061.0,-2225061.0,-2217515.8,9289350000.0
2019-01-13,VEROIA,0.016371727,0.016371727,0.014113426,0.023549866,-0.0031175613,-0.0031175613,-0.02832508,0.004825961,275.97766,275.97766,275.8723,0.98160195,4086111.8,4086111.8,4119727.5,37852504000.0,-3238909.5,-3238909.5,-3240000.0,5366539300.0
2019-01-14,VEROIA,0.10775757,0.10775757,0.10708618,0.021481317,0.08292484,0.08292484,0.10932255,0.0029279022,276.4176,276.4176,276.3977,1.3646567,2552923.5,2552923.5,2581833.0,11753259000.0,-1531356.0,-1531356.0,-1520075.2,7547916000.0
2019-01-15,VEROIA,2.4912338,2.4912338,2.519371,0.06298304,-1.5954132,-1.5954132,-1.549942,0.015711945,272.83618,272.83618,272.73535,2.4108806,4599891.5,4599891.5,4654117.0,30932240000.0,-4045774.5,-4045774.5,-4035748.8,19709215000.0
2019-01-16,VEROIA,2.0188904,2.0188904,2.000702,0.004721597,0.1730957,0.1730957,0.15991211,0.004626155,275.9713,275.9713,275.96338,0.53134555,4615908.0,4615908.0,4688998.5,21264423000.0,-3064179.0,-3064179.0,-3037679.0,22976336000.0
2019-01-17,VEROIA,0.053905487,0.053905487,0.050060272,0.02187432,0.1319189,0.1319189,0.1284399,0.004146468,280.23975,280.23975,280.18945,0.5892894,5006841.0,5006841.0,4840430.0,106902880000.0,-3201680.0,-3201680.0,-3156566.5,16864449000.0
2019-01-18,VEROIA,0.24458313,0.24458313,0.2403717,0.025798809,0.30331802,0.30331802,0.31357193,0.011934161,279.61194,279.61194,279.61133,0.7099943,3737300.5,3737300.5,3591774.5,116241940000.0,-2067015.2,-2067015.2,-1964807.5,60572475000.0
2019-01-19,VEROIA,-0.847641,-0.847641,-0.861496,0.0023347847,-0.18435574,-0.18435574,-0.18722439,0.00018225238,280.9154,280.9154,280.88623,1.0030899,4230981.0,4230981.0,3966975.2,264997910000.0,-2046856.5,-2046856.5,-1916332.0,74570105000.0
2019-01-20,VEROIA,-0.6200409,-0.6200409,-0.6361847,0.030067341,-0.15316963,-0.15316963,-0.1567707,0.0024816208,282.39526,282.39526,282.3706,1.6283023,3909753.5,3909753.5,3690794.0,236071040000.0,-1132578.5,-1132578.5,-1006348.1,76052980000.0
2019-01-21,VEROIA,-0.9762726,-0.9762726,-0.96791077,0.00030238554,-0.18348694,-0.18348694,-0.19410706,0.0035610944,281.36572,281.36572,281.34277,2.2022192,5596474.0,5596474.0,5423559.5,438160750000.0,-2399632.0,-2399632.0,-2294417.5,142861390000.0
2019-01-22,VEROIA,-0.16567993,-0.16567993,-0.21481323,0.04726181,-1.2578478,-1.2578478,-1.2013903,0.064124115,278.84338,278.84338,278.91504,1.4201341,1113420.2,1113420.2,1115684.0,1724712000.0,159174.25,159174.25,210091.75,54241340000.0
2019-01-23,VEROIA,-0.5711441,-0.5711441,-0.61911774,0.02410373,-1.2129822,-1.2129822,-1.1382751,0.07178265,279.42358,279.42358,279.531,1.8460648,2181756.8,2181756.8,2184688.0,23861436000.0,-854720.44,-854720.44,-823502.0,71003830000.0
2019-01-24,VEROIA,-1.1112518,-1.1112518,-1.1362762,0.030770823,0.015763283,0.015763283,0.019242287,0.002441477,283.67273,283.67273,283.60425,2.0806992,8154948.0,8154948.0,8170045.0,174675130000.0,-3416715.5,-3416715.5,-3396920.8,96909630000.0
2019-01-25,VEROIA,2.1262894,2.1262894,2.1271439,0.04570274,-0.60557747,-0.60557747,-0.6021595,0.0013251901,279.12024,279.12024,279.04907,1.6784847,1069438.5,1069438.5,1064634.0,3055949600.0,-256889.5,-256889.5,-239157.25,53116780000.0
