Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,VOLOS,-3.2691193,-3.2691193,-3.2691193,0.2760353,-5.4044495,-5.4044495,-5.4044495,0.6878143,278.49048,278.49048,278.49048,0.24321079,2370512.0,2370512.0,2370512.0,9090049000.0,-705398.5,-705398.5,-705398.5,35762970000.0
2019-01-02,VOLOS,0.39108086,0.39108086,0.39108086,0.010314941,0.18941021,0.18941021,0.18941021,0.003891006,279.2119,279.2119,279.2119,0.25097752,7444895.0,7444895.0,7444895.0,202215520.0,-3696480.5,-3696480.5,-3696480.5,7185699000.0
2019-01-03,VOLOS,0.9298897,0.9298897,0.9298897,0.10026747,-5.185684,-5.185684,-5.185684,0.99171644,274.36035,274.36035,274.36035,0.034337103,613753.06,613753.06,613753.06,91560980.0,-355585.5,-355585.5,-355585.5,7640158000.0
2019-01-04,VOLOS,0.20285034,0.20285034,0.20285034,0.043878794,-2.691064,-2.691064,-2.691064,0.12792498,273.3423,273.3423,273.3423,0.008381903,1913489.5,1913489.5,1913489.5,15391814000.0,-1046120.0,-1046120.0,-1046120.0,9724327000.0
2019-01-05,VOLOS,2.4373798,2.4373798,2.4373798,0.05044937,-2.8826141,-2.8826141,-2.8826141,0.73475367,272.84692,272.84692,272.84692,0.00033527613,2289246.0,2289246.0,2289246.0,2387690500.0,-802399.0,-802399.0,-802399.0,26877635000.0
2019-01-06,VOLOS,2.1384277,2.1384277,2.1384277,0.22490658,-2.1322222,-2.1322222,-2.1322222,0.48566878,275.07666,275.07666,275.07666,0.0006323457,5551206.0,5551206.0,5551206.0,91097580000.0,-3801568.0,-3801568.0,-3801568.0,25983506000.0
2019-01-07,VOLOS,-0.69125366,-0.69125366,-0.69125366,0.0114347935,-5.036255,-5.036255,-5.036255,0.36099678,273.0984,273.0984,273.0984,0.32497793,4667182.0,4667182.0,4667182.0,49786438000.0,-3146339.5,-3146339.5,-3146339.5,13776304000.0
2019-01-08,VOLOS,1.213501,1.213501,1.213501,0.047318995,0.38682556,0.38682556,0.38682556,0.009536743,271.844,271.844,271.844,0.22571778,5762518.5,5762518.5,5762518.5,75998630000.0,-4135168.0,-4135168.0,-4135168.0,2878859000.0
2019-01-09,VOLOS,0.37805176,0.37805176,0.37805176,0.0031805634,2.923008,2.923008,2.923008,0.7032886,276.92163,276.92163,276.92163,0.11073166,1811916.2,1811916.2,1811916.2,2535072300.0,-625046.75,-625046.75,-625046.75,3804700000.0
2019-01-10,VOLOS,0.8404083,0.8404083,0.8404083,0.0028326511,3.051424,3.051424,3.051424,0.29402024,280.8623,280.8623,280.8623,0.1205256,4024400.5,4024400.5,4024400.5,60837454000.0,-1740700.2,-1740700.2,-1740700.2,9929475000.0
