Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,Άγιο Όρος (Αυτοδιοίκητο),-8.346593,-8.346593,-8.269608,0.45827234,-8.980052,-8.980052,-8.792389,1.0370159,280.97095,280.97095,281.01294,0.19111364,4185252.0,4185252.0,4316055.0,91013054000.0,-2170367.5,-2170367.5,-2244546.5,63876890000.0
2019-01-02,Άγιο Όρος (Αυτοδιοίκητο),0.98572606,0.98572606,1.0099773,0.0016393793,-0.5047223,-0.5047223,-0.46769428,0.00406203,280.51904,280.51904,280.48047,0.123691715,7964340.0,7964340.0,8065915.5,46222537000.0,-4571270.5,-4571270.5,-4672714.5,95356350000.0
2019-01-03,Άγιο Όρος (Αυτοδιοίκητο),-7.909059,-7.909059,-7.9018974,0.59331024,-10.3246,-10.3246,-10.271378,0.6432535,279.91513,279.91513,280.0437,0.17656475,2872451.8,2872451.8,2893429.8,1480222600.0,-1946166.9,-1946166.9,-1964537.0,1222835300.0
2019-01-04,Άγιο Όρος (Αυτοδιοίκητο),-12.285756,-12.285756,-12.379669,0.34764197,-5.6603837,-5.6603837,-5.6607904,0.0220252,277.02368,277.02368,277.11646,0.057957333,2154284.0,2154284.0,2107919.8,14182217000.0,-1546728.4,-1546728.4,-1572947.5,7927070700.0
2019-01-05,Άγιο Όρος (Αυτοδιοίκητο),-0.8974183,-0.8974183,-0.41174126,1.8237747,-7.7257943,-7.7257943,-7.4004364,1.6056299,276.23828,276.23828,276.28955,0.1319267,1321091.1,1321091.1,1350058.1,7207759400.0,-844301.7,-844301.7,-892293.5,24924236000.0
2019-01-06,Άγιο Όρος (Αυτοδιοίκητο),1.1450602,1.1450602,1.2293701,0.08435715,-4.4504595,-4.4504595,-4.4350786,0.0026718378,278.57397,278.57397,278.61548,0.06936566,7221896.0,7221896.0,7165152.0,10103860000.0,-4951416.5,-4951416.5,-5048543.5,43443212000.0
2019-01-07,Άγιο Όρος (Αυτοδιοίκητο),-5.247162,-5.247162,-5.0489197,0.7791874,-4.6177163,-4.6177163,-4.4591064,0.4275299,276.49673,276.49673,276.563,0.14883111,4546478.0,4546478.0,4540635.0,32896238000.0,-3053334.2,-3053334.2,-3045978.0,566792260.0
2019-01-08,Άγιο Όρος (Αυτοδιοίκητο),3.4672444,3.4672444,3.467163,0.013115022,0.44981384,0.44981384,0.4927826,0.0041056075,275.6791,275.6791,275.63647,0.021166695,7145536.0,7145536.0,7241799.0,19518335000.0,-4764522.5,-4764522.5,-4799597.5,19306690000.0
2019-01-09,Άγιο Όρος (Αυτοδιοίκητο),0.6518962,0.6518962,0.5682373,0.038015418,7.704502,7.704502,6.8436623,6.953364,281.72964,281.72964,281.31396,0.3521324,2624712.8,2624712.8,2622051.8,20139893000.0,-2426073.0,-2426073.0,-2484182.0,8180288000.0
2019-01-10,Άγιο Όρος (Αυτοδιοίκητο),2.2346141,2.2346141,2.1797638,0.049847975,10.648023,10.648023,10.658602,0.3762777,286.5394,286.5394,286.5703,0.026936902,5633128.5,5633128.5,5579934.0,45104820000.0,-2288541.2,-2288541.2,-2284585.5,8975515000.0
