Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,-1.6808347,-1.6808347,-1.4776154,1.6333408,-3.3360615,-3.3360615,-3.8622131,3.0434844,276.9173,276.9173,277.52222,3.974622,4810987.5,4810987.5,5087904.0,1621186400000.0,-2794564.8,-2794564.8,-2794258.0,539654880000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,0.29518244,0.29518244,0.33859062,0.19381632,-0.022785878,-0.022785878,0.13093853,0.38267434,276.67075,276.67075,276.96143,2.8079915,7163175.0,7163175.0,7156648.5,40981213000.0,-4634763.5,-4634763.5,-4646889.5,38661320000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,-2.2254832,-2.2254832,-2.28471,2.2317708,-4.2287016,-4.2287016,-4.5540924,2.5610595,276.07297,276.07297,276.86743,4.122345,4322224.5,4322224.5,4166539.2,652993040000.0,-2421740.2,-2421740.2,-2486653.5,226625650000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,-2.338741,-2.338741,-1.881134,2.7678242,-2.3725343,-2.3725343,-2.5086908,1.7192998,272.9613,272.9613,273.19165,3.570666,3344277.0,3344277.0,3406749.2,361547330000.0,-2052412.5,-2052412.5,-2005133.0,141827690000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,-0.3410954,-0.3410954,-0.08947563,1.000312,-2.9286323,-2.9286323,-2.991745,2.8213964,271.42358,271.42358,271.28857,2.7695901,1368079.5,1368079.5,1327097.1,61520757000.0,-1251866.8,-1251866.8,-1254177.5,25440858000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,-0.4072274,-0.4072274,-0.45690918,0.9656482,-0.601367,-0.601367,-0.7160845,0.56642467,273.4123,273.4123,273.2224,4.2923684,4343649.0,4343649.0,4637423.5,937227600000.0,-3147843.5,-3147843.5,-3088961.0,151111830000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,-1.2251909,-1.2251909,-0.9900818,1.2782453,-2.717227,-2.717227,-3.2696533,1.4641728,271.51456,271.51456,271.72705,5.3232856,4484152.0,4484152.0,4568756.5,677259500000.0,-3227036.8,-3227036.8,-3084508.5,260946580000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,0.687223,0.687223,0.6685791,0.45349088,1.4117851,1.4117851,1.5479584,0.24258815,269.59677,269.59677,269.15454,5.603607,5661690.5,5661690.5,5994767.0,1181192200000.0,-4568266.0,-4568266.0,-4479185.0,160834780000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,-1.1471924,-1.1471924,-1.0509033,0.6875117,0.8278554,0.8278554,-0.19247055,4.3824277,274.51364,274.51364,274.4463,7.719734,3172908.5,3172908.5,3277350.8,271613180000.0,-2111971.8,-2111971.8,-2099006.5,172035980000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,0.65270627,0.65270627,0.54841614,1.8198088,3.2035809,3.2035809,3.2152424,4.441721,280.499,280.499,281.1001,12.221037,2503522.2,2503522.2,2532623.0,344001100000.0,-601306.75,-601306.75,-574578.5,100133200000.0
