Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,-6.331788,-6.331788,-6.3162384,5.956773,-3.9526203,-3.9526203,-4.273346,8.183804,281.13058,281.13058,280.64795,3.9528058,2539858.5,2539858.5,2289889.5,672376700000.0,-1020923.7,-1020923.7,-1008723.25,118244210000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,1.0363164,1.0363164,0.29647636,2.5944746,-4.6989145,-4.6989145,-4.354169,1.3347613,282.13535,282.13535,281.84814,0.9485223,5966079.0,5966079.0,5842945.0,858098700000.0,-2403697.5,-2403697.5,-2392842.0,59812430000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,-1.7026223,-1.7026223,-5.413128,59.925743,-0.18910217,-0.18910217,-3.3321686,52.70485,281.23697,281.23697,279.6587,9.762187,2683480.0,2683480.0,2716496.2,113197450000.0,-1969701.1,-1969701.1,-1899316.8,65578725000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,-2.368927,-2.368927,-2.8142395,20.530407,1.4533641,1.4533641,1.2090826,4.417354,281.30615,281.30615,280.98975,2.2003367,6991398.0,6991398.0,7268596.5,2201148000000.0,-3416783.0,-3416783.0,-3448738.5,535304140000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,1.6699706,1.6699706,1.9386005,24.6439,1.2343292,1.2343292,3.5805206,25.751772,279.7953,279.7953,280.3296,1.2632693,6729100.5,6729100.5,7152864.0,2620127400000.0,-3108873.8,-3108873.8,-3250924.0,959556400000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,0.9374437,0.9374437,0.39819336,2.5330834,-3.5638819,-3.5638819,-2.8170366,3.5295835,279.18555,279.18555,279.1858,0.58528125,7833110.0,7833110.0,7954422.0,137989820000.0,-4112270.2,-4112270.2,-4151415.0,85249180000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,-3.4425588,-3.4425588,-3.9632263,4.8568287,-6.174889,-6.174889,-5.8203125,0.8705515,277.65198,277.65198,277.31226,1.7946557,7844758.0,7844758.0,7943273.0,135266000000.0,-4243346.0,-4243346.0,-4264675.0,198844200000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,-0.20192307,-0.20192307,-0.44909668,0.4892674,-5.217939,-5.217939,-4.1169586,6.1783643,276.45016,276.45016,276.17407,0.70695114,8208864.5,8208864.5,8025134.5,336789960000.0,-4485499.0,-4485499.0,-4551035.0,121111590000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,0.020967923,0.020967923,0.12512207,2.960251,9.463121,9.463121,8.710117,4.7066655,283.9566,283.9566,284.04492,0.9572011,6919997.5,6919997.5,6673691.5,2000825100000.0,-3041176.2,-3041176.2,-2792291.0,326357650000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,3.6565893,3.6565893,3.6560822,0.5292708,11.097078,11.097078,10.647371,2.151221,285.7995,285.7995,285.52783,1.0112066,5791936.0,5791936.0,5571354.5,250909280000.0,-2296534.2,-2296534.2,-2171421.8,184546570000.0
