Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,-1.9407063,-1.9407063,-1.9854279,0.43259746,-2.0193896,-2.0193896,-1.7997131,1.448124,278.37616,278.37616,278.93237,8.419819,5705015.0,5705015.0,5996761.0,2182934200000.0,-2436464.5,-2436464.5,-2504453.5,528173070000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,0.48004204,0.48004204,0.47213554,0.2514914,0.37918994,0.37918994,0.46223736,0.19801103,279.63434,279.63434,280.14404,8.30717,7462338.0,7462338.0,7901972.0,1029990700000.0,-4027563.8,-4027563.8,-4199972.0,304247540000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,0.7408016,0.7408016,0.50484085,0.85899013,-1.8689963,-1.8689963,-1.4632721,2.5993347,276.4229,276.4229,276.42407,6.0996776,2642747.2,2642747.2,2422758.2,922834100000.0,-999971.5,-999971.5,-1043409.0,233934700000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,1.2888087,1.2888087,1.346405,2.7056212,0.82761186,0.82761186,0.82529354,0.54088056,275.0478,275.0478,275.1936,6.3717184,5515470.0,5515470.0,5787890.0,1242994600000.0,-2625455.5,-2625455.5,-2591501.5,252495510000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,-0.4344819,-0.4344819,-0.45861626,0.21338212,-1.5266718,-1.5266718,-1.2397919,0.78734934,275.4461,275.4461,275.49414,9.1030245,5874369.5,5874369.5,5858847.0,1071165200000.0,-3011653.0,-3011653.0,-3106489.0,372308000000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,0.909404,0.909404,0.92736816,0.19203447,-0.2969075,-0.2969075,0.06418896,0.896224,277.4742,277.4742,277.71313,7.8517365,6996745.0,6996745.0,6955408.5,1193054700000.0,-3737629.8,-3737629.8,-3862058.0,317500500000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,-0.9285834,-0.9285834,-1.1277771,0.83755094,-1.846589,-1.846589,-1.5592041,0.8874146,275.32266,275.32266,275.43213,9.872836,6236467.0,6236467.0,6331144.5,803895440000.0,-3222213.0,-3222213.0,-3365047.0,280421860000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,1.2528682,1.2528682,1.2198486,0.1964189,-0.6352639,-0.6352639,-0.4608307,0.73120534,274.61844,274.61844,274.89624,9.46357,7420771.0,7420771.0,7455378.0,1487385900000.0,-4494775.0,-4494775.0,-4704826.0,520443270000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,0.514084,0.514084,0.33532715,2.744196,3.593683,3.593683,3.1463966,5.5164776,278.95276,278.95276,278.86182,10.07867,1264235.6,1264235.6,1265615.8,68814080000.0,-254115.81,-254115.81,-253873.0,202891130000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,4.4480925,4.4480925,3.9087677,4.5343065,3.214833,3.214833,2.8954182,1.2377402,281.70798,281.70798,282.03906,7.4743032,3966719.8,3966719.8,4052500.0,789374800000.0,-1133042.4,-1133042.4,-1029382.0,393140600000.0
