Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.5475372,-0.5475372,-0.55207825,0.12679975,-1.4737903,-1.4737903,-1.500885,0.15147677,274.33792,274.33792,274.80273,2.8918657,4597990.5,4597990.5,4634059.0,139085400000.0,-2340727.8,-2340727.8,-2389168.2,43686880000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.6066022,-0.6066022,-0.674593,0.0753907,-0.5851674,-0.5851674,-0.47025776,0.43519023,275.75134,275.75134,275.8794,0.95763636,7003081.0,7003081.0,7016006.0,87488120000.0,-4488787.5,-4488787.5,-4508931.0,39498100000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.43412796,0.43412796,0.45845413,0.24277093,-2.583531,-2.583531,-2.6305084,0.3443098,269.75116,269.75116,269.97412,1.5596054,1172544.4,1172544.4,1181790.5,52132790000.0,-709769.4,-709769.4,-706050.75,28608567000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.54822874,-0.54822874,-0.49490356,0.15753628,-1.4818625,-1.4818625,-1.5281,0.06421195,267.18454,267.18454,267.35474,1.463822,2095579.9,2095579.9,2104852.8,207047820000.0,-1173936.2,-1173936.2,-1165626.8,61921280000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.5031708,0.5031708,0.51794624,0.054683976,-0.9783075,-0.9783075,-1.0186005,0.08839446,267.46063,267.46063,267.5205,1.0938739,4104020.8,4104020.8,4077100.5,729909500000.0,-2845001.0,-2845001.0,-2907475.8,176736060000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.12782471,0.12782471,0.087402344,0.13741685,-1.1593146,-1.1593146,-1.1377153,0.18105747,271.51578,271.51578,271.77466,2.5140069,4388724.0,4388724.0,4448615.0,726580800000.0,-2742944.8,-2742944.8,-2737533.2,101104665000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.14476441,0.14476441,0.25735474,0.23225826,-2.38636,-2.38636,-2.4285889,0.13075899,266.0476,266.0476,265.86206,3.123595,3597229.0,3597229.0,3665965.0,432817960000.0,-2213685.5,-2213685.5,-2199428.5,33600463000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.53445554,0.53445554,0.513916,0.25151348,0.4941083,0.4941083,0.50401306,0.040084887,268.84494,268.84494,269.10205,4.317057,4760248.5,4760248.5,4811612.5,724248500000.0,-3512404.8,-3512404.8,-3545727.2,67120480000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-1.2536328,-1.2536328,-1.2803955,0.018932164,0.670918,0.670918,0.71744156,0.15491082,270.6369,270.6369,270.85742,1.4278734,1254084.6,1254084.6,1277961.8,65682300000.0,159323.1,159323.1,147481.5,11444810000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.19743347,-0.19743347,-0.2408905,0.10909012,1.6693536,1.6693536,1.6952229,0.04578721,274.51083,274.51083,274.70288,1.1118617,2183343.0,2183343.0,2197927.5,167253500000.0,-803942.94,-803942.94,-797974.25,23066835000.0
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.66882324,-0.66882324,-0.77687263,0.15564147,-0.7569354,-0.7569354,-0.9231415,0.26830056,273.26782,273.26782,273.37598,3.7994318,3921480.0,3921480.0,3912945.0,502169080000.0,-2161906.5,-2161906.5,-2138036.5,113805660000.0
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.2057312,0.2057312,0.28744507,0.1688408,-1.4079748,-1.4079748,-1.4194546,0.06322134,270.16153,270.16153,270.03296,2.6769571,3972207.8,3972207.8,3963039.8,656364540000.0,-2610359.0,-2610359.0,-2704995.0,205617870000.0
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.24877167,0.24877167,0.35285854,0.17115554,-0.35157454,-0.35157454,-0.3925829,0.06816502,273.21188,273.21188,273.4165,2.3620844,4964701.0,4964701.0,5015820.0,680663600000.0,-3192728.0,-3192728.0,-3227089.2,141108040000.0
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.33014038,0.33014038,0.43704224,0.0874251,0.26815674,0.26815674,0.29041386,0.026752526,273.37823,273.37823,273.521,1.2853174,2751772.5,2751772.5,2751830.0,190873650000.0,-1377449.5,-1377449.5,-1393200.8,99601910000.0
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1.0787461,1.0787461,1.0559921,0.09831085,-2.298753,-2.298753,-2.2326813,0.25584695,268.797,268.797,268.8723,2.4284396,5347594.5,5347594.5,5460989.0,718725500000.0,-4232281.0,-4232281.0,-4251737.0,60894933000.0
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1.4695544,1.4695544,1.4710388,0.065144494,-0.26811522,-0.26811522,-0.17895508,0.12035444,272.6757,272.6757,272.542,3.3150551,5224280.0,5224280.0,5318271.5,671467960000.0,-2972219.2,-2972219.2,-3010779.0,76578350000.0
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.76183045,0.76183045,0.69691086,0.20414092,0.42856935,0.42856935,0.42580318,0.029237848,277.1653,277.1653,277.58008,4.518496,5343404.0,5343404.0,5445483.0,681958440000.0,-3148637.0,-3148637.0,-3191299.5,125872644000.0
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.48264465,0.48264465,0.57728577,0.18442011,0.84065187,0.84065187,0.8182106,0.062502004,276.6138,276.6138,276.26782,2.5561857,3982221.5,3982221.5,4024358.0,373018360000.0,-1629725.1,-1629725.1,-1714853.8,139248810000.0
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.84591246,-0.84591246,-0.86491394,0.041884713,0.6629123,0.6629123,0.58352757,0.10316798,277.29343,277.29343,277.19458,2.6166394,3593472.0,3593472.0,3558898.8,346099420000.0,-1328797.1,-1328797.1,-1276353.1,77343370000.0
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.10706482,0.10706482,0.1917572,0.1283843,0.26836112,0.26836112,0.21310234,0.052506853,278.9078,278.9078,279.13452,2.9138443,3232388.8,3232388.8,3189561.5,248893000000.0,-850072.2,-850072.2,-793225.6,44757955000.0
