Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,-1.0565594,-1.0565594,-1.0615997,0.27906823,-1.6594976,-1.6594976,-1.5580139,0.230096,276.5162,276.5162,276.5603,11.479185,4611858.0,4611858.0,4646552.0,744759100000.0,-2360824.5,-2360824.5,-2414496.5,128976280000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,0.35350692,0.35350692,0.32662773,0.035367586,0.32141027,0.32141027,0.37141705,0.117082044,277.31113,277.31113,276.73047,6.732305,7509621.0,7509621.0,7783647.5,735728200000.0,-4579660.0,-4579660.0,-4671039.5,157269670000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,-0.586914,-0.586914,-0.5010185,0.21069485,-1.7068772,-1.7068772,-1.4906158,0.5026897,272.4343,272.4343,272.32104,8.457702,2041657.6,2041657.6,1889959.2,565871100000.0,-1153704.9,-1153704.9,-1209015.5,81468826000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,-1.451373,-1.451373,-1.2453918,0.29621732,-0.7582182,-0.7582182,-0.9063959,0.17703645,270.49487,270.49487,270.21167,11.605138,3279291.8,3279291.8,3088473.2,785756060000.0,-2125577.8,-2125577.8,-2015091.5,380608380000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,0.054940112,0.054940112,-0.0382061,0.06734601,-0.9483195,-0.9483195,-0.75541687,0.26255003,272.41522,272.41522,272.52246,11.5016365,5825366.0,5825366.0,5645020.0,1835832300000.0,-3942489.8,-3942489.8,-3831702.0,298240020000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,0.6882311,0.6882311,0.5928955,0.23235582,-0.86089414,-0.86089414,-0.7541704,1.186328,274.58264,274.58264,274.55884,10.224239,5848957.0,5848957.0,5702358.0,1606981100000.0,-3487537.2,-3487537.2,-3292737.0,377864880000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,-1.0302154,-1.0302154,-0.9810486,0.09219148,-1.5677149,-1.5677149,-1.432251,0.22028095,270.72043,270.72043,270.68018,18.506456,5097717.5,5097717.5,4952145.5,1417958300000.0,-3017370.8,-3017370.8,-2898568.5,504714900000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,0.9133813,0.9133813,0.86364746,0.09292143,0.17356741,0.17356741,0.34898376,0.26985797,271.29987,271.29987,271.65308,13.760994,6287635.5,6287635.5,6157674.0,1870483000000.0,-4238380.5,-4238380.5,-4039313.0,589036260000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,-0.79909194,-0.79909194,-1.1134033,0.81553775,1.127595,1.127595,0.96133804,0.4816803,275.08716,275.08716,274.65967,7.9352326,795564.3,795564.3,763712.8,45712765000.0,251450.1,251450.1,226975.5,95242764000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,2.1250134,2.1250134,1.1651154,3.665688,1.7133311,1.7133311,1.6722736,0.23038162,277.13904,277.13904,276.49414,10.516551,2315947.8,2315947.8,1955217.0,909264160000.0,-513125.94,-513125.94,-329770.5,171204170000.0
