Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,-0.9965118,-0.9965118,-0.6126251,2.5117602,-1.6721497,-1.6721497,-0.9371643,6.078382,276.9982,276.9982,277.95972,8.170341,3218354.2,3218354.2,3123331.8,1084188850000.0,-1385688.4,-1385688.4,-1388758.2,229245000000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,-0.33044887,-0.33044887,-0.43496895,0.40225488,0.44272533,0.44272533,0.48189068,0.112979926,277.84384,277.84384,278.22314,4.1810856,6617891.5,6617891.5,7413015.0,2222058400000.0,-3857294.8,-3857294.8,-3947465.8,240910340000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,1.0119557,1.0119557,1.2736397,1.4743491,-2.22595,-2.22595,-1.4505768,5.5165176,272.94168,272.94168,273.44897,4.1808305,693408.0,693408.0,673104.56,38898740000.0,-433658.0,-433658.0,-458576.25,41559240000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,0.4213318,0.4213318,0.35665894,0.71722203,-1.5019106,-1.5019106,-1.0483637,1.8598651,271.1553,271.1553,271.8562,6.3514714,1762797.8,1762797.8,1729861.0,356341600000.0,-1194910.8,-1194910.8,-1161100.2,80492000000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,1.0013342,1.0013342,0.81677437,0.67475575,-0.97335076,-0.97335076,-0.56840515,3.3105297,271.6572,271.6572,272.04028,5.3183055,2811968.5,2811968.5,2563559.0,1133812100000.0,-1886374.5,-1886374.5,-1927393.8,492874760000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,0.3772618,0.3772618,0.12023926,1.3913127,-0.41523695,-0.41523695,-0.14894581,3.0110207,275.32297,275.32297,275.5498,5.9448786,4278436.0,4278436.0,4352950.0,1393693400000.0,-2969285.8,-2969285.8,-2902329.0,327158040000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,-0.23312727,-0.23312727,-0.17562866,0.8144985,-2.4051373,-2.4051373,-1.7149658,3.0640879,271.3995,271.3995,272.4756,8.620168,3552081.2,3552081.2,3556517.0,858620900000.0,-2437132.2,-2437132.2,-2335517.0,271383990000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,0.22720425,0.22720425,0.24621582,0.7815149,0.7344295,0.7344295,0.7477875,0.30274656,271.55972,271.55972,271.5901,4.2516165,4586658.0,4586658.0,4651696.5,1371711500000.0,-3583335.5,-3583335.5,-3569149.8,195460480000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,-0.2828369,-0.2828369,-0.37561035,0.50359267,0.67435074,0.67435074,0.22891617,2.76379,273.97467,273.97467,273.38574,4.639398,1244958.9,1244958.9,1246436.8,172934400000.0,20094.725,20094.725,92950.75,406000070000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,0.54491794,0.54491794,0.62239075,0.5432956,2.1677952,2.1677952,1.9276447,1.4849683,278.15424,278.15424,278.49683,8.09289,2571805.8,2571805.8,2309759.0,1203711800000.0,-1018672.7,-1018672.7,-1004219.0,359773670000.0
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,-0.735074,-0.735074,-0.71455574,0.18531147,-0.7849579,-0.7849579,-0.6188202,1.5232167,277.89767,277.89767,278.16187,5.368875,3863148.8,3863148.8,3843379.8,819376360000.0,-2267972.2,-2267972.2,-2382917.2,187474410000.0
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,0.32903442,0.32903442,0.43441772,1.0770928,-1.1088763,-1.1088763,-0.6382046,4.565507,274.6754,274.6754,274.84546,4.8832035,1900099.2,1900099.2,1826446.8,551152900000.0,-882265.44,-882265.44,-810468.25,297660480000.0
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,-0.12856236,-0.12856236,-0.20158482,0.29649565,0.38000187,0.38000187,0.42016125,0.15172869,276.40503,276.40503,276.62598,2.9787793,5059277.5,5059277.5,5060149.0,1440317700000.0,-3571908.0,-3571908.0,-3605525.8,141801180000.0
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,0.51590663,0.51590663,0.4680481,0.36295378,-0.05235086,-0.05235086,-0.0111608505,0.14048122,276.55267,276.55267,277.18604,5.034463,3144742.0,3144742.0,2940375.5,1065648700000.0,-1954468.6,-1954468.6,-1897775.8,136113316000.0
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,2.3629487,2.3629487,2.413414,1.6927793,-3.6007721,-3.6007721,-2.6102448,6.4886084,273.58032,273.58032,274.38867,8.640646,5483140.5,5483140.5,5454995.5,1315562600000.0,-3735961.2,-3735961.2,-3816013.0,233316340000.0
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,1.6591544,1.6591544,1.4530945,0.81969506,0.3154506,0.3154506,0.39697266,0.29794812,277.781,277.781,278.24414,7.976997,5764682.5,5764682.5,5630008.5,2019111100000.0,-3596209.0,-3596209.0,-3404325.5,347555800000.0
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,0.23957443,0.23957443,0.23585129,0.48532084,0.43400285,0.43400285,0.4973364,0.08735875,280.34335,280.34335,281.385,6.6536994,5970294.0,5970294.0,5821807.0,2139185600000.0,-3402082.8,-3402082.8,-3339634.5,221368710000.0
