Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,-3.5920684,-3.5920684,-4.338455,1.9407692,-7.24929,-7.24929,-8.057526,4.551772,282.84024,282.84024,282.63647,0.6655111,6479539.0,6479539.0,6665131.0,172057020000.0,-2634378.5,-2634378.5,-2520146.0,183234480000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,3.798194,3.798194,5.1300945,5.0277877,-2.2149434,-2.2149434,-2.4508486,0.5439893,283.60086,283.60086,283.44482,0.5747046,6859388.5,6859388.5,6717746.0,343319840000.0,-3916720.5,-3916720.5,-3852443.5,219928020000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,0.75340855,0.75340855,0.5404854,8.446334,-7.774633,-7.774633,-8.212296,1.644874,280.0922,280.0922,279.79517,0.41794765,4948617.5,4948617.5,4912099.0,277496500000.0,-1647222.1,-1647222.1,-1483045.5,120637390000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,5.1644716,5.1644716,8.967987,27.31477,-0.81798446,-0.81798446,-0.5331049,1.5087743,278.35983,278.35983,278.0354,1.0234858,6792599.0,6792599.0,7354934.0,1333117200000.0,-3681186.5,-3681186.5,-3552972.5,85218730000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,-0.44299126,-0.44299126,-0.4786358,1.8559985,-5.8238416,-5.8238416,-5.817917,0.5784357,279.6571,279.6571,279.74316,0.35525304,7526048.5,7526048.5,7056344.0,574458360000.0,-3921056.0,-3921056.0,-3829428.0,471621470000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,4.624666,4.624666,5.041382,1.3913611,-7.121896,-7.121896,-7.213643,0.93150926,281.99615,281.99615,281.8894,0.55043226,8015084.5,8015084.5,7895623.0,200602730000.0,-4105688.5,-4105688.5,-3881612.0,156307520000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,-0.6446716,-0.6446716,-0.8460388,3.0317802,-6.0156817,-6.0156817,-6.15271,0.7759389,278.55942,278.55942,278.83057,0.6552204,7313110.0,7313110.0,7376496.0,106114060000.0,-3997125.5,-3997125.5,-3949593.5,107631010000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,3.3389242,3.3389242,3.9764404,1.5141982,-3.291104,-3.291104,-4.048233,1.1546615,279.20782,279.20782,278.9187,0.8904394,8440937.0,8440937.0,8246954.0,302919000000.0,-4775210.0,-4775210.0,-4440068.0,361776220000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,8.553426,8.553426,9.559937,5.7014136,8.968303,8.968303,10.151279,4.8323083,284.60904,284.60904,284.4829,0.6346016,2036566.5,2036566.5,2278342.8,209162260000.0,-1007713.6,-1007713.6,-886464.0,65386815000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,12.363943,12.363943,13.4951935,4.0167017,6.2247143,6.2247143,7.273836,3.8891768,284.71262,284.71262,285.01416,1.5918713,6743456.5,6743456.5,7187049.0,770694400000.0,-2881912.5,-2881912.5,-3092503.5,265731700000.0
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,-1.5018523,-1.5018523,-1.8206348,0.5501729,0.08043925,0.08043925,-0.26127625,0.68815094,283.6161,283.6161,283.7019,0.65904176,6857840.5,6857840.5,6740156.0,126257070000.0,-2995895.0,-2995895.0,-2920797.0,24393304000.0
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,-2.1805806,-2.1805806,-2.6438293,4.0489144,-7.182574,-7.182574,-7.5268764,2.7978113,282.39188,282.39188,282.32983,0.69041926,4153373.0,4153373.0,3129594.2,5151726000000.0,-2110676.5,-2110676.5,-1627124.0,1928296500000.0
