Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.09931992,0.09931992,0.45158386,2.326204,-1.0918541,-1.0918541,-0.78652954,2.217931,279.13483,279.13483,279.5979,5.3560333,5998438.0,5998438.0,6143451.0,603815100000.0,-3206487.8,-3206487.8,-3237888.0,339835520000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.16993655,0.16993655,0.33566093,0.47286925,-0.0881027,-0.0881027,0.011309624,0.39902472,277.4452,277.4452,277.62354,2.7463453,7487564.0,7487564.0,7453598.5,69019180000.0,-4550841.0,-4550841.0,-4588205.0,50843720000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1.3484395,1.3484395,1.6225166,2.1894193,-2.2281806,-2.2281806,-1.813858,2.7323084,274.61365,274.61365,275.11353,5.4066625,1761602.6,1761602.6,1669775.2,496781300000.0,-1074432.5,-1074432.5,-1077269.5,124005690000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.29823777,-0.29823777,0.3703308,5.6660156,-1.8344141,-1.8344141,-1.4554682,1.6073674,271.97113,271.97113,272.30786,5.3395333,1530196.8,1530196.8,1471354.8,97946600000.0,-1186378.4,-1186378.4,-1202730.5,76013820000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1.2134198,1.2134198,1.2479267,0.09264176,-1.2299247,-1.2299247,-0.8740692,1.7598541,271.49957,271.49957,271.94824,4.6192636,1926577.4,1926577.4,1695249.1,636486940000.0,-1448760.0,-1448760.0,-1376878.5,215968380000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1.9985828,1.9985828,1.939331,0.7479385,-1.8347106,-1.8347106,-1.5632524,2.238463,273.9147,273.9147,274.1399,5.4427514,3957385.0,3957385.0,4002612.0,1092472000000.0,-3023516.5,-3023516.5,-2872861.5,409360830000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,1.3041981,1.3041981,1.5365295,1.3424087,-2.1160293,-2.1160293,-1.8311768,1.5276417,271.04147,271.04147,271.66992,9.23768,3518991.5,3518991.5,3652580.0,691992200000.0,-2818296.2,-2818296.2,-2699200.5,269908640000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,0.6652454,0.6652454,0.7623291,0.9429771,-0.029543262,-0.029543262,-0.005996704,0.20687544,270.88766,270.88766,271.01782,3.6086533,4557131.5,4557131.5,4651804.0,1159708800000.0,-3823578.0,-3823578.0,-3677060.5,324031050000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.99407184,-0.99407184,-1.112915,0.70214903,-0.44782683,-0.44782683,-0.6807518,3.7888083,272.06104,272.06104,271.7002,6.313186,1296122.8,1296122.8,1273472.8,144347890000.0,-476152.78,-476152.78,-383770.5,275009080000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,-0.24463937,-0.24463937,-0.5258026,0.8701423,0.7435329,0.7435329,0.3949299,4.1469774,277.52982,277.52982,277.03467,7.4133053,2372128.8,2372128.8,2240991.0,768181530000.0,-1059108.8,-1059108.8,-937452.5,159049090000.0
