Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,0.99198914,0.99198914,0.95622253,2.5006902,0.45067343,0.45067343,1.0933533,8.852346,282.9118,282.9118,282.90942,3.7440975,7699412.5,7699412.5,7879638.0,345958100000.0,-3114873.0,-3114873.0,-3191784.0,102666940000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,2.4182076,2.4182076,1.8960857,2.3498883,-2.7847242,-2.7847242,-2.088788,2.8560548,282.10474,282.10474,282.40283,2.9653075,6223422.0,6223422.0,6279019.5,340451800000.0,-2205873.0,-2205873.0,-2181264.2,256857010000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,6.2765083,6.2765083,5.7458076,6.71982,1.8989444,1.8989444,1.5005951,2.4501882,284.26215,284.26215,284.40918,4.16868,6547152.0,6547152.0,6615931.0,81836925000.0,-2167243.0,-2167243.0,-2177299.8,121046900000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,2.6746047,2.6746047,2.2463074,2.2188525,1.7677103,1.7677103,1.7411871,0.51777947,281.26257,281.26257,281.60693,3.9619162,8083386.0,8083386.0,8128562.0,47428223000.0,-3938647.0,-3938647.0,-3974917.2,148389460000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,3.1304271,3.1304271,2.4749775,3.927821,1.0258263,1.0258263,0.86958313,0.73472965,278.54324,278.54324,278.7976,3.5686018,7521469.5,7521469.5,7394178.0,1071338750000.0,-3804402.2,-3804402.2,-3806616.0,204683280000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,3.73054,3.73054,3.175537,2.018286,-1.6257591,-1.6257591,-1.4345903,0.5521982,280.578,280.578,280.96606,3.4948673,8665269.0,8665269.0,8661449.0,121083170000.0,-3879445.2,-3879445.2,-3897270.0,191981270000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,0.7314385,0.7314385,0.6723938,1.3979166,-1.846995,-1.846995,-1.6295166,1.4236112,278.92688,278.92688,279.24854,3.576772,8418991.0,8418991.0,8383027.0,51337486000.0,-3600780.2,-3600780.2,-3597542.5,151612920000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,2.3867493,2.3867493,1.7629395,2.5910687,-3.4961395,-3.4961395,-2.888321,2.671553,277.20605,277.20605,277.58813,3.0346744,8629499.0,8629499.0,8521526.0,139541380000.0,-3667684.5,-3667684.5,-3679016.0,179745140000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,2.524136,2.524136,2.1153564,2.0665839,4.432028,4.432028,4.063633,2.037388,283.4684,283.4684,283.67554,3.8579085,7539198.0,7539198.0,7414141.0,187162460000.0,-2751826.2,-2751826.2,-2720820.8,178834750000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,2.748381,2.748381,2.1682892,3.413513,5.021822,5.021822,4.2237873,4.8232517,284.3871,284.3871,284.66064,3.440734,8053507.5,8053507.5,8268802.0,320048200000.0,-2758932.0,-2758932.0,-2797859.5,353525760000.0
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,0.40749252,0.40749252,0.13792229,1.8761545,3.5056882,3.5056882,2.7749786,3.256736,285.13635,285.13635,285.42065,2.880487,8316606.0,8316606.0,8582858.0,525590860000.0,-3680557.8,-3680557.8,-3751570.2,290161230000.0
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,-0.22327,-0.22327,-0.21524048,0.23116282,2.1232293,2.1232293,1.5910435,4.9696174,284.61826,284.61826,284.80884,3.526797,7868626.0,7868626.0,7967809.5,467501120000.0,-3753487.0,-3753487.0,-3780016.0,131308400000.0
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,1.8828812,1.8828812,1.664504,0.6754163,-2.8263326,-2.8263326,-2.0323534,4.72382,282.4013,282.4013,282.73315,2.9991581,7490346.5,7490346.5,7405080.5,114630560000.0,-2456149.8,-2456149.8,-2443273.8,124785260000.0
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,3.2857463,3.2857463,2.9631653,1.755018,0.5296632,0.5296632,0.60669804,0.42185333,283.7034,283.7034,284.1023,3.21824,8746377.0,8746377.0,8795938.0,81455830000.0,-2987024.0,-2987024.0,-3010175.8,125018890000.0
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,1.9975611,1.9975611,1.2726669,4.292757,-5.0340934,-5.0340934,-4.370865,3.0256407,280.19553,280.19553,280.489,2.9679756,5957057.0,5957057.0,6050635.5,2799386200000.0,-1992451.1,-1992451.1,-1993742.2,383543180000.0
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,2.6509366,2.6509366,2.3014832,1.5345995,-4.8740573,-4.8740573,-3.6125488,11.335148,280.01492,280.01492,280.21948,3.7980826,8866500.0,8866500.0,8705608.0,642692940000.0,-3389567.0,-3389567.0,-3347821.8,315977530000.0
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,2.3810132,2.3810132,1.9752312,2.3511114,-0.021184392,-0.021184392,-0.21177006,0.66432303,284.80527,284.80527,284.98413,1.3666772,10283936.0,10283936.0,10219050.0,220462680000.0,-4066547.5,-4066547.5,-4028840.2,172688560000.0
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,1.6144528,1.6144528,1.3375397,1.1389506,1.1915728,1.1915728,1.0870094,1.4684812,284.27322,284.27322,284.5111,2.2217238,8976953.0,8976953.0,8893640.0,261009640000.0,-3225938.2,-3225938.2,-3262187.0,267454800000.0
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,0.4782291,0.4782291,0.27912903,1.9150348,2.4172711,2.4172711,1.9980783,2.2688375,284.29514,284.29514,284.5315,2.574988,7611815.0,7611815.0,7539989.0,127439135000.0,-2835318.8,-2835318.8,-2834087.0,95596120000.0
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,-0.6435903,-0.6435903,-0.6282501,0.4173054,2.1523757,2.1523757,1.493742,2.3127873,282.9137,282.9137,283.0747,2.4152591,3386879.0,3386879.0,3316055.0,56093463000.0,-1406762.0,-1406762.0,-1338087.9,113143325000.0
2019-01-21,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,1.7431624,1.7431624,1.5599213,0.60576177,-0.8233422,-0.8233422,-0.65345764,0.4531111,284.546,284.546,284.7766,2.5161939,9553717.0,9553717.0,9561585.0,71573060000.0,-3101521.0,-3101521.0,-3121952.0,80564850000.0
2019-01-22,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,0.29432508,0.29432508,-0.1425476,1.843065,2.8091383,2.8091383,2.2406263,1.4987253,285.7066,285.7066,285.85767,2.6873562,10876504.0,10876504.0,10815857.0,80182540000.0,-3566777.0,-3566777.0,-3493959.5,134657720000.0
2019-01-23,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,-1.835406,-1.835406,-1.6528091,0.72013813,5.984792,5.984792,5.188385,6.4281507,285.2571,285.2571,285.45312,2.4822567,9026475.0,9026475.0,9085206.0,54611976000.0,-3222895.0,-3222895.0,-3210802.0,126687175000.0
2019-01-24,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,3.3138716,3.3138716,2.5495148,5.140591,3.20307,3.20307,2.6355753,2.0130186,283.83246,283.83246,284.24194,2.8890066,7593916.5,7593916.5,7495539.0,160329300000.0,-2803613.8,-2803613.8,-2858485.0,227874400000.0
2019-01-25,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,1.9650413,1.9650413,1.8554153,1.3366644,5.6436496,5.6436496,4.5245495,7.1013336,283.38922,283.38922,283.58203,5.145301,5592227.0,5592227.0,5303775.0,4082424600000.0,-2882637.2,-2882637.2,-3023186.5,557661160000.0
2019-01-26,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,3.7702398,3.7702398,3.1773987,3.9348695,0.68500584,0.68500584,0.39608574,1.1117319,284.16174,284.16174,284.35742,2.8612223,8966361.0,8966361.0,8992530.0,97664350000.0,-3009821.8,-3009821.8,-3058732.0,133174690000.0
2019-01-27,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,2.8828566,2.8828566,2.4624634,1.189299,-1.7375458,-1.7375458,-1.3685951,1.1882688,283.62906,283.62906,284.04004,3.4246728,10641601.0,10641601.0,10789994.0,205016000000.0,-4036045.0,-4036045.0,-3993105.2,167593050000.0
2019-01-28,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,1.7621073,1.7621073,1.5205402,3.11561,2.6240568,2.6240568,2.2079327,2.2297106,284.89645,284.89645,285.16553,3.010926,8784387.0,8784387.0,8499350.0,667131800000.0,-2656626.8,-2656626.8,-2627555.5,274503270000.0
