Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,-1.4646857,-1.4646857,-0.98591614,5.2265162,1.0654821,1.0654821,3.9078064,34.01248,285.57938,285.57938,285.30444,1.3049941,5701622.5,5701622.5,5345818.0,1567959500000.0,-2518389.0,-2518389.0,-2524679.5,401359340000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2.8286297,2.8286297,3.0019207,2.9314368,-4.383525,-4.383525,-4.930341,9.10145,284.08282,284.08282,284.07422,0.6858044,5958470.5,5958470.5,5769340.0,1303922700000.0,-2455962.8,-2455962.8,-2428951.0,127087150000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,9.087888,9.087888,7.0775948,8.912403,5.7743254,5.7743254,9.249619,29.011387,286.2494,286.2494,287.24878,3.1903205,4349485.5,4349485.5,4484155.0,639815300000.0,-2227941.8,-2227941.8,-2216318.0,46394077000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,4.504296,4.504296,4.592499,1.1323012,2.8281646,2.8281646,3.2627935,1.5618291,284.1023,284.1023,284.12476,0.7847898,8045437.5,8045437.5,7950646.0,81543864000.0,-4182707.8,-4182707.8,-4169784.0,30578987000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,5.984255,5.984255,6.0013447,1.4896411,-1.1880536,-1.1880536,1.2406769,12.308564,281.79205,281.79205,282.27393,2.3097606,8370304.5,8370304.5,8420216.0,175906770000.0,-4183974.5,-4183974.5,-4092532.0,107967040000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,5.9928074,5.9928074,5.7664795,1.9332052,-5.293995,-5.293995,-5.084737,0.5142388,281.49847,281.49847,281.50708,0.4471463,8455949.0,8455949.0,8377680.0,197044860000.0,-3729238.5,-3729238.5,-3627227.5,194338650000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,3.8587365,3.8587365,4.640045,5.758081,-5.311206,-5.311206,-5.5670166,6.629798,279.85605,279.85605,280.57568,2.6553352,8446996.0,8446996.0,8446825.0,125836950000.0,-3994083.5,-3994083.5,-3874762.0,99307340000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,4.816245,4.816245,4.341675,4.260594,-9.810382,-9.810382,-9.768204,1.0519457,279.30984,279.30984,279.44165,0.7327945,9051667.0,9051667.0,9088570.0,138909140000.0,-4075504.0,-4075504.0,-4183907.5,117127135000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2.375835,2.375835,1.4241943,4.8053374,7.9284472,7.9284472,7.8026466,11.248069,285.08807,285.08807,285.2661,1.9366156,7229273.5,7229273.5,7231872.0,248128980000.0,-3436382.0,-3436382.0,-3490315.5,86532960000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,4.2246857,4.2246857,2.8740997,6.6033087,10.221161,10.221161,9.809969,3.7176208,286.72522,286.72522,286.49072,0.6511772,7408659.0,7408659.0,7371498.0,147133270000.0,-2985391.8,-2985391.8,-3015120.5,96127074000.0
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2.088584,2.088584,1.8480663,1.2012877,7.1092315,7.1092315,7.1552277,1.3306557,287.37503,287.37503,287.25317,0.6857074,7173538.5,7173538.5,7204870.0,239505260000.0,-3197647.8,-3197647.8,-3207974.5,82903100000.0
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,-2.0081458,-2.0081458,-2.584015,4.0338736,2.301483,2.301483,5.0947056,24.515932,285.8625,285.8625,286.16333,1.957423,6719262.5,6719262.5,7717509.0,2187433600000.0,-3121973.8,-3121973.8,-3316776.5,502908780000.0
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2.9349434,2.9349434,2.9748068,1.670468,-5.3870606,-5.3870606,-4.4078417,4.6516967,284.5947,284.5947,284.9558,1.9412887,8310781.5,8310781.5,8398296.0,284378400000.0,-3424562.0,-3424562.0,-3420877.0,55005890000.0
