Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,-1.3892533,-1.3892533,-1.2393341,2.4489493,-3.6969516,-3.6969516,-3.3749084,4.7671347,277.78235,277.78235,277.76782,6.9976873,4118401.2,4118401.2,3910859.2,3829606000000.0,-1500201.2,-1500201.2,-1339543.0,800206200000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,0.79368055,0.79368055,1.0497723,2.0593076,-0.1450397,-0.1450397,0.02962017,0.79341805,280.13663,280.13663,280.73486,6.256277,7665595.0,7665595.0,7854533.5,1284438500000.0,-4154150.0,-4154150.0,-4249151.0,258126090000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,2.669294,2.669294,1.859333,5.7960725,-1.3141308,-1.3141308,-0.6746979,2.9214303,278.13834,278.13834,278.2478,6.53665,4167965.5,4167965.5,3789639.2,2271762000000.0,-1551567.5,-1551567.5,-1485096.5,446733220000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,1.4224153,1.4224153,1.3263855,3.6431801,0.59566164,0.59566164,0.7671881,1.0478175,277.26938,277.26938,277.83423,6.827991,6889063.5,6889063.5,7044587.0,985895600000.0,-3197798.5,-3197798.5,-3141965.0,488696640000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,0.013861518,0.013861518,-0.19640923,0.8662496,-1.3711025,-1.3711025,-1.0137177,1.122684,275.3706,275.3706,275.42578,6.060106,6667437.0,6667437.0,6785475.0,864180800000.0,-3491919.0,-3491919.0,-3525868.5,574942500000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,0.75456035,0.75456035,0.7720947,1.5070963,-0.93534464,-0.93534464,-0.5498247,1.3621204,278.16513,278.16513,278.65015,6.928003,8650375.0,8650375.0,8911079.0,1048902040000.0,-4599723.5,-4599723.5,-4613966.5,402457660000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,-0.81908065,-0.81908065,-0.8211365,0.36036167,-1.5692576,-1.5692576,-1.1514893,2.0083976,275.20383,275.20383,275.23926,6.93469,7108386.5,7108386.5,7370194.5,812146500000.0,-3583995.2,-3583995.2,-3713061.5,366859160000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,0.9887771,0.9887771,1.1724854,1.1959115,-0.6179091,-0.6179091,-0.35194397,0.91648346,275.26886,275.26886,275.59106,7.702551,8360319.0,8360319.0,8397318.0,1546164100000.0,-4595884.5,-4595884.5,-4646449.0,442874000000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,1.8038954,1.8038954,1.2889404,3.9190702,3.2757473,3.2757473,2.8939552,3.0801175,279.39886,279.39886,279.41357,7.220821,2547248.0,2547248.0,2303721.8,716264830000.0,-1241074.9,-1241074.9,-1179328.5,473537280000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,3.5991063,3.5991063,3.3081818,5.114188,2.402877,2.402877,2.1444416,0.7894211,281.94882,281.94882,282.18506,6.7286873,5205940.0,5205940.0,5117618.0,573617300000.0,-1527471.6,-1527471.6,-1504912.0,405276660000.0
