Date,City,u10_mean,u10_average,u10_median,u10_var,v10_mean,v10_average,v10_median,v10_var,t2m_mean,t2m_average,t2m_median,t2m_var,ssr_mean,ssr_average,ssr_median,ssr_var,str_mean,str_average,str_median,str_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-1.3155499,-1.3155499,-0.8750763,2.9153755,-3.4116423,-3.4116423,-2.7220764,4.404516,275.98737,275.98737,276.0498,9.387861,1987632.4,1987632.4,1874717.5,523065720000.0,-610912.3,-610912.3,-606071.75,179142120000.0
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.5169479,0.5169479,0.559782,0.47537333,0.10010639,0.10010639,0.3761778,0.8585089,278.4624,278.4624,279.3938,8.011321,5748019.5,5748019.5,5791285.0,1887683700000.0,-3101300.0,-3101300.0,-3134525.0,372291730000.0
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.6427489,0.6427489,0.79439163,1.5923818,-2.0589,-2.0589,-1.4674225,2.176942,274.16025,274.16025,274.45142,6.3970146,1174099.1,1174099.1,1135257.5,193257640000.0,-437054.72,-437054.72,-459274.5,143836350000.0
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.27073082,0.27073082,0.40402222,1.1741205,-0.77712655,-0.77712655,-0.93178654,0.5654214,273.78082,273.78082,273.7964,13.283416,3687944.5,3687944.5,3522597.2,2192106700000.0,-1874716.8,-1874716.8,-1748975.5,328395600000.0
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,1.1620361,1.1620361,0.79870796,2.887574,-1.9868935,-1.9868935,-1.384079,3.822611,272.27237,272.27237,272.67993,6.791178,3794060.0,3794060.0,3801484.0,2175664700000.0,-2229233.8,-2229233.8,-2152082.0,519854030000.0
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.91144115,0.91144115,0.45922852,1.4079803,-0.6371943,-0.6371943,-0.49916553,1.3215252,276.23862,276.23862,276.4497,5.66389,5614772.0,5614772.0,5497439.0,2607525700000.0,-3369568.0,-3369568.0,-3312933.5,778616700000.0
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.62393343,-0.62393343,-0.4423523,0.5394418,-2.130681,-2.130681,-1.7988281,1.5093964,272.0539,272.0539,272.81616,7.7340918,5012675.5,5012675.5,4900894.5,1651380800000.0,-2904088.5,-2904088.5,-2926001.5,320007270000.0
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.8115532,0.8115532,0.85791016,0.665815,-0.28013688,-0.28013688,0.17747498,1.4440626,272.7183,272.7183,273.438,6.7521486,5301186.5,5301186.5,5305554.0,1456801200000.0,-3331111.8,-3331111.8,-3313541.8,196161950000.0
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.0740779,0.0740779,0.05065918,0.3233186,2.7241116,2.7241116,1.819004,5.824045,277.1311,277.1311,276.13672,10.872347,2398912.5,2398912.5,2193448.8,1248163300000.0,-875597.3,-875597.3,-966205.25,1116138800000.0
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,1.2321945,1.2321945,1.0723419,0.87008274,2.9450474,2.9450474,2.4913654,2.313648,281.13837,281.13837,281.82837,13.911977,4440359.5,4440359.5,4006814.5,4324932700000.0,-1817868.2,-1817868.2,-1573522.2,1501398200000.0
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.21160571,-0.21160571,-0.16816902,0.21370243,-0.3500777,-0.3500777,-0.17887878,0.85486966,280.63916,280.63916,281.3557,11.45034,4685729.0,4685729.0,4657620.0,2012563400000.0,-2254170.8,-2254170.8,-2026367.8,670639400000.0
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.06851196,-0.06851196,-0.09378052,1.4587845,-2.3293288,-2.3293288,-1.8879604,2.4338987,275.43628,275.43628,274.40942,11.210464,1515035.2,1515035.2,1326616.8,384637240000.0,-459949.03,-459949.03,-409762.5,85531730000.0
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.44185722,0.44185722,0.44697475,0.5488891,-0.10198197,-0.10198197,0.10814953,0.7817938,277.58243,277.58243,277.94775,6.2699904,5503941.0,5503941.0,5718830.0,1344931800000.0,-2776522.2,-2776522.2,-2752901.8,501863840000.0
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.7770049,0.7770049,0.63516235,0.51592517,0.22735359,0.22735359,0.25556278,0.14469886,278.89377,278.89377,279.72363,9.52156,4880186.5,4880186.5,4612175.5,3171323500000.0,-2256611.0,-2256611.0,-2156959.2,331971530000.0
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,1.825788,1.825788,1.6274033,1.8909384,-3.762746,-3.762746,-2.8106842,4.37868,275.1932,275.1932,276.37744,10.245964,5771358.5,5771358.5,5778149.5,2221057500000.0,-2932284.0,-2932284.0,-2976844.2,733671000000.0
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,1.6847793,1.6847793,1.3407898,1.028205,0.52818257,0.52818257,0.6159668,0.3620096,279.00256,279.00256,280.13232,11.024305,7622789.5,7622789.5,7797963.5,4255323300000.0,-4374281.0,-4374281.0,-4243703.0,667259900000.0
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.5863371,0.5863371,0.54529953,0.5734181,0.78360695,0.78360695,0.67641354,0.4457597,280.95392,280.95392,282.18994,9.251384,7703565.0,7703565.0,8052028.5,4163836600000.0,-3853895.5,-3853895.5,-3963518.0,448181270000.0
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.69353116,0.69353116,0.5503082,0.4234873,0.7348757,0.7348757,0.77365494,0.28609893,281.96255,281.96255,283.05286,9.984829,6728856.5,6728856.5,8023614.0,4034797000000.0,-2813566.8,-2813566.8,-3064936.0,684594200000.0
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.26711527,-0.26711527,-0.20585632,0.26378113,0.75913197,0.75913197,0.690217,0.339169,282.52963,282.52963,283.40454,8.5156765,6176223.5,6176223.5,6721148.5,2920340800000.0,-2629923.5,-2629923.5,-2710184.8,413062170000.0
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.060720198,0.060720198,-0.024673462,0.45646188,1.2676866,1.2676866,1.071867,1.0740415,282.35803,282.35803,283.1062,9.146257,6792361.0,6792361.0,7400935.0,3535884800000.0,-2693123.2,-2693123.2,-2922123.5,588321260000.0
2019-01-21,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.49012914,-0.49012914,-0.53211975,0.13442864,-0.41266143,-0.41266143,-0.4044342,0.8205489,282.2985,282.2985,282.95483,5.2566395,6311049.0,6311049.0,7048718.0,1678053900000.0,-2058218.0,-2058218.0,-2047526.1,103595100000.0
2019-01-22,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.5413122,-0.5413122,-0.5677185,0.1732352,1.9471148,1.9471148,1.5564222,1.8489666,282.57584,282.57584,283.6538,11.708781,6139484.0,6139484.0,6904810.0,2763967700000.0,-1810040.6,-1810040.6,-1928901.2,265499700000.0
2019-01-23,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-1.053073,-1.053073,-0.81394196,0.54866886,3.0576134,3.0576134,2.752594,4.5957103,282.58093,282.58093,283.02148,11.287089,4292631.0,4292631.0,4919511.0,1219543300000.0,-1466446.8,-1466446.8,-1620642.5,453104100000.0
2019-01-24,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.22036704,-0.22036704,-0.19169617,0.2642523,1.3692896,1.3692896,1.3390665,0.53691256,283.15744,283.15744,284.23682,9.068427,7792881.0,7792881.0,8259095.5,2943520000000.0,-3346606.2,-3346606.2,-3653690.2,899627900000.0
2019-01-25,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.0093992185,0.0093992185,0.030952454,0.14487523,2.0020947,2.0020947,1.2096081,5.737713,280.87286,280.87286,281.33447,5.78666,2630810.8,2630810.8,2582523.0,353850300000.0,-891883.5,-891883.5,-1029684.0,246444160000.0
2019-01-26,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.6111896,0.6111896,0.39419556,1.6080226,-0.9689827,-0.9689827,-0.85635567,0.9817186,281.45688,281.45688,282.1997,5.41994,6249055.0,6249055.0,6470530.0,1276506500000.0,-2239556.5,-2239556.5,-2179138.2,160613190000.0
2019-01-27,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.12143179,-0.12143179,-0.22479248,0.7210253,0.06246958,0.06246958,0.1588707,1.1424662,282.20157,282.20157,282.70886,4.455166,8124194.5,8124194.5,8377366.5,2096038300000.0,-3073831.8,-3073831.8,-3195258.2,372043900000.0
2019-01-28,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.21903439,0.21903439,0.14285469,0.53572214,1.8486203,1.8486203,1.6166241,0.97589326,282.7779,282.7779,283.77588,9.287817,7195498.5,7195498.5,8071486.5,6221570000000.0,-2706311.2,-2706311.2,-3201379.2,1754746700000.0
2019-01-29,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-1.5239118,-1.5239118,-1.421792,0.34357446,1.8078852,1.8078852,1.8072968,4.4909444,283.036,283.036,284.18604,12.706492,4605883.0,4605883.0,4710139.0,3398267600000.0,-1646179.5,-1646179.5,-1673519.2,1351524200000.0
2019-01-30,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,1.8943847,1.8943847,1.7035246,0.6544252,1.4002628,1.4002628,1.2388563,0.5645437,282.094,282.094,283.13574,12.129365,7286611.5,7286611.5,8582546.0,5470970000000.0,-2488790.0,-2488790.0,-2935998.0,1369775100000.0
2019-01-31,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,3.6288066,3.6288066,3.722434,2.9834242,1.3560288,1.3560288,1.2700148,0.41251814,280.51828,280.51828,281.385,11.218465,7082481.0,7082481.0,8258422.0,4847532000000.0,-2579269.2,-2579269.2,-3059830.5,1387784400000.0
2019-02-01,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,0.6089967,0.6089967,0.5905609,0.4283027,1.1945379,1.1945379,1.1568604,0.59403443,284.1348,284.1348,285.20557,9.207586,9120798.0,9120798.0,10347742.0,5235324500000.0,-3579378.0,-3579378.0,-4220174.0,1548877600000.0
2019-02-02,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.5073121,-0.5073121,-0.4219818,0.28411728,1.562994,1.562994,1.1011677,1.961649,286.11166,286.11166,286.6289,3.0194108,9719086.0,9719086.0,10112068.0,1347860700000.0,-3594994.0,-3594994.0,-3644128.5,147308640000.0
2019-02-03,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-0.80898595,-0.80898595,-0.7141466,0.41890022,1.7359283,1.7359283,1.4495544,2.3984544,286.88898,286.88898,287.50476,4.021555,7906191.0,7906191.0,7933359.0,928697200000.0,-2743049.0,-2743049.0,-2702355.5,204823540000.0
2019-02-04,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,-2.3298945,-2.3298945,-2.1060333,0.63326883,0.05709692,0.05709692,-0.030870438,0.8202813,284.91678,284.91678,285.56934,5.949674,6131043.5,6131043.5,5996092.0,616092700000.0,-1641229.8,-1641229.8,-1554433.2,191493310000.0
