Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,45.057297,45.057297,44.32927,9.81102,0.0028056102,0.0028056102,0.002802779,2.2812952e-10
2019-01-02,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,52.411743,52.411743,51.95398,11.114087,0.0028932532,0.0028932532,0.0029009422,5.8421605e-09
2019-01-03,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,77.14903,77.14903,76.59239,3.7465868,0.0032921927,0.0032921927,0.0033020573,1.9701021e-08
2019-01-04,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,82.10646,82.10646,81.84035,4.4142566,0.0026743377,0.0026743377,0.0026899243,1.3202952e-08
2019-01-05,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,59.11841,59.11841,58.144043,26.124142,0.0020087438,0.0020087438,0.0020092207,6.2761174e-10
2019-01-06,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,52.72751,52.72751,52.055634,23.103367,0.0022933467,0.0022933467,0.0022953732,7.210943e-11
2019-01-07,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,48.57907,48.57907,47.79904,32.87761,0.0015814691,0.0015814691,0.0015809922,8.4813934e-11
2019-01-08,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,46.033905,46.033905,45.40744,18.824743,0.0014636612,0.0014636612,0.0014634675,1.8350366e-10
2019-01-09,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,88.85301,88.85301,88.56468,5.9619336,0.002783693,0.002783693,0.0027885805,6.31778e-09
2019-01-10,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,83.82114,83.82114,83.250336,11.246149,0.004141967,0.004141967,0.0041325195,3.3753151e-09
2019-01-11,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,61.36281,61.36281,60.65236,41.67255,0.002836652,0.002836652,0.0028418973,6.583356e-10
2019-01-12,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,63.335632,63.335632,62.77289,32.82183,0.0023888713,0.0023888713,0.0023999577,3.641592e-09
2019-01-13,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,55.32312,55.32312,54.75354,27.122295,0.0025120059,0.0025120059,0.0025164464,1.6963382e-09
2019-01-14,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,67.61139,67.61139,67.21124,44.389664,0.0031309545,0.0031309545,0.0031373322,4.5212047e-09
2019-01-15,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,44.881653,44.881653,44.492493,20.603971,0.0018280775,0.0018280775,0.0018271238,5.106955e-10
2019-01-16,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,46.516693,46.516693,46.364594,30.159523,0.0026260503,0.0026260503,0.0026329048,1.3076384e-09
