Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,61.20598,61.20598,60.66179,49.702477,0.0036712186,0.0036712186,0.0036662119,6.7666676e-08
2019-01-02,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,60.554565,60.554565,60.47888,1.4427915,0.0038213572,0.0038213572,0.003815814,1.05763895e-08
2019-01-03,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,95.4149,95.4149,96.45421,14.016036,0.004281332,0.004281332,0.0042623477,5.023845e-08
2019-01-04,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,97.96486,97.96486,98.17824,0.64807177,0.0039514564,0.0039514564,0.0039659403,6.3132795e-08
2019-01-05,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,79.383545,79.383545,79.41943,6.329383,0.0032723623,0.0032723623,0.0032569843,9.3634256e-08
2019-01-06,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,56.440155,56.440155,58.009247,16.248468,0.0028451367,0.0028451367,0.0028912409,1.1766163e-08
2019-01-07,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,68.832,68.832,68.72189,7.644215,0.0029358356,0.0029358356,0.0029269247,2.0911473e-08
2019-01-08,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,47.402557,47.402557,47.79953,0.504951,0.0018754995,0.0018754995,0.0018640107,7.671004e-09
2019-01-09,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,85.44212,85.44212,85.50853,33.103004,0.0045111845,0.0045111845,0.004484154,7.700765e-08
2019-01-10,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,72.52011,72.52011,72.32846,1.414828,0.0061038537,0.0061038537,0.0061372025,8.229977e-08
2019-01-11,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,69.632095,69.632095,70.16847,40.031548,0.004776247,0.004776247,0.004805334,1.2014307e-07
2019-01-12,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,80.92865,80.92865,80.1723,49.667152,0.0041006273,0.0041006273,0.004084802,1.5526114e-08
2019-01-13,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,58.848267,58.848267,58.636353,0.6127312,0.0031637826,0.0031637826,0.0031924227,1.4926075e-08
2019-01-14,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,66.18121,66.18121,66.72296,31.56258,0.003900063,0.003900063,0.0038884105,1.4812253e-08
2019-01-15,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,36.49298,36.49298,34.881165,20.251871,0.0019862384,0.0019862384,0.0019112856,7.69537e-08
2019-01-16,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,44.751312,44.751312,45.821136,13.472946,0.0031378008,0.0031378008,0.003150124,1.6923508e-08
2019-01-17,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,53.377563,53.377563,53.260864,6.855507,0.004095504,0.004095504,0.004103819,7.474691e-09
2019-01-18,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,66.379486,66.379486,66.687836,1.2103225,0.0055037783,0.0055037783,0.0055324184,5.9667924e-09
2019-01-19,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,75.34361,75.34361,75.752304,10.341319,0.006169345,0.006169345,0.0061772726,5.88658e-08
2019-01-20,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,66.09485,66.09485,66.21765,9.450984,0.0060222894,0.0060222894,0.0060815364,1.00891256e-07
2019-01-21,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,81.28899,81.28899,82.114426,8.954494,0.0063278824,0.0063278824,0.0063931197,2.9676722e-08
2019-01-22,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,75.6169,75.6169,75.64302,0.27803868,0.006597016,0.006597016,0.006615434,2.6971357e-08
2019-01-23,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,84.76466,84.76466,85.048355,5.3007545,0.007486157,0.007486157,0.0074363276,3.248394e-08
2019-01-24,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,57.524323,57.524323,58.214508,2.638663,0.0051979767,0.0051979767,0.005165522,7.69668e-09
2019-01-25,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,84.78482,84.78482,85.58951,41.77144,0.006557535,0.006557535,0.006571214,1.9999307e-08
2019-01-26,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,74.544235,74.544235,74.618454,2.3672318,0.0048587793,0.0048587793,0.0048259967,2.0864633e-08
2019-01-27,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,59.47444,59.47444,59.560135,1.3927742,0.0045382306,0.0045382306,0.004548751,2.9800402e-09
2019-01-28,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,65.86885,65.86885,66.53291,2.8259373,0.0060478784,0.0060478784,0.0060727634,2.2342292e-08
2019-01-29,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,84.9124,84.9124,85.1768,19.173462,0.0072690807,0.0072690807,0.007302653,2.2508512e-08
2019-01-30,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,74.12773,74.12773,74.67607,4.344893,0.0061494336,0.0061494336,0.00621026,8.08264e-08
2019-01-31,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,53.73387,53.73387,53.7744,4.078406,0.0042490587,0.0042490587,0.0042484626,1.4651469e-08
2019-02-01,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,58.452118,58.452118,58.138885,10.378829,0.0058716815,0.0058716815,0.0057901423,1.27357e-07
2019-02-02,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,66.95308,66.95308,66.18843,7.3432055,0.006803114,0.006803114,0.006724555,3.972403e-08
2019-02-03,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,77.84947,77.84947,77.8983,5.0387506,0.007543061,0.007543061,0.0075577833,2.7926298e-08
2019-02-04,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,86.76701,86.76701,88.00139,15.522339,0.00808144,0.00808144,0.008102123,1.4766088e-07
2019-02-05,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,79.26886,79.26886,80.10382,2.9790869,0.0070081316,0.0070081316,0.007049229,2.9022717e-08
2019-02-06,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,90.41565,90.41565,90.94202,4.815937,0.006423842,0.006423842,0.006437283,5.193984e-09
2019-02-07,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,71.54329,71.54329,71.79988,17.311964,0.0045846123,0.0045846123,0.004578056,3.7988393e-08
2019-02-08,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,73.129425,73.129425,72.75394,1.4788535,0.00475376,0.00475376,0.0047493046,2.859809e-09
2019-02-09,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,71.35982,71.35982,72.870316,10.626348,0.0048529888,0.0048529888,0.0048951143,1.6747084e-08
2019-02-10,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,65.93797,65.93797,65.84447,7.6427402,0.0054867994,0.0054867994,0.0055112224,3.1609244e-09
2019-02-11,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,56.166107,56.166107,55.178314,4.611151,0.0060382187,0.0060382187,0.0059473217,8.200224e-08
2019-02-12,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,52.872635,52.872635,53.6429,15.596985,0.0040925015,0.0040925015,0.00409122,3.9222684e-08
2019-02-13,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,59.261826,59.261826,58.863388,17.472208,0.0032364225,0.0032364225,0.0032064414,6.0461396e-08
2019-02-14,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,49.235,49.235,49.487442,2.1316953,0.0032836662,0.0032836662,0.0032794045,7.155715e-09
2019-02-15,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,78.42197,78.42197,79.192474,5.925192,0.0042959685,0.0042959685,0.0042875344,2.9144145e-09
2019-02-16,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,51.255585,51.255585,51.230927,0.15839404,0.0031975985,0.0031975985,0.0032007277,3.759153e-10
2019-02-17,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,53.686295,53.686295,53.152603,1.6360765,0.004143769,0.004143769,0.0041255,1.641534e-09
2019-02-18,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,51.368286,51.368286,50.509888,11.317774,0.0048720706,0.0048720706,0.004797267,5.3746263e-08
2019-02-19,ΔΗΜΟΣ ΡΗΓΑ ΦΕΡΑΙΟΥ,60.873383,60.873383,59.345795,38.784134,0.0056855567,0.0056855567,0.00558931,1.4963611e-07
