Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,52.718105,52.718105,53.420578,2.2724822,0.002862483,0.002862483,0.0028707879,1.710936e-08
2019-01-02,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,55.85567,55.85567,56.742065,8.006385,0.003030026,0.003030026,0.0030851802,6.8403416e-08
2019-01-03,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,85.68484,85.68484,87.100204,22.961014,0.0034010606,0.0034010606,0.0034100013,2.5661004e-08
2019-01-04,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,93.21096,93.21096,93.712906,0.66644734,0.0028650032,0.0028650032,0.002870884,6.352012e-08
2019-01-05,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,66.54232,66.54232,66.10156,17.754667,0.002209671,0.002209671,0.0022003727,1.11345555e-08
2019-01-06,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,47.600067,47.600067,47.504364,12.810609,0.00215115,0.00215115,0.0021391495,1.0665372e-09
2019-01-07,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,54.342987,54.342987,55.994354,12.618806,0.001748819,0.001748819,0.0017677336,3.1287124e-09
2019-01-08,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,40.852753,40.852753,40.95334,2.1144989,0.0013920512,0.0013920512,0.0013681895,2.1099472e-08
2019-01-09,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,94.30703,94.30703,95.10326,5.3229094,0.0034319728,0.0034319728,0.0033976804,5.3242104e-08
2019-01-10,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,85.77166,85.77166,85.50473,31.474466,0.004782111,0.004782111,0.0046772463,6.902563e-08
2019-01-11,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,68.01971,68.01971,70.68117,33.130814,0.0034925614,0.0034925614,0.0035618618,1.01263735e-08
2019-01-12,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,62.46462,62.46462,63.656677,12.957789,0.0026717747,0.0026717747,0.002698279,1.5485505e-09
2019-01-13,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,54.61308,54.61308,55.291138,1.7230545,0.0024570404,0.0024570404,0.0024490932,1.2322274e-08
2019-01-14,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,64.92527,64.92527,64.88263,14.282411,0.0032535412,0.0032535412,0.003221315,1.8365789e-08
2019-01-15,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,38.769184,38.769184,38.83429,3.0569694,0.0015908908,0.0015908908,0.0015779764,6.8239987e-09
2019-01-16,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,41.59376,41.59376,41.500336,16.563782,0.0024705615,0.0024705615,0.0024698265,4.7659805e-09
2019-01-17,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,53.468708,53.468708,55.209595,7.534888,0.0034234615,0.0034234615,0.0034589858,5.2706003e-08
2019-01-18,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,70.49757,70.49757,71.372894,9.706898,0.0045092055,0.0045092055,0.004490887,1.2469203e-09
2019-01-19,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,73.56871,73.56871,75.768906,11.126649,0.004819121,0.004819121,0.0048341416,2.196695e-09
2019-01-20,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,75.14474,75.14474,74.72937,31.49829,0.005564486,0.005564486,0.0055380613,3.4746165e-07
2019-01-21,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,75.399254,75.399254,75.32536,5.462726,0.005097116,0.005097116,0.005188152,6.557885e-08
2019-01-22,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,93.73987,93.73987,94.64253,8.571794,0.0063929693,0.0063929693,0.006360505,1.2886123e-07
2019-01-23,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,91.658226,91.658226,92.42677,12.406278,0.006526383,0.006526383,0.0064752027,2.3250705e-07
2019-01-24,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,61.145172,61.145172,62.457672,28.363342,0.004887625,0.004887625,0.0049563693,5.276237e-07
2019-01-25,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,92.56574,92.56574,94.215485,28.545958,0.0063000727,0.0063000727,0.0063295173,1.1513328e-07
2019-01-26,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,76.193,76.193,77.34599,6.598476,0.0037314568,0.0037314568,0.0038468116,4.2144134e-08
2019-01-27,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,60.025955,60.025955,59.45955,3.1846752,0.003963711,0.003963711,0.003950916,6.6399206e-09
2019-01-28,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,72.86657,72.86657,73.694046,2.242992,0.0057004527,0.0057004527,0.005702678,1.288603e-07
2019-01-29,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,91.501015,91.501015,93.9854,14.088664,0.006221514,0.006221514,0.006269317,1.7013758e-07
2019-01-30,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,83.36129,83.36129,82.63017,12.744443,0.005974772,0.005974772,0.0059529766,9.159037e-08
2019-01-31,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,65.12922,65.12922,65.6367,67.271545,0.004461728,0.004461728,0.0044995174,5.889157e-07
2019-02-01,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,64.33338,64.33338,65.42648,2.7946227,0.005273251,0.005273251,0.005345611,5.9508306e-08
2019-02-02,ΔΗΜΟΣ ΚΑΤΕΡΙΝΗΣ,74.77909,74.77909,77.72798,19.29394,0.0064321742,0.0064321742,0.006578762,8.973412e-08
