Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,66.42314,66.42314,64.91814,50.68809,0.003047918,0.003047918,0.003086795,6.133525e-08
2019-01-02,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,52.831055,52.831055,53.703003,12.621582,0.002786412,0.002786412,0.0027261218,7.2468076e-08
2019-01-03,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,89.79137,89.79137,90.24278,3.9934509,0.0032057362,0.0032057362,0.0031423764,6.2175936e-08
2019-01-04,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,89.5768,89.5768,89.880875,6.1971025,0.002546605,0.002546605,0.0025127197,5.094154e-08
2019-01-05,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,67.513306,67.513306,67.95117,11.286554,0.002093591,0.002093591,0.0020552354,7.179955e-09
2019-01-06,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,50.835297,50.835297,51.216278,44.1533,0.0022731705,0.0022731705,0.0022523983,1.1812029e-08
2019-01-07,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,59.964935,59.964935,62.105194,31.1698,0.0019094436,0.0019094436,0.0018300801,3.4863117e-08
2019-01-08,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,40.26535,40.26535,40.448456,5.4796677,0.001336301,0.001336301,0.0013126081,5.768092e-09
2019-01-09,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,97.2357,97.2357,97.06224,1.0485225,0.0037187408,0.0037187408,0.0037050615,1.6230013e-08
2019-01-10,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,90.84775,90.84775,90.27475,13.914888,0.0046742065,0.0046742065,0.0045479042,1.682629e-07
2019-01-11,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,70.54848,70.54848,70.46828,5.3679285,0.0038523003,0.0038523003,0.003782995,1.17176334e-07
2019-01-12,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,72.864075,72.864075,75.96527,35.697903,0.003029189,0.003029189,0.0030427938,1.3037818e-08
2019-01-13,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,58.77112,58.77112,57.908325,40.62848,0.0026890317,0.0026890317,0.002625523,3.4317186e-08
2019-01-14,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,79.657776,79.657776,82.08087,87.00043,0.0036817612,0.0036817612,0.003798765,5.4585506e-08
2019-01-15,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,35.837708,35.837708,36.17511,6.3983455,0.0013564259,0.0013564259,0.0013831288,8.374663e-09
2019-01-16,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,49.737396,49.737396,50.67514,17.658276,0.002607014,0.002607014,0.002599109,1.163138e-08
2019-01-17,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,56.525513,56.525513,56.842896,40.70482,0.0034394877,0.0034394877,0.0034441443,1.21253905e-08
2019-01-18,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,79.25046,79.25046,78.239105,99.53864,0.0048416452,0.0048416452,0.004831766,1.3930598e-08
2019-01-19,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,82.46312,82.46312,83.34215,30.748621,0.0053268783,0.0053268783,0.0053178333,3.9853408e-08
2019-01-20,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,72.99011,72.99011,71.833374,36.538452,0.0049438626,0.0049438626,0.004904136,3.513607e-08
2019-01-21,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,71.382126,71.382126,70.7863,8.284122,0.0048799664,0.0048799664,0.004846975,5.9202325e-08
2019-01-22,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,88.8647,88.8647,89.221146,15.290489,0.0055830367,0.0055830367,0.0055706836,8.7429925e-08
2019-01-23,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,94.261,94.261,95.78029,22.455364,0.005574845,0.005574845,0.005534105,2.5014742e-07
2019-01-24,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,65.83963,65.83963,64.31998,35.397095,0.004397695,0.004397695,0.004390602,5.676613e-08
2019-01-25,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,88.9241,88.9241,89.232086,2.1697345,0.005394246,0.005394246,0.0053695845,2.8147474e-07
2019-01-26,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,71.75224,71.75224,71.7166,6.5176687,0.00380634,0.00380634,0.0038270825,4.9654314e-08
2019-01-27,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,61.120926,61.120926,58.77693,36.371765,0.0041096285,0.0041096285,0.004107915,1.407329e-08
2019-01-28,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,85.89949,85.89949,88.36348,143.67967,0.0055377223,0.0055377223,0.0055183508,1.519712e-08
2019-01-29,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,95.75139,95.75139,98.10112,21.772858,0.0053252764,0.0053252764,0.0053447,2.9787083e-07
2019-01-30,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,84.32732,84.32732,82.15459,31.369247,0.0052214116,0.0052214116,0.005127363,1.2473583e-07
2019-01-31,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,75.08971,75.08971,76.43553,305.03934,0.0038717762,0.0038717762,0.0039342865,9.417211e-08
2019-02-01,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,74.29526,74.29526,72.962616,186.1658,0.0051664244,0.0051664244,0.0051059406,3.048384e-08
2019-02-02,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,64.69356,64.69356,64.07759,3.067821,0.005634818,0.005634818,0.005559165,1.2852021e-07
2019-02-03,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,59.179916,59.179916,58.596542,16.329493,0.005599696,0.005599696,0.005413685,3.0415347e-07
2019-02-04,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,77.75554,77.75554,77.209885,18.478739,0.0063210316,0.0063210316,0.006306771,2.5569372e-07
2019-02-05,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,67.91327,67.91327,66.5838,17.132744,0.0053815655,0.0053815655,0.00531986,2.1382925e-07
2019-02-06,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,88.99573,88.99573,88.28284,10.99144,0.005097445,0.005097445,0.0050450675,9.412372e-08
2019-02-07,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,82.24812,82.24812,83.9825,42.12326,0.004535692,0.004535692,0.00449902,1.9477973e-07
2019-02-08,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,70.664215,70.664215,70.62796,2.3254652,0.004290729,0.004290729,0.0042616194,4.7996835e-08
2019-02-09,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,55.87764,55.87764,54.75264,19.732746,0.0038440833,0.0038440833,0.0037159256,1.5223911e-07
2019-02-10,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,54.123764,54.123764,53.654037,18.645844,0.004281191,0.004281191,0.004201291,7.891628e-08
2019-02-11,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,75.7457,75.7457,75.87167,187.90099,0.005696252,0.005696252,0.005672008,3.5440145e-08
2019-02-12,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,70.784134,70.784134,70.47542,54.930088,0.004280584,0.004280584,0.0043144394,1.5442035e-07
2019-02-13,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,49.46495,49.46495,50.688583,36.571743,0.0021782613,0.0021782613,0.0021342135,2.0450607e-08
2019-02-14,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,51.448257,51.448257,52.88344,24.424768,0.0029629634,0.0029629634,0.002960758,7.257924e-09
2019-02-15,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,62.720306,62.720306,62.882904,9.603387,0.0030662206,0.0030662206,0.0030654606,3.1826694e-08
2019-02-16,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,48.854095,48.854095,49.08835,6.9401298,0.0028639913,0.0028639913,0.0028229535,1.6452526e-08
2019-02-17,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,46.113785,46.113785,45.882095,6.6328115,0.0035098735,0.0035098735,0.0034390928,6.124726e-08
2019-02-18,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,48.564575,48.564575,48.530396,3.4817176,0.004324766,0.004324766,0.004317658,3.21538e-08
2019-02-19,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,48.674896,48.674896,50.174896,13.762383,0.0043476336,0.0043476336,0.0043197908,1.9833685e-07
2019-02-20,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,35.10997,35.10997,35.048203,22.755863,0.0033941856,0.0033941856,0.0034066578,1.9787976e-07
2019-02-21,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,36.60013,36.60013,36.4274,3.6115355,0.003277626,0.003277626,0.0031689964,8.397566e-08
2019-02-22,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,62.961517,62.961517,64.49399,85.6259,0.004335131,0.004335131,0.004332978,2.5524702e-08
2019-02-23,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,81.73839,81.73839,81.71031,21.338764,0.002841695,0.002841695,0.002852409,5.941533e-08
2019-02-24,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,69.54054,69.54054,70.31081,29.253769,0.002286078,0.002286078,0.0022836789,7.260691e-09
2019-02-25,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,62.800232,62.800232,64.33905,25.379086,0.0023880159,0.0023880159,0.0024162089,8.365063e-09
2019-02-26,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,37.775513,37.775513,37.51477,27.300442,0.003404657,0.003404657,0.0034152367,7.891592e-08
2019-02-27,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,43.02823,43.02823,41.974518,7.19286,0.0026953525,0.0026953525,0.0025921322,1.0188209e-07
2019-02-28,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,39.64113,39.64113,40.859024,69.61594,0.0030362362,0.0030362362,0.0030025595,4.355182e-08
2019-03-01,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,43.07074,43.07074,43.501648,65.958725,0.0040166723,0.0040166723,0.0039997892,6.789308e-08
2019-03-02,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,51.33618,51.33618,52.7583,26.115181,0.0043530753,0.0043530753,0.0043474576,1.1346177e-08
2019-03-03,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,37.278122,37.278122,34.767014,28.561245,0.0031021102,0.0031021102,0.0029529794,2.244338e-07
2019-03-04,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,41.320206,41.320206,39.467545,56.66469,0.0037858076,0.0037858076,0.0037903227,6.352671e-08
2019-03-05,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,44.55948,44.55948,44.79947,86.797485,0.0045858133,0.0045858133,0.0045036334,9.108784e-08
