Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,47.442062,47.442062,47.406418,3.1319203,0.0028384225,0.0028384225,0.002838065,1.1382898e-08
2019-01-02,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,53.62097,53.62097,53.69519,2.3750172,0.0028475663,0.0028475663,0.0028505167,1.7103927e-09
2019-01-03,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,83.65172,83.65172,83.29796,13.982218,0.0036015408,0.0036015408,0.0035959082,2.3352174e-08
2019-01-04,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,80.90651,80.90651,80.87941,14.469742,0.003043827,0.003043827,0.0030375982,1.1028415e-08
2019-01-05,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,64.76074,64.76074,64.910645,11.084822,0.0023378509,0.0023378509,0.0023371654,8.456115e-09
2019-01-06,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,48.52365,48.52365,48.545868,5.528013,0.0020751043,0.0020751043,0.002074538,9.84131e-09
2019-01-07,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,50.742157,50.742157,50.698456,3.0088477,0.0018346696,0.0018346696,0.0018313914,6.4929573e-09
2019-01-08,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,49.42331,49.42331,49.397675,0.112832725,0.0015521592,0.0015521592,0.001551891,2.1777158e-10
2019-01-09,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,89.18651,89.18651,89.23021,2.1580558,0.002968199,0.002968199,0.002964891,1.3372681e-10
2019-01-10,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,86.83212,86.83212,86.98227,7.862583,0.004728268,0.004728268,0.0047075255,4.8094343e-08
2019-01-11,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,61.833267,61.833267,61.97267,3.1696587,0.0030338243,0.0030338243,0.003036864,8.9652765e-09
2019-01-12,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,54.822693,54.822693,54.8266,9.3246,0.0024938053,0.0024938053,0.002489484,3.0841774e-09
2019-01-13,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,55.918823,55.918823,55.75354,0.21540087,0.0025719383,0.0025719383,0.0025719383,2.5767832e-11
2019-01-14,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,67.369934,67.369934,67.37384,2.0354404,0.0030837178,0.0030837178,0.0030770719,3.5497463e-09
2019-01-15,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,38.03888,38.03888,38.119446,5.401694,0.0016113848,0.0016113848,0.001619044,1.1226932e-08
2019-01-16,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,46.585297,46.585297,46.470062,0.3115716,0.0026231445,0.0026231445,0.002613712,1.1236494e-09
2019-01-17,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,49.836792,49.836792,49.86731,0.55227625,0.003225425,0.003225425,0.0032261105,3.045188e-09
2019-01-18,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,62.929047,62.929047,62.91391,15.302982,0.003687029,0.003687029,0.0036764492,2.9791169e-08
2019-01-19,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,62.321396,62.321396,62.21324,0.5785977,0.0044347905,0.0044347905,0.0044268034,3.4941124e-08
2019-01-20,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,89.21838,89.21838,89.392456,0.17420167,0.0061566085,0.0061566085,0.006169364,2.4704619e-08
2019-01-21,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,71.45305,71.45305,71.44304,1.2988249,0.0051573664,0.0051573664,0.0051653236,2.4843894e-08
2019-01-22,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,83.5898,83.5898,83.63423,1.8055444,0.0051103868,0.0051103868,0.0051048733,7.828364e-09
2019-01-23,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,91.42091,91.42091,91.465836,0.057712555,0.006609164,0.006609164,0.0065985247,7.032631e-08
2019-01-24,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,73.07022,73.07022,72.882965,1.5839707,0.005679642,0.005679642,0.005611186,7.7346826e-08
2019-01-25,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,90.79434,90.79434,90.69791,2.5002995,0.006221156,0.006221156,0.006222229,4.0933216e-08
2019-01-26,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,79.43779,79.43779,79.62138,10.150471,0.004154431,0.004154431,0.0041301125,1.2605632e-07
2019-01-27,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,60.359207,60.359207,59.980545,3.1025662,0.0038897917,0.0038897917,0.003874205,1.6261788e-08
2019-01-28,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,80.15889,80.15889,80.120804,8.258363,0.0057246573,0.0057246573,0.005717311,5.052263e-09
2019-01-29,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,88.90971,88.90971,88.577194,8.980692,0.0063942634,0.0063942634,0.0063743405,5.2533487e-08
2019-01-30,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,79.504684,79.504684,79.48222,2.510896,0.0058518127,0.0058518127,0.0058494434,3.4883726e-08
2019-01-31,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,89.30809,89.30809,89.42088,0.68536067,0.0053757355,0.0053757355,0.005391024,1.9940183e-08
2019-02-01,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,53.83835,53.83835,53.88498,3.249846,0.0043654423,0.0043654423,0.004377691,5.287441e-08
2019-02-02,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,67.62129,67.62129,67.44234,1.6400057,0.0061703213,0.0061703213,0.0061889477,3.4522635e-08
2019-02-03,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,75.44737,75.44737,75.25816,3.8065145,0.007383559,0.007383559,0.007359419,9.614021e-08
2019-02-04,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,74.49895,74.49895,75.23039,11.977143,0.0076784827,0.0076784827,0.0077258386,9.1497725e-08
2019-02-05,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,53.48053,53.48053,53.662415,29.062498,0.0057853125,0.0057853125,0.0058053993,2.9126187e-07
2019-02-06,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,80.026245,80.026245,80.2345,9.435316,0.005415257,0.005415257,0.005400818,2.7177574e-08
2019-02-07,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,64.6534,64.6534,64.67195,3.10325,0.004351856,0.004351856,0.0043478627,1.2141339e-08
2019-02-08,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,77.47708,77.47708,77.01517,3.793274,0.004676438,0.004676438,0.004655785,2.2432847e-09
2019-02-09,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,56.544144,56.544144,56.154984,3.6881528,0.0036238513,0.0036238513,0.0036255054,1.6617772e-09
2019-02-10,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,65.13866,65.13866,64.92357,0.85816824,0.0047563296,0.0047563296,0.004749624,2.6922729e-08
2019-02-11,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,63.676605,63.676605,63.7706,1.2368332,0.005462587,0.005462587,0.0054721534,4.0145242e-08
2019-02-12,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,43.514236,43.514236,43.397293,1.8363892,0.0028205086,0.0028205086,0.0028246809,5.001162e-09
2019-02-13,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,34.560654,34.560654,34.606552,1.6768055,0.0020823276,0.0020823276,0.0020836687,6.3620034e-09
2019-02-14,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,48.924942,48.924942,49.097794,6.01696,0.0031687783,0.0031687783,0.00317605,8.941328e-09
2019-02-15,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,49.116302,49.116302,48.993256,17.09396,0.0028839048,0.0028839048,0.0028833088,5.3850698e-08
2019-02-16,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,47.19821,47.19821,47.422333,1.0488858,0.0034950257,0.0034950257,0.0034997643,3.294316e-10
2019-02-17,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,49.924576,49.924576,50.060806,4.165635,0.0040431265,0.0040431265,0.004044259,3.9932857e-10
2019-02-18,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,50.602173,50.602173,50.53235,0.9718945,0.0046771187,0.0046771187,0.00465204,5.126385e-09
2019-02-19,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,56.927338,56.927338,56.891205,2.635422,0.005131621,0.005131621,0.005120281,1.1364547e-08
2019-02-20,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,45.19786,45.19786,45.595566,6.37131,0.0045847436,0.0045847436,0.004584207,4.5350056e-08
2019-02-21,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,37.487457,37.487457,37.05484,0.9117129,0.0033303462,0.0033303462,0.0033221804,2.9076084e-09
2019-02-22,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,67.754486,67.754486,67.824554,5.9934454,0.0045125964,0.0045125964,0.0045111957,1.4359598e-09
2019-02-23,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,49.12584,49.12584,48.65172,27.846394,0.0021726775,0.0021726775,0.0021617103,4.5995023e-08
2019-02-24,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,48.677017,48.677017,48.93483,8.31842,0.001996921,0.001996921,0.0020046695,6.5675465e-09
2019-02-25,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,48.042664,48.042664,47.98065,2.06803,0.0022484814,0.0022484814,0.0022354876,1.8826185e-09
2019-02-26,ΔΗΜΟΣ ΗΡΑΚΛΕΙΑΣ,39.98889,39.98889,40.160767,0.6710229,0.002918283,0.002918283,0.0029249885,4.049201e-09
