Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΠΑΛΑΜΑ,68.049484,68.049484,71.64519,39.05833,0.0036446152,0.0036446152,0.0036543505,4.117334e-08
2019-01-02,ΔΗΜΟΣ ΠΑΛΑΜΑ,57.071167,57.071167,57.349487,0.3977909,0.003348752,0.003348752,0.003390952,6.923443e-09
2019-01-03,ΔΗΜΟΣ ΠΑΛΑΜΑ,93.09076,93.09076,93.01915,6.6932487,0.0037752984,0.0037752984,0.003797789,7.049582e-09
2019-01-04,ΔΗΜΟΣ ΠΑΛΑΜΑ,89.76044,89.76044,89.20802,3.3669386,0.003091024,0.003091024,0.003123727,8.251299e-09
2019-01-05,ΔΗΜΟΣ ΠΑΛΑΜΑ,60.531902,60.531902,58.518555,10.2368,0.0023001907,0.0023001907,0.002338298,1.4266376e-08
2019-01-06,ΔΗΜΟΣ ΠΑΛΑΜΑ,39.931774,39.931774,39.728973,1.2129937,0.0021875883,0.0021875883,0.0021938665,5.977364e-09
2019-01-07,ΔΗΜΟΣ ΠΑΛΑΜΑ,56.132374,56.132374,56.09787,2.9751494,0.0023151825,0.0023151825,0.0023510247,7.535631e-09
2019-01-08,ΔΗΜΟΣ ΠΑΛΑΜΑ,41.662975,41.662975,40.93576,4.1432676,0.0015951045,0.0015951045,0.0015444404,5.237029e-09
2019-01-09,ΔΗΜΟΣ ΠΑΛΑΜΑ,94.06809,94.06809,93.864,0.10999743,0.0037415593,0.0037415593,0.0037165652,8.9980885e-09
2019-01-10,ΔΗΜΟΣ ΠΑΛΑΜΑ,78.28826,78.28826,78.489105,9.574239,0.0053397715,0.0053397715,0.0052132113,4.6570474e-08
2019-01-11,ΔΗΜΟΣ ΠΑΛΑΜΑ,70.70298,70.70298,70.11476,3.8213885,0.004647461,0.004647461,0.0046376064,4.5721653e-09
2019-01-12,ΔΗΜΟΣ ΠΑΛΑΜΑ,79.07107,79.07107,75.99457,53.682514,0.0036178196,0.0036178196,0.0036818748,3.796529e-08
2019-01-13,ΔΗΜΟΣ ΠΑΛΑΜΑ,53.61145,53.61145,52.90149,5.249029,0.0027958332,0.0027958332,0.0027415135,1.7326501e-08
2019-01-14,ΔΗΜΟΣ ΠΑΛΑΜΑ,67.87351,67.87351,69.04083,8.3499565,0.0037961423,0.0037961423,0.0037212789,3.1452533e-08
2019-01-15,ΔΗΜΟΣ ΠΑΛΑΜΑ,33.374004,33.374004,33.99054,5.064835,0.0015800031,0.0015800031,0.0015358955,6.3874097e-09
2019-01-16,ΔΗΜΟΣ ΠΑΛΑΜΑ,41.75717,41.75717,42.92807,5.418722,0.002865502,0.002865502,0.002854336,2.8334894e-08
2019-01-17,ΔΗΜΟΣ ΠΑΛΑΜΑ,51.526978,51.526978,51.567993,3.2943084,0.003919849,0.003919849,0.0038068385,2.6428419e-08
2019-01-18,ΔΗΜΟΣ ΠΑΛΑΜΑ,62.967945,62.967945,61.974457,3.7985642,0.005091225,0.005091225,0.0051297294,6.0066156e-09
2019-01-19,ΔΗΜΟΣ ΠΑΛΑΜΑ,70.198265,70.198265,68.22984,13.646543,0.0057401718,0.0057401718,0.0057750605,6.763196e-09
2019-01-20,ΔΗΜΟΣ ΠΑΛΑΜΑ,63.466675,63.466675,63.077026,6.1877575,0.0055026165,0.0055026165,0.0055659562,9.7910755e-09
2019-01-21,ΔΗΜΟΣ ΠΑΛΑΜΑ,67.24757,67.24757,68.04216,7.380653,0.0054731816,0.0054731816,0.005391881,2.647898e-08
2019-01-22,ΔΗΜΟΣ ΠΑΛΑΜΑ,78.60152,78.60152,76.894485,5.8982067,0.0063292324,0.0063292324,0.0063570477,4.6906177e-09
2019-01-23,ΔΗΜΟΣ ΠΑΛΑΜΑ,84.536476,84.536476,83.784195,2.1803005,0.006750179,0.006750179,0.006868832,3.9920995e-08
2019-01-24,ΔΗΜΟΣ ΠΑΛΑΜΑ,56.25487,56.25487,55.740875,9.363606,0.004883095,0.004883095,0.0049457597,1.6683604e-08
2019-01-25,ΔΗΜΟΣ ΠΑΛΑΜΑ,87.121735,87.121735,87.34927,0.184515,0.0061981087,0.0061981087,0.0060835886,2.8851032e-08
2019-01-26,ΔΗΜΟΣ ΠΑΛΑΜΑ,71.385704,71.385704,71.37627,1.5641928,0.004420725,0.004420725,0.004403996,3.342886e-08
2019-01-27,ΔΗΜΟΣ ΠΑΛΑΜΑ,54.37231,54.37231,55.16951,1.977056,0.0044826292,0.0044826292,0.0044399127,2.8566417e-08
