Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,52.27678,52.27678,51.239914,14.813395,0.0033169286,0.0033169286,0.0032679932,3.4194567e-08
2019-01-02,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,52.997437,52.997437,53.09558,0.35965466,0.0034278473,0.0034278473,0.0034199795,6.2938774e-09
2019-01-03,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,77.396835,77.396835,76.45421,20.74667,0.004367401,0.004367401,0.004354258,4.459511e-09
2019-01-04,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,78.18849,78.18849,78.52736,11.720429,0.0038744472,0.0038744472,0.0039149188,1.6855738e-08
2019-01-05,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,70.89282,70.89282,69.95996,9.000728,0.0031069892,0.0031069892,0.003101893,3.9716808e-09
2019-01-06,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,51.292206,51.292206,50.76706,1.9701816,0.002754329,0.002754329,0.0027534945,3.0181049e-09
2019-01-07,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,69.522675,69.522675,71.34738,50.0726,0.0030484288,0.0030484288,0.003129223,7.3276794e-08
2019-01-08,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,50.209686,50.209686,50.230194,1.543236,0.0020351654,0.0020351654,0.0020808524,1.1687108e-08
2019-01-09,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,72.847885,72.847885,70.07689,35.10504,0.005010582,0.005010582,0.0052205096,2.4480372e-07
2019-01-10,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,69.89926,69.89926,66.66586,42.102665,0.0065563126,0.0065563126,0.006541441,1.4077772e-08
2019-01-11,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,52.272476,52.272476,51.187515,8.661623,0.0037381724,0.0037381724,0.0037223771,5.003976e-09
2019-01-12,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,63.84247,63.84247,63.765076,0.5392491,0.0039682453,0.0039682453,0.0040392643,2.5581452e-08
2019-01-13,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,57.796997,57.796997,56.297485,36.98941,0.0033254006,0.0033254006,0.003232477,1.5707835e-07
2019-01-14,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,60.88336,60.88336,60.06427,10.873907,0.004044217,0.004044217,0.004072887,1.6806087e-08
2019-01-15,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,38.173645,38.173645,38.520813,9.760801,0.002225998,0.002225998,0.002224806,1.29400775e-08
2019-01-16,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,43.809418,43.809418,43.93393,2.201062,0.0030897297,0.0030897297,0.0031081326,1.4222402e-08
2019-01-17,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,54.63025,54.63025,55.749146,7.7587214,0.0043985043,0.0043985043,0.004497329,1.11448074e-07
2019-01-18,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,70.08725,70.08725,70.10434,0.11291385,0.005438124,0.005438124,0.0054986225,7.1794226e-08
2019-01-19,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,81.0294,81.0294,80.541855,11.866527,0.0067426227,0.0067426227,0.006759312,1.081758e-07
2019-01-20,ΔΗΜΟΣ ΣΙΘΩΝΙΑΣ,81.71619,81.71619,81.24646,6.840578,0.0070230067,0.0070230067,0.007028654,1.4805195e-09
