Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΚΙΛΚΙΣ,46.554203,46.554203,47.01091,7.691988,0.0028949676,0.0028949676,0.00286596,6.7785177e-09
2019-01-02,ΔΗΜΟΣ ΚΙΛΚΙΣ,51.575726,51.575726,51.75818,3.2040052,0.0028725704,0.0028725704,0.002853199,5.046259e-09
2019-01-03,ΔΗΜΟΣ ΚΙΛΚΙΣ,78.59598,78.59598,77.19151,16.85964,0.003454168,0.003454168,0.0034824805,2.6072138e-08
2019-01-04,ΔΗΜΟΣ ΚΙΛΚΙΣ,81.05209,81.05209,80.688,6.2028956,0.0028775597,0.0028775597,0.002869215,1.777775e-08
2019-01-05,ΔΗΜΟΣ ΚΙΛΚΙΣ,59.47542,59.47542,59.341797,12.109675,0.0021308737,0.0021308737,0.002111085,8.522487e-09
2019-01-06,ΔΗΜΟΣ ΚΙΛΚΙΣ,50.699352,50.699352,51.12448,4.063618,0.0022427621,0.0022427621,0.0022581203,5.3502993e-09
2019-01-07,ΔΗΜΟΣ ΚΙΛΚΙΣ,46.67274,46.67274,47.30832,7.113292,0.0016511073,0.0016511073,0.0016412525,5.6869833e-09
2019-01-08,ΔΗΜΟΣ ΚΙΛΚΙΣ,45.95578,45.95578,45.738983,8.485194,0.0015092934,0.0015092934,0.0015138036,1.6006855e-09
2019-01-09,ΔΗΜΟΣ ΚΙΛΚΙΣ,89.878654,89.878654,90.4807,2.4917524,0.0029181214,0.0029181214,0.0029362808,1.9993793e-09
2019-01-10,ΔΗΜΟΣ ΚΙΛΚΙΣ,84.804695,84.804695,84.046234,9.249732,0.0043680575,0.0043680575,0.004281531,4.1152305e-08
2019-01-11,ΔΗΜΟΣ ΚΙΛΚΙΣ,60.43865,60.43865,61.330093,11.916454,0.002887157,0.002887157,0.0028706864,4.5680055e-09
2019-01-12,ΔΗΜΟΣ ΚΙΛΚΙΣ,60.585064,60.585064,60.200623,8.210955,0.0024537807,0.0024537807,0.002461887,2.3843445e-09
2019-01-13,ΔΗΜΟΣ ΚΙΛΚΙΣ,54.42639,54.42639,54.791138,8.334635,0.0025568784,0.0025568784,0.0025651434,9.1534685e-10
2019-01-14,ΔΗΜΟΣ ΚΙΛΚΙΣ,64.492165,64.492165,65.47931,12.568721,0.0030477464,0.0030477464,0.0030456602,1.7805112e-09
2019-01-15,ΔΗΜΟΣ ΚΙΛΚΙΣ,42.43162,42.43162,41.8714,5.5320587,0.0018134544,0.0018134544,0.0018229515,1.550275e-09
2019-01-16,ΔΗΜΟΣ ΚΙΛΚΙΣ,44.44516,44.44516,45.304535,9.359578,0.0025934167,0.0025934167,0.002589751,2.6494332e-10
2019-01-17,ΔΗΜΟΣ ΚΙΛΚΙΣ,45.631794,45.631794,45.54651,6.6837945,0.003097871,0.003097871,0.0030712874,2.592319e-09
2019-01-18,ΔΗΜΟΣ ΚΙΛΚΙΣ,59.058117,59.058117,58.39926,15.095866,0.0036351234,0.0036351234,0.0036594619,1.6246384e-08
2019-01-19,ΔΗΜΟΣ ΚΙΛΚΙΣ,59.982777,59.982777,60.521347,4.430564,0.004266666,0.004266666,0.0041933917,2.676577e-08
2019-01-20,ΔΗΜΟΣ ΚΙΛΚΙΣ,84.83972,84.83972,84.60681,23.654343,0.006186083,0.006186083,0.0061638504,2.230045e-08
2019-01-21,ΔΗΜΟΣ ΚΙΛΚΙΣ,69.730644,69.730644,69.57634,4.96606,0.0051402696,0.0051402696,0.005144283,3.2154475e-08
2019-01-22,ΔΗΜΟΣ ΚΙΛΚΙΣ,85.61176,85.61176,85.482376,7.4894185,0.0055926978,0.0055926978,0.005575333,9.3292556e-08
2019-01-23,ΔΗΜΟΣ ΚΙΛΚΙΣ,94.35255,94.35255,94.42531,3.0550394,0.006583445,0.006583445,0.006605856,6.782572e-08
2019-01-24,ΔΗΜΟΣ ΚΙΛΚΙΣ,63.849598,63.849598,62.994293,32.894455,0.005290771,0.005290771,0.0052405642,7.005405e-08
2019-01-25,ΔΗΜΟΣ ΚΙΛΚΙΣ,89.60123,89.60123,89.73697,3.496609,0.006483615,0.006483615,0.0064983177,6.7922485e-08
2019-01-26,ΔΗΜΟΣ ΚΙΛΚΙΣ,72.86829,72.86829,72.31865,12.194161,0.0033341916,0.0033341916,0.0033179992,4.8098386e-08
2019-01-27,ΔΗΜΟΣ ΚΙΛΚΙΣ,55.29483,55.29483,54.82332,4.3755274,0.0035913612,0.0035913612,0.0036097988,1.4411197e-08
