Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,44.718105,44.718105,45.029953,0.29539064,0.0026623306,0.0026623306,0.0026126998,1.0924665e-08
2019-01-02,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,58.045776,58.045776,58.489136,2.1926956,0.0030945183,0.0030945183,0.003123208,6.5204073e-09
2019-01-03,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,77.32221,77.32221,80.85509,33.897564,0.0036842225,0.0036842225,0.0036497312,6.607504e-08
2019-01-04,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,67.99383,67.99383,68.834,11.079589,0.0027978884,0.0027978884,0.0028426314,3.9620026e-08
2019-01-05,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,72.40299,72.40299,72.22754,0.66974664,0.0027128535,0.0027128535,0.0026688653,5.226667e-09
2019-01-06,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,51.382618,51.382618,51.62448,0.5928207,0.002355872,0.002355872,0.0023722036,6.526941e-09
2019-01-07,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,55.10145,55.10145,56.048065,10.167952,0.0022239476,0.0022239476,0.0021753102,1.1988959e-08
2019-01-08,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,46.26421,46.26421,45.973846,0.4122889,0.0015864816,0.0015864816,0.00157466,1.8399797e-09
2019-01-09,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,90.45449,90.45449,89.777084,1.4010662,0.003207899,0.003207899,0.0031621228,2.8202303e-08
2019-01-10,ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ,92.875496,92.875496,93.90024,2.5394602,0.0057359836,0.0057359836,0.0056446297,7.9272795e-08
