Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΒΟΛΒΗΣ,47.0988,47.0988,47.3864,1.6406748,0.0029361444,0.0029361444,0.0029412406,5.2379603e-09
2019-01-02,ΔΗΜΟΣ ΒΟΛΒΗΣ,58.31311,58.31311,58.506226,0.62620085,0.0031592092,0.0031592092,0.0031643948,6.8241732e-09
2019-01-03,ΔΗΜΟΣ ΒΟΛΒΗΣ,91.649765,91.649765,91.975204,1.4749447,0.0041136043,0.0041136043,0.00411876,4.6857975e-09
2019-01-04,ΔΗΜΟΣ ΒΟΛΒΗΣ,84.906265,84.906265,84.948746,12.290816,0.0033416713,0.0033416713,0.0033375884,5.9485528e-09
2019-01-05,ΔΗΜΟΣ ΒΟΛΒΗΣ,74.204834,74.204834,74.09375,2.2843642,0.0027166682,0.0027166682,0.0027304369,1.09214895e-08
2019-01-06,ΔΗΜΟΣ ΒΟΛΒΗΣ,52.703827,52.703827,52.839813,0.95519793,0.0024210496,0.0024210496,0.0024293049,8.28221e-09
2019-01-07,ΔΗΜΟΣ ΒΟΛΒΗΣ,53.065887,53.065887,53.150116,0.8010732,0.0021631508,0.0021631508,0.0021685152,1.1117287e-08
2019-01-08,ΔΗΜΟΣ ΒΟΛΒΗΣ,47.21945,47.21945,47.342987,0.58794045,0.0016267544,0.0016267544,0.0016279763,2.6859315e-09
2019-01-09,ΔΗΜΟΣ ΒΟΛΒΗΣ,93.47313,93.47313,93.50951,0.029829204,0.0033592652,0.0033592652,0.0033483873,3.2114535e-08
2019-01-10,ΔΗΜΟΣ ΒΟΛΒΗΣ,92.91733,92.91733,93.30063,3.3651528,0.0059083505,0.0059083505,0.0059017045,8.8165024e-08
2019-01-11,ΔΗΜΟΣ ΒΟΛΒΗΣ,60.677994,60.677994,60.287125,1.3179823,0.0034414306,0.0034414306,0.003434129,1.6798e-08
2019-01-12,ΔΗΜΟΣ ΒΟΛΒΗΣ,57.266296,57.266296,56.852966,3.044376,0.0030231243,0.0030231243,0.0030193692,4.9273233e-08
2019-01-13,ΔΗΜΟΣ ΒΟΛΒΗΣ,53.998413,53.998413,53.886353,0.40775508,0.0027373412,0.0027373412,0.0027395466,6.5589987e-09
2019-01-14,ΔΗΜΟΣ ΒΟΛΒΗΣ,62.26422,62.26422,62.585754,0.6387116,0.0031702935,0.0031702935,0.0031552135,2.2258597e-08
2019-01-15,ΔΗΜΟΣ ΒΟΛΒΗΣ,37.855286,37.855286,38.19464,7.1462884,0.0017949075,0.0017949075,0.0018057257,9.865788e-09
2019-01-16,ΔΗΜΟΣ ΒΟΛΒΗΣ,43.77939,43.77939,44.077484,0.6462938,0.0026336797,0.0026336797,0.0026211925,2.6801938e-09
2019-01-17,ΔΗΜΟΣ ΒΟΛΒΗΣ,48.87683,48.87683,49.007935,1.5331613,0.0034566314,0.0034566314,0.0034339817,8.680115e-09
2019-01-18,ΔΗΜΟΣ ΒΟΛΒΗΣ,66.33603,66.33603,66.40512,1.861024,0.00426123,0.00426123,0.0042126523,3.0105358e-08
2019-01-19,ΔΗΜΟΣ ΒΟΛΒΗΣ,70.82994,70.82994,70.34215,5.3324213,0.00549775,0.00549775,0.0054611824,7.310986e-08
2019-01-20,ΔΗΜΟΣ ΒΟΛΒΗΣ,89.32605,89.32605,89.25525,0.3167224,0.006757602,0.006757602,0.0067577213,1.4169867e-08
2019-01-21,ΔΗΜΟΣ ΒΟΛΒΗΣ,74.3781,74.3781,74.13689,1.048564,0.005834684,0.005834684,0.005796656,2.1201888e-08
2019-01-22,ΔΗΜΟΣ ΒΟΛΒΗΣ,85.82027,85.82027,85.579056,4.394182,0.0058717765,0.0058717765,0.00588027,1.4285264e-07
2019-01-23,ΔΗΜΟΣ ΒΟΛΒΗΣ,90.159195,90.159195,90.119644,2.678516,0.0074058697,0.0074058697,0.007392101,1.4149357e-08
2019-01-24,ΔΗΜΟΣ ΒΟΛΒΗΣ,66.91226,66.91226,66.618805,6.010194,0.0058719562,0.0058719562,0.0058164643,1.7874573e-08
2019-01-25,ΔΗΜΟΣ ΒΟΛΒΗΣ,87.41641,87.41641,87.21451,5.368311,0.006622385,0.006622385,0.0066293883,6.899195e-09
2019-01-26,ΔΗΜΟΣ ΒΟΛΒΗΣ,85.72417,85.72417,86.04326,10.658875,0.004739838,0.004739838,0.0047545903,2.4745606e-07
2019-01-27,ΔΗΜΟΣ ΒΟΛΒΗΣ,58.097977,58.097977,58.227615,2.268104,0.004204266,0.004204266,0.004175566,3.887469e-08
2019-01-28,ΔΗΜΟΣ ΒΟΛΒΗΣ,75.05171,75.05171,74.9001,0.22901839,0.006041128,0.006041128,0.0060446598,7.909495e-09
2019-01-29,ΔΗΜΟΣ ΒΟΛΒΗΣ,88.84868,88.84868,88.579636,1.8590341,0.006929081,0.006929081,0.006909322,3.6300037e-08
2019-01-30,ΔΗΜΟΣ ΒΟΛΒΗΣ,84.994675,84.994675,84.910446,1.7268568,0.0064459518,0.0064459518,0.006417565,2.3050887e-08
2019-01-31,ΔΗΜΟΣ ΒΟΛΒΗΣ,87.04515,87.04515,87.082504,3.327313,0.005648844,0.005648844,0.0056528077,2.566888e-09
2019-02-01,ΔΗΜΟΣ ΒΟΛΒΗΣ,56.325165,56.325165,56.684296,4.316636,0.005154399,0.005154399,0.0051378887,5.6225794e-08
2019-02-02,ΔΗΜΟΣ ΒΟΛΒΗΣ,71.89595,71.89595,71.41792,4.5512614,0.0069385655,0.0069385655,0.0068702884,4.496415e-08
2019-02-03,ΔΗΜΟΣ ΒΟΛΒΗΣ,82.84874,82.84874,82.63951,3.1047714,0.0081152655,0.0081152655,0.00817195,4.5797e-08
2019-02-04,ΔΗΜΟΣ ΒΟΛΒΗΣ,83.996506,83.996506,83.67668,2.7765167,0.00834075,0.00834075,0.0082919635,1.9639971e-08
2019-02-05,ΔΗΜΟΣ ΒΟΛΒΗΣ,61.966614,61.966614,61.10431,4.282957,0.006512489,0.006512489,0.0064917468,6.8067436e-09
2019-02-06,ΔΗΜΟΣ ΒΟΛΒΗΣ,71.26526,71.26526,71.161255,3.3593292,0.00515097,0.00515097,0.0051341765,8.868218e-09
2019-02-07,ΔΗΜΟΣ ΒΟΛΒΗΣ,67.50984,67.50984,67.818436,1.7089162,0.004404338,0.004404338,0.0044245142,1.1107533e-08
2019-02-08,ΔΗΜΟΣ ΒΟΛΒΗΣ,74.26468,74.26468,74.42288,3.578301,0.0044542467,0.0044542467,0.004456646,9.656736e-09
2019-02-09,ΔΗΜΟΣ ΒΟΛΒΗΣ,55.16646,55.16646,54.34346,7.6743755,0.0038616143,0.0038616143,0.0038197571,4.2128928e-08
2019-02-10,ΔΗΜΟΣ ΒΟΛΒΗΣ,62.774887,62.774887,62.22142,4.396573,0.005025862,0.005025862,0.005007712,2.9681269e-08
2019-02-11,ΔΗΜΟΣ ΒΟΛΒΗΣ,61.369476,61.369476,61.410248,0.57498616,0.005893439,0.005893439,0.00586161,1.29757325e-08
2019-02-12,ΔΗΜΟΣ ΒΟΛΒΗΣ,41.929764,41.929764,42.187332,1.664137,0.003101157,0.003101157,0.003098743,8.105832e-09
2019-02-13,ΔΗΜΟΣ ΒΟΛΒΗΣ,44.4337,44.4337,43.76085,20.161253,0.002658466,0.002658466,0.002650807,4.5378172e-08
2019-02-14,ΔΗΜΟΣ ΒΟΛΒΗΣ,44.919327,44.919327,44.852676,8.685609,0.0031475292,0.0031475292,0.0031516121,1.3067565e-08
2019-02-15,ΔΗΜΟΣ ΒΟΛΒΗΣ,56.708588,56.708588,56.07138,10.134606,0.0032765504,0.0032765504,0.0032426652,2.7822255e-08
2019-02-16,ΔΗΜΟΣ ΒΟΛΒΗΣ,46.83127,46.83127,46.348602,1.1220601,0.003363806,0.003363806,0.0033614815,7.118004e-10
2019-02-17,ΔΗΜΟΣ ΒΟΛΒΗΣ,49.092056,49.092056,49.43727,1.343988,0.003940696,0.003940696,0.0039398316,1.367576e-09
2019-02-18,ΔΗΜΟΣ ΒΟΛΒΗΣ,48.485474,48.485474,48.50403,1.4454861,0.0049381573,0.0049381573,0.0049453247,3.3790681e-09
2019-02-19,ΔΗΜΟΣ ΒΟΛΒΗΣ,57.932465,57.932465,58.041595,1.2619425,0.0056908764,0.0056908764,0.005667541,1.46321515e-08
2019-02-20,ΔΗΜΟΣ ΒΟΛΒΗΣ,51.821396,51.821396,50.693222,15.995731,0.0054878136,0.0054878136,0.0054537198,7.795296e-08
2019-02-21,ΔΗΜΟΣ ΒΟΛΒΗΣ,36.20938,36.20938,35.777985,13.142345,0.0037538968,0.0037538968,0.0036413632,8.76918e-08
2019-02-22,ΔΗΜΟΣ ΒΟΛΒΗΣ,55.827972,55.827972,56.0477,9.982984,0.0043231132,0.0043231132,0.0043244245,4.5630886e-09
2019-02-23,ΔΗΜΟΣ ΒΟΛΒΗΣ,63.16954,63.16954,62.91539,38.114574,0.0026219774,0.0026219774,0.002592473,4.6036895e-08
