Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,65.34083,65.34083,63.478195,15.965018,0.0041489103,0.0041489103,0.004040827,5.0411533e-08
2019-01-02,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,60.797405,60.797405,60.68347,0.23081738,0.004076644,0.004076644,0.004076048,8.6582e-11
2019-01-03,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,92.375916,92.375916,92.64024,12.778266,0.004478633,0.004478633,0.004398008,2.5268514e-08
2019-01-04,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,96.064476,96.064476,97.22853,7.5050206,0.004352854,0.004352854,0.004341569,7.3906237e-10
2019-01-05,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,76.6543,76.6543,77.32324,1.5836239,0.003472932,0.003472932,0.0034422951,2.741576e-08
2019-01-06,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,50.089,50.089,51.401825,3.957155,0.002902089,0.002902089,0.0029168709,9.562294e-10
2019-01-07,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,80.37554,80.37554,80.89279,6.61371,0.0034314182,0.0034314182,0.0034793406,8.83919e-09
2019-01-08,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,49.54416,49.54416,49.411346,1.9337158,0.002155249,0.002155249,0.0021940714,5.6104468e-09
2019-01-09,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,77.34902,77.34902,78.8474,5.4918265,0.005133566,0.005133566,0.005016781,3.0365396e-08
2019-01-10,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,68.30877,68.30877,68.00473,3.4948585,0.0063702962,0.0063702962,0.0065192683,4.571236e-08
2019-01-11,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,68.293144,68.293144,66.610855,26.97879,0.005059965,0.005059965,0.004860766,1.7820423e-07
2019-01-12,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,76.87543,76.87543,77.3764,16.510155,0.0045681563,0.0045681563,0.0046148067,5.7569154e-09
2019-01-13,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,60.848103,60.848103,59.98059,2.5983698,0.0035380302,0.0035380302,0.003580747,5.5744853e-09
2019-01-14,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,63.326313,63.326313,62.639465,18.720419,0.004284344,0.004284344,0.0041673603,5.691601e-08
2019-01-15,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,41.286762,41.286762,40.398743,11.418063,0.0023910634,0.0023910634,0.0023616583,3.6382986e-08
2019-01-16,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,40.942066,40.942066,42.022797,2.4824255,0.0030779925,0.0030779925,0.0031133182,9.54714e-09
2019-01-17,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,52.249634,52.249634,51.870728,1.7776184,0.004268437,0.004268437,0.004157195,2.7312273e-08
2019-01-18,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,64.98846,64.98846,65.73715,3.7794425,0.0056879073,0.0056879073,0.005676781,3.680207e-09
2019-01-19,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,73.40758,73.40758,74.46715,2.7573528,0.006234692,0.006234692,0.006242957,3.5363177e-09
2019-01-20,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,71.56498,71.56498,71.97449,0.43577597,0.0065419427,0.0065419427,0.0064900666,5.6142735e-09
2019-01-21,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,83.22901,83.22901,82.84978,1.0868926,0.0067629465,0.0067629465,0.0068349093,1.8711246e-08
2019-01-22,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,73.88439,73.88439,73.44917,1.6548705,0.0067833797,0.0067833797,0.00683913,1.3279479e-08
2019-01-23,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,73.630875,73.630875,72.355484,10.105487,0.007220579,0.007220579,0.0073094293,5.310999e-08
2019-01-24,ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ,56.738598,56.738598,56.660797,1.4981476,0.005385682,0.005385682,0.0053670453,7.261967e-10
