Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΔΕΛΤΑ,47.742844,47.742844,48.936203,4.286196,0.0030401445,0.0030401445,0.0030164616,4.160951e-09
2019-01-02,ΔΗΜΟΣ ΔΕΛΤΑ,51.05847,51.05847,51.045776,0.7191715,0.003092452,0.003092452,0.003137513,9.051405e-09
2019-01-03,ΔΗΜΟΣ ΔΕΛΤΑ,77.93614,77.93614,78.05626,6.7123427,0.0035810268,0.0035810268,0.0035836892,3.0978369e-09
2019-01-04,ΔΗΜΟΣ ΔΕΛΤΑ,84.16929,84.16929,84.27638,2.0576684,0.00301171,0.00301171,0.0029989148,6.024496e-09
2019-01-05,ΔΗΜΟΣ ΔΕΛΤΑ,59.82487,59.82487,61.79785,10.060671,0.00223244,0.00223244,0.0022041874,5.3445413e-09
2019-01-06,ΔΗΜΟΣ ΔΕΛΤΑ,47.418102,47.418102,47.501434,13.768432,0.0023050888,0.0023050888,0.0023239239,1.4395406e-09
2019-01-07,ΔΗΜΟΣ ΔΕΛΤΑ,44.632374,44.632374,45.346893,3.5966606,0.0016899296,0.0016899296,0.0016783266,2.1423274e-09
2019-01-08,ΔΗΜΟΣ ΔΕΛΤΑ,43.555553,43.555553,45.18283,5.3855615,0.0015479373,0.0015479373,0.0015360957,1.2809341e-09
2019-01-09,ΔΗΜΟΣ ΔΕΛΤΑ,88.663795,88.663795,88.921616,2.1810634,0.0031498044,0.0031498044,0.0031894217,2.2115257e-08
2019-01-10,ΔΗΜΟΣ ΔΕΛΤΑ,83.48455,83.48455,84.82016,21.930784,0.004767448,0.004767448,0.004674862,4.2485453e-08
2019-01-11,ΔΗΜΟΣ ΔΕΛΤΑ,55.05519,55.05519,54.17726,9.214371,0.002980359,0.002980359,0.0029658154,1.4737888e-09
2019-01-12,ΔΗΜΟΣ ΔΕΛΤΑ,56.121197,56.121197,55.333435,4.7347245,0.002527452,0.002527452,0.0025236374,1.0704847e-09
2019-01-13,ΔΗΜΟΣ ΔΕΛΤΑ,51.06653,51.06653,51.305786,4.5457897,0.002567468,0.002567468,0.0025683024,9.553768e-10
2019-01-14,ΔΗΜΟΣ ΔΕΛΤΑ,57.77293,57.77293,57.215637,6.368078,0.003086688,0.003086688,0.003109616,6.5325056e-09
2019-01-15,ΔΗΜΟΣ ΔΕΛΤΑ,38.824524,38.824524,38.551086,3.5544739,0.0018196931,0.0018196931,0.0018336803,1.0141465e-09
