Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,44.855637,44.855637,45.100266,0.2782886,0.0027044015,0.0027044015,0.002710213,1.350339e-08
2019-01-02,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,58.03479,58.03479,58.245483,1.6448838,0.0030958494,0.0030958494,0.0031115254,4.8956217e-09
2019-01-03,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,80.88878,80.88878,81.42589,63.584415,0.0037912624,0.0037912624,0.0038323002,8.3928974e-08
2019-01-04,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,71.105484,71.105484,70.20949,37.356857,0.0029106105,0.0029106105,0.0029294158,6.783399e-08
2019-01-05,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,72.596924,72.596924,72.703125,0.6151353,0.0027118402,0.0027118402,0.0026888328,3.9230805e-09
2019-01-06,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,51.3757,51.3757,51.489716,0.44475907,0.0023562296,0.0023562296,0.002364753,4.8955897e-09
2019-01-07,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,54.714813,54.714813,54.801483,8.0744295,0.0022156923,0.0022156923,0.0021831184,9.1961665e-09
2019-01-08,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,46.24362,46.24362,46.07785,0.3104884,0.0015859252,0.0015859252,0.0015794581,1.3809132e-09
2019-01-09,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,91.218,91.218,90.94798,2.7996378,0.0032166014,0.0032166014,0.0032024155,2.1378916e-08
2019-01-10,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,92.90341,92.90341,93.443695,1.9069325,0.005758832,0.005758832,0.0057360036,6.102075e-08
2019-01-11,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,59.81642,59.81642,59.915543,2.2937913,0.003490515,0.003490515,0.0034818128,4.927333e-09
2019-01-12,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,58.152283,58.152283,58.47406,2.2606153,0.0031830138,0.0031830138,0.0031889444,1.846511e-08
2019-01-13,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,64.492065,64.492065,64.164185,48.785614,0.0030958334,0.0030958334,0.0030855516,5.665164e-08
2019-01-14,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,61.90387,61.90387,61.82794,4.4798374,0.003081274,0.003081274,0.0030792176,1.8539295e-09
2019-01-15,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,30.128723,30.128723,29.255188,5.123835,0.0014462501,0.0014462501,0.0014237196,2.1719636e-08
2019-01-16,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,47.629486,47.629486,47.341644,12.517397,0.0027097352,0.0027097352,0.002700854,7.926712e-09
2019-01-17,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,55.12561,55.12561,54.613403,19.396606,0.003678927,0.003678927,0.003661284,2.3660576e-08
2019-01-18,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,63.485687,63.485687,63.88559,1.0573528,0.004008566,0.004008566,0.004022454,2.014012e-08
2019-01-19,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,70.54088,70.54088,70.181015,2.0849097,0.0052028857,0.0052028857,0.0051992796,5.4330066e-08
2019-01-20,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,91.23645,91.23645,91.51453,1.798628,0.006477192,0.006477192,0.0064543933,5.816156e-08
2019-01-21,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,76.88811,76.88811,76.10759,11.017847,0.005720064,0.005720064,0.005752489,3.5775443e-08
2019-01-22,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,85.948685,85.948685,86.093216,8.606773,0.005259935,0.005259935,0.0052655675,4.6293174e-08
2019-01-23,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,92.63844,92.63844,92.307144,2.1794462,0.007103108,0.007103108,0.0071245357,8.3245666e-08
2019-01-24,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,70.50699,70.50699,69.436676,24.281723,0.005722259,0.005722259,0.0057309316,1.5671995e-08
2019-01-25,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,94.164215,94.164215,94.40201,10.098972,0.006694298,0.006694298,0.006671171,2.3595483e-08
2019-01-26,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,87.283005,87.283005,87.49785,3.5693455,0.0055730813,0.0055730813,0.0055986517,6.796237e-08
2019-01-27,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,64.618484,64.618484,64.16316,18.990253,0.004594408,0.004594408,0.004605137,3.966622e-08
2019-01-28,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,81.58931,81.58931,81.6418,21.850986,0.0061131604,0.0061131604,0.0060997047,1.0974331e-08
2019-01-29,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,85.85454,85.85454,85.82915,2.9233942,0.006613817,0.006613817,0.0065904073,1.2732366e-07
2019-01-30,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,87.298874,87.298874,86.56474,3.7654483,0.006312333,0.006312333,0.0062999353,3.2040596e-08
2019-01-31,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,87.4077,87.4077,87.087875,8.049069,0.0054340884,0.0054340884,0.005421184,1.1733919e-08
2019-02-01,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,54.440155,54.440155,54.27951,1.8226266,0.0047073644,0.0047073644,0.004728107,6.456611e-08
2019-02-02,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,77.071976,77.071976,77.55171,14.861899,0.0067173727,0.0067173727,0.0066980906,9.370133e-08
2019-02-03,ΔΗΜΟΣ ΑΜΦΙΠΟΛΗΣ,90.268906,90.268906,90.49742,11.302611,0.008330915,0.008330915,0.00831357,3.5874145e-08
