Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,57.279953,57.279953,57.372726,2.740427,0.0032022295,0.0032022295,0.0031120675,1.790096e-08
2019-01-02,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,59.03829,59.03829,59.05359,1.241805,0.0033637723,0.0033637723,0.003390952,3.1524603e-09
2019-01-03,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,92.53152,92.53152,93.009384,0.46610597,0.0037600396,0.0037600396,0.0037712054,8.212323e-09
2019-01-04,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,89.425476,89.425476,88.21388,3.9326284,0.0030539895,0.0030539895,0.003123727,1.5037273e-08
2019-01-05,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,62.49837,62.49837,63.02832,11.923402,0.0023655968,0.0023655968,0.002338298,7.9699305e-09
2019-01-06,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,43.75176,43.75176,42.15085,16.790567,0.002317725,0.002317725,0.002278982,1.1913708e-08
2019-01-07,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,59.65386,59.65386,60.835175,6.5598817,0.0023110497,0.0023110497,0.0023406534,2.43851e-09
2019-01-08,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,42.106335,42.106335,41.52658,1.5899978,0.0015282877,0.0015282877,0.0015434271,1.2817978e-09
2019-01-09,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,95.439514,95.439514,95.561264,1.5368509,0.0037061144,0.0037061144,0.0037047635,2.9825487e-09
2019-01-10,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,85.69451,85.69451,88.344574,26.563932,0.0055826805,0.0055826805,0.005616377,4.5951207e-09
2019-01-11,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,70.72316,70.72316,71.65871,2.1392944,0.0044205263,0.0044205263,0.004325159,2.3677567e-08
2019-01-12,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,71.53265,71.53265,71.74359,13.92957,0.003371732,0.003371732,0.00331173,5.411975e-08
2019-01-13,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,52.035603,52.035603,51.558716,0.8422993,0.002637563,0.002637563,0.0026333907,6.9262662e-09
2019-01-14,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,64.98582,64.98582,65.42755,0.5983418,0.0034036655,0.0034036655,0.0033159673,2.5147571e-08
2019-01-15,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,30.76658,30.76658,30.361633,0.4848336,0.0014283689,0.0014283689,0.0014038116,3.6894316e-09
2019-01-16,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,42.014984,42.014984,43.21225,6.35894,0.0027671743,0.0027671743,0.0027296431,1.0430914e-08
2019-01-17,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,50.933228,50.933228,49.72229,4.122849,0.003684649,0.003684649,0.0037082525,1.2247663e-08
2019-01-18,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,67.5324,67.5324,68.82016,16.927835,0.005132193,0.005132193,0.005160843,3.9298733e-09
2019-01-19,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,72.232124,72.232124,73.96617,14.255337,0.0055913194,0.0055913194,0.005626645,3.200496e-09
2019-01-20,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,64.97579,64.97579,65.90027,1.803064,0.0053390614,0.0053390614,0.005257085,2.9750188e-08
2019-01-21,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,69.15772,69.15772,69.254074,20.278873,0.0053829798,0.0053829798,0.0053273886,2.1094898e-08
2019-01-22,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,80.0439,80.0439,81.065384,5.2358727,0.006142868,0.006142868,0.0061226822,2.7971218e-08
2019-01-23,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,85.58563,85.58563,86.15529,3.0332143,0.0066612884,0.0066612884,0.006767027,5.080018e-08
2019-01-24,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,58.096996,58.096996,59.138336,2.7881114,0.004830564,0.004830564,0.004804735,1.6740996e-08
2019-01-25,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,89.78189,89.78189,89.644196,3.7067688,0.0063795852,0.0063795852,0.006438236,1.29346445e-08
2019-01-26,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,76.97262,76.97262,76.90263,21.143835,0.004480409,0.004480409,0.004403996,4.7059558e-08
2019-01-27,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,56.211502,56.211502,56.889236,8.28732,0.004278742,0.004278742,0.0043003187,7.182763e-09
2019-01-28,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,62.87048,62.87048,65.37959,15.857026,0.005448345,0.005448345,0.005419437,1.927989e-09
2019-01-29,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,87.37667,87.37667,87.67778,1.262267,0.006305577,0.006305577,0.006327849,2.8676274e-08
2019-01-30,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,75.31605,75.31605,78.950485,39.04832,0.0057429895,0.0057429895,0.0057469234,2.080146e-08
2019-01-31,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,53.534817,53.534817,53.06639,1.7751708,0.0037569627,0.0037569627,0.0036718473,4.1139923e-08
2019-02-01,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,55.589245,55.589245,56.8591,10.94576,0.0050601843,0.0050601843,0.0050446074,2.843131e-09
2019-02-02,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,62.803177,62.803177,64.05415,7.39296,0.006235996,0.006235996,0.006229002,3.6077223e-09
2019-02-03,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,70.71666,70.71666,68.845566,17.009413,0.0068173944,0.0068173944,0.006951902,9.0684324e-08
2019-02-04,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,78.874596,78.874596,77.44524,14.594879,0.00727185,0.00727185,0.0073123015,3.264943e-08
2019-02-05,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,69.20229,69.20229,67.99884,5.8142686,0.006300138,0.006300138,0.0063937567,3.8763293e-08
2019-02-06,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,86.672325,86.672325,86.03821,3.010196,0.0057291104,0.0057291104,0.005758237,2.3376538e-08
2019-02-07,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,84.18172,84.18172,84.114334,18.710308,0.0049853143,0.0049853143,0.004926266,1.5890581e-08
2019-02-08,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,71.69697,71.69697,72.53909,10.196689,0.004658994,0.004658994,0.0046509868,3.4398184e-09
2019-02-09,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,61.880733,61.880733,61.83809,2.256395,0.004397684,0.004397684,0.0044196183,1.9517852e-09
2019-02-10,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,54.5585,54.5585,53.922104,1.8597364,0.0048427265,0.0048427265,0.004857151,1.4530474e-08
2019-02-11,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,56.340424,56.340424,57.0123,1.3184414,0.0055688717,0.0055688717,0.005485028,1.5612125e-08
2019-02-12,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,65.76188,65.76188,65.948074,0.76717466,0.0046559344,0.0046559344,0.0045988727,8.201946e-08
2019-02-13,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,42.65375,42.65375,42.298935,1.213095,0.0022575355,0.0022575355,0.0022400117,8.694741e-09
2019-02-14,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,40.62335,40.62335,41.333633,6.073911,0.0028866099,0.0028866099,0.0028481053,4.531396e-09
2019-02-15,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,64.02679,64.02679,61.566498,17.365316,0.0035373904,0.0035373904,0.0035532054,2.015399e-08
2019-02-16,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,48.901337,48.901337,48.32907,2.20769,0.0031484347,0.0031484347,0.0031203807,3.0950513e-09
