Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,46.441673,46.441673,47.278,6.5861435,0.0027517932,0.0027517932,0.0028291838,3.6365837e-08
2019-01-02,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,52.646557,52.646557,53.046753,1.1180468,0.0028018674,0.0028018674,0.002789422,1.8634103e-09
2019-01-03,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,78.86388,78.86388,79.67442,21.07368,0.0034089044,0.0034089044,0.0034067826,3.0646923e-08
2019-01-04,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,77.76642,77.76642,77.278336,19.458744,0.0029131079,0.0029131079,0.0029264356,1.5806696e-08
2019-01-05,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,63.58965,63.58965,64.5918,13.150311,0.0022925215,0.0022925215,0.002291687,1.6352221e-08
2019-01-06,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,47.64499,47.64499,47.4487,8.576873,0.0020319563,0.0020319563,0.0020063503,1.2233519e-08
2019-01-07,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,49.874237,49.874237,49.585175,1.7067082,0.0017716438,0.0017716438,0.0017971783,6.237669e-09
2019-01-08,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,49.240448,49.240448,49.44748,0.31713372,0.0015398746,0.0015398746,0.0015505201,1.1983327e-09
2019-01-09,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,88.839005,88.839005,88.24974,2.3870726,0.002942587,0.002942587,0.00295601,7.8568174e-10
2019-01-10,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,86.05981,86.05981,85.301605,6.3700647,0.004588102,0.004588102,0.0047069294,4.0311768e-08
2019-01-11,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,61.665733,61.665733,62.071793,1.9013971,0.0029912307,0.0029912307,0.00300432,1.668424e-08
2019-01-12,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,55.822105,55.822105,55.171326,21.297117,0.0024863963,0.0024863963,0.002457357,5.09875e-09
2019-01-13,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,56.765553,56.765553,56.661255,0.8828329,0.002568827,0.002568827,0.0025684217,1.1902215e-10
2019-01-14,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,68.23204,68.23204,68.46173,1.0567099,0.0030968846,0.0030968846,0.00309543,1.974504e-09
2019-01-15,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,38.10968,38.10968,39.05304,18.408823,0.0015785724,0.0015785724,0.0016112358,3.2035945e-08
2019-01-16,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,47.52143,47.52143,47.4144,2.6258295,0.0026460416,0.0026460416,0.0026228912,2.8167626e-09
2019-01-17,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,49.742603,49.742603,49.608032,2.5126371,0.0031955093,0.0031955093,0.0032071562,6.4143784e-09
2019-01-18,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,60.576607,60.576607,59.046722,11.002157,0.0035616744,0.0035616744,0.003526603,1.9085453e-08
2019-01-19,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,61.945667,61.945667,61.640976,1.0755787,0.004313602,0.004313602,0.0043419264,2.5177687e-08
2019-01-20,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,89.421364,89.421364,89.52429,1.0215838,0.0060514,0.0060514,0.0060439855,3.3046085e-08
2019-01-21,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,70.55544,70.55544,69.85271,2.3088248,0.005018994,0.005018994,0.0049713105,2.2159913e-08
2019-01-22,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,85.51636,85.51636,84.999954,4.6521273,0.0050822953,0.0050822953,0.005069826,2.0327482e-08
2019-01-23,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,92.897865,92.897865,91.696304,2.9009862,0.0064378427,0.0064378427,0.006355278,4.0369184e-08
2019-01-24,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,72.5856,72.5856,71.92056,2.249951,0.0054820343,0.0054820343,0.005415325,2.52484e-08
2019-01-25,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,91.243416,91.243416,90.18521,5.5889177,0.006089478,0.006089478,0.006022196,2.8056373e-08
2019-01-26,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,77.58486,77.58486,78.84502,15.585655,0.0040904754,0.0040904754,0.0038742297,3.785047e-07
2019-01-27,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,61.06736,61.06736,59.656815,11.514509,0.0038618192,0.0038618192,0.0037725791,7.109545e-08
2019-01-28,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,82.59248,82.59248,83.677444,10.435979,0.005674485,0.005674485,0.0056750216,2.3449147e-09
2019-01-29,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,88.92153,88.92153,90.27739,11.590297,0.0062763384,0.0062763384,0.006370466,1.0586746e-07
2019-01-30,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,80.85166,80.85166,80.919235,7.664121,0.0057880743,0.0057880743,0.005692385,3.4453002e-08
2019-01-31,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,89.58983,89.58983,88.971664,2.5574028,0.005291854,0.005291854,0.0052786693,1.6337598e-08
2019-02-01,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,55.00871,55.00871,55.639374,6.5246515,0.0042821686,0.0042821686,0.0042871516,7.233733e-08
2019-02-02,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,68.54048,68.54048,67.68111,2.7220159,0.006051714,0.006051714,0.006062705,5.0590074e-08
2019-02-03,ΔΗΜΟΣ ΣΙΝΤΙΚΗΣ,74.83541,74.83541,74.90709,4.409171,0.007191751,0.007191751,0.007082913,4.945552e-08
