Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,72.84636,72.84636,72.84636,0.0,0.0045868056,0.0045868056,0.0045868056,0.0
2019-01-02,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,60.63269,60.63269,60.63269,0.0,0.004098817,0.004098817,0.004098817,0.0
2019-01-03,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,92.335556,92.335556,92.335556,0.0,0.004530688,0.004530688,0.004530688,0.0
2019-01-04,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,94.159195,94.159195,94.159195,0.0,0.004436221,0.004436221,0.004436221,0.0
2019-01-05,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,76.79199,76.79199,76.79199,0.0,0.003592022,0.003592022,0.003592022,0.0
2019-01-06,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,49.044403,49.044403,49.044403,0.0,0.0029410704,0.0029410704,0.0029410704,0.0
2019-01-07,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,88.900604,88.900604,88.900604,0.0,0.0036848574,0.0036848574,0.0036848574,0.0
2019-01-08,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,50.24533,50.24533,50.24533,0.0,0.0022840744,0.0022840744,0.0022840744,0.0
2019-01-09,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,76.268295,76.268295,76.268295,0.0,0.0054049264,0.0054049264,0.0054049264,0.0
2019-01-10,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,65.26938,65.26938,65.26938,0.0,0.006177257,0.006177257,0.006177257,0.0
2019-01-11,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,71.563,71.563,71.563,0.0,0.005471833,0.005471833,0.005471833,0.0
2019-01-12,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,75.29828,75.29828,75.29828,0.0,0.0048424965,0.0048424965,0.0048424965,0.0
2019-01-13,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,63.04895,63.04895,63.04895,0.0,0.0037965158,0.0037965158,0.0037965158,0.0
2019-01-14,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,66.76544,66.76544,66.76544,0.0,0.004775089,0.004775089,0.004775089,0.0
2019-01-15,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,43.53546,43.53546,43.53546,0.0,0.0025137693,0.0025137693,0.0025137693,0.0
2019-01-16,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,39.404633,39.404633,39.404633,0.0,0.0030158646,0.0030158646,0.0030158646,0.0
2019-01-17,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,54.40393,54.40393,54.40393,0.0,0.004537532,0.004537532,0.004537532,0.0
2019-01-18,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,63.85434,63.85434,63.85434,0.0,0.0057214843,0.0057214843,0.0057214843,0.0
2019-01-19,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,71.57164,71.57164,71.57164,0.0,0.0061818026,0.0061818026,0.0061818026,0.0
2019-01-20,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,73.42761,73.42761,73.42761,0.0,0.0066768676,0.0066768676,0.0066768676,0.0
2019-01-21,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,86.03728,86.03728,86.03728,0.0,0.0070809573,0.0070809573,0.0070809573,0.0
2019-01-22,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,70.6396,70.6396,70.6396,0.0,0.006716702,0.006716702,0.006716702,0.0
2019-01-23,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,64.84865,64.84865,64.84865,0.0,0.0067232773,0.0067232773,0.0067232773,0.0
