Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,48.061855,48.061855,47.518234,0.99591154,0.0030978816,0.0030978816,0.0030879872,4.8079113e-10
2019-01-02,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,52.23686,52.23686,52.000854,1.1703124,0.003252391,0.003252391,0.0032887897,6.893613e-09
2019-01-03,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,78.38634,78.38634,78.05626,5.7650833,0.0038569963,0.0038569963,0.0038436847,3.1143205e-08
2019-01-04,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,89.7038,89.7038,91.49318,7.3592973,0.0034186111,0.0034186111,0.0034892226,5.137562e-08
2019-01-05,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,64.78744,64.78744,62.728516,10.23846,0.0025491791,0.0025491791,0.0025432187,3.2127485e-08
2019-01-06,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,46.42201,46.42201,47.501434,5.121807,0.0023802703,0.0023802703,0.0023297651,5.714283e-09
2019-01-07,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,47.718964,47.718964,46.90451,5.4813275,0.0019374479,0.0019374479,0.0019285469,2.4201944e-08
2019-01-08,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,46.78244,46.78244,46.08615,2.7010593,0.001713817,0.001713817,0.0017464405,7.33684e-09
2019-01-09,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,86.82363,86.82363,85.99974,2.234543,0.0038589009,0.0038589009,0.0041053067,1.5181313e-07
2019-01-10,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,82.06007,82.06007,83.39145,8.710271,0.0056524575,0.0056524575,0.0057202084,2.1546539e-07
2019-01-11,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,53.57049,53.57049,54.17726,1.5152935,0.0031891738,0.0031891738,0.0031944588,1.5742843e-08
2019-01-12,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,55.744892,55.744892,55.333435,1.5458409,0.0028052097,0.0028052097,0.0028043753,3.723569e-08
2019-01-13,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,51.403442,51.403442,51.305786,0.2603251,0.0026838162,0.0026838162,0.002710996,3.2144196e-09
2019-01-14,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,58.79051,58.79051,58.58966,1.8912407,0.003416103,0.003416103,0.0035508096,4.719625e-08
2019-01-15,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,38.62856,38.62856,38.551086,2.2381754,0.0019259881,0.0019259881,0.0019118816,6.6812276e-09
2019-01-16,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,40.53061,40.53061,39.807953,4.1556835,0.0027055629,0.0027055629,0.0027066357,1.0645453e-08
2019-01-17,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,48.53023,48.53023,49.555298,12.278271,0.0035371075,0.0035371075,0.0036112757,4.3178655e-08
2019-01-18,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,64.26026,64.26026,65.19418,11.489017,0.004419441,0.004419441,0.0046149837,9.794462e-08
2019-01-19,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,66.996445,66.996445,67.00719,14.927521,0.0051157936,0.0051157936,0.0050608777,1.2388072e-07
2019-01-20,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,85.66329,85.66329,85.69324,0.04993841,0.0067652813,0.0067652813,0.0067581683,2.5673719e-09
2019-01-21,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,72.827644,72.827644,72.43083,0.65918624,0.005657837,0.005657837,0.005612299,1.6998522e-08
2019-01-22,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,87.22229,87.22229,87.52437,2.9982185,0.006963982,0.006963982,0.0071708895,1.2561047e-07
2019-01-23,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,86.49221,86.49221,85.571304,4.2543454,0.0076275594,0.0076275594,0.0077240393,3.5554624e-08
2019-01-24,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,65.69693,65.69693,66.90494,5.602658,0.005856519,0.005856519,0.0059340047,3.1949593e-08
2019-01-25,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,80.51757,80.51757,79.694,2.0932066,0.0067810025,0.0067810025,0.0067478227,8.735625e-09
2019-01-26,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,71.59371,71.59371,72.578415,2.5850031,0.0038310762,0.0038310762,0.0039287084,2.9277613e-08
2019-01-27,ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ,52.344967,52.344967,52.267166,0.013200335,0.0037829503,0.0037829503,0.0037932023,1.6841947e-09
