Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΘΕΡΜΗΣ,49.212894,49.212894,49.461594,2.3942473,0.0031346378,0.0031346378,0.00312828,1.6755292e-09
2019-01-02,ΔΗΜΟΣ ΘΕΡΜΗΣ,53.586468,53.586468,53.66394,4.176181,0.0032093963,0.0032093963,0.003201886,3.8423025e-09
2019-01-03,ΔΗΜΟΣ ΘΕΡΜΗΣ,81.99962,81.99962,81.478134,11.918953,0.0038786924,0.0038786924,0.003908773,3.1507025e-08
2019-01-04,ΔΗΜΟΣ ΘΕΡΜΗΣ,88.73049,88.73049,88.57326,5.770704,0.0033579732,0.0033579732,0.0033073092,5.0166033e-08
2019-01-05,ΔΗΜΟΣ ΘΕΡΜΗΣ,67.39486,67.39486,69.30664,13.098815,0.0025605836,0.0025605836,0.0025774317,3.2251652e-08
2019-01-06,ΔΗΜΟΣ ΘΕΡΜΗΣ,49.53659,49.53659,48.49167,4.906868,0.002427954,0.002427954,0.0024728163,5.4452234e-09
2019-01-07,ΔΗΜΟΣ ΘΕΡΜΗΣ,49.154835,49.154835,50.905487,7.265885,0.0019522696,0.0019522696,0.001973012,2.4377451e-08
2019-01-08,ΔΗΜΟΣ ΘΕΡΜΗΣ,47.700733,47.700733,48.841034,3.1087916,0.0016888824,0.0016888824,0.0016716367,6.953396e-09
2019-01-09,ΔΗΜΟΣ ΘΕΡΜΗΣ,88.606834,88.606834,88.921616,5.655832,0.0036142834,0.0036142834,0.0033714543,1.5093828e-07
2019-01-10,ΔΗΜΟΣ ΘΕΡΜΗΣ,87.12257,87.12257,84.82016,18.541937,0.0055970647,0.0055970647,0.0055540306,2.140963e-07
2019-01-11,ΔΗΜΟΣ ΘΕΡΜΗΣ,56.006363,56.006363,54.68019,5.0200315,0.0032054659,0.0032054659,0.0032433346,1.6445902e-08
2019-01-12,ΔΗΜΟΣ ΘΕΡΜΗΣ,56.885193,56.885193,57.43109,1.2392368,0.0028022295,0.0028022295,0.0027954346,3.7258427e-08
2019-01-13,ΔΗΜΟΣ ΘΕΡΜΗΣ,52.532673,52.532673,52.07141,1.5226239,0.0026681202,0.0026681202,0.0026639083,2.8539215e-09
2019-01-14,ΔΗΜΟΣ ΘΕΡΜΗΣ,59.609516,59.609516,60.566223,2.903806,0.0032971718,0.0032971718,0.0031940162,4.3443887e-08
2019-01-15,ΔΗΜΟΣ ΘΕΡΜΗΣ,40.3076,40.3076,40.498352,1.8577685,0.0019369554,0.0019369554,0.0019447834,6.6123707e-09
2019-01-16,ΔΗΜΟΣ ΘΕΡΜΗΣ,42.49708,42.49708,43.30893,3.8048937,0.0027118016,0.0027118016,0.0027253516,1.0736681e-08
2019-01-17,ΔΗΜΟΣ ΘΕΡΜΗΣ,46.586224,46.586224,46.3844,5.5046096,0.0034030566,0.0034030566,0.0033441277,2.3038394e-08
2019-01-18,ΔΗΜΟΣ ΘΕΡΜΗΣ,64.293465,64.293465,65.29379,11.553239,0.0042680847,0.0042680847,0.0041609155,8.456871e-08
2019-01-19,ΔΗΜΟΣ ΘΕΡΜΗΣ,67.85289,67.85289,69.57652,16.412918,0.0051879548,0.0051879548,0.0052773617,1.2636966e-07
2019-01-20,ΔΗΜΟΣ ΘΕΡΜΗΣ,87.01615,87.01615,85.92078,2.9327028,0.0068101236,0.0068101236,0.006830588,5.951168e-09
