Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,49.461594,49.461594,49.461594,0.0,0.00312828,0.00312828,0.00312828,0.0
2019-01-02,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,51.045776,51.045776,51.045776,0.0,0.003137513,0.003137513,0.003137513,0.0
2019-01-03,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,78.05626,78.05626,78.05626,0.0,0.0036478238,0.0036478238,0.0036478238,0.0
2019-01-04,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,85.87013,85.87013,85.87013,0.0,0.0031125213,0.0031125213,0.0031125213,0.0
2019-01-05,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,62.32715,62.32715,62.32715,0.0,0.002332695,0.002332695,0.002332695,0.0
2019-01-06,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,47.501434,47.501434,47.501434,0.0,0.0023239239,0.0023239239,0.0023239239,0.0
2019-01-07,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,45.346893,45.346893,45.346893,0.0,0.0017515211,0.0017515211,0.0017515211,0.0
2019-01-08,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,45.210175,45.210175,45.210175,0.0,0.0015964753,0.0015964753,0.0015964753,0.0
2019-01-09,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,88.921616,88.921616,88.921616,0.0,0.0033088694,0.0033088694,0.0033088694,0.0
2019-01-10,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,84.82016,84.82016,84.82016,0.0,0.005053113,0.005053113,0.005053113,0.0
2019-01-11,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,54.17726,54.17726,54.17726,0.0,0.0030329302,0.0030329302,0.0030329302,0.0
2019-01-12,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,55.333435,55.333435,55.333435,0.0,0.0025692945,0.0025692945,0.0025692945,0.0
2019-01-13,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,51.305786,51.305786,51.305786,0.0,0.0026048997,0.0026048997,0.0026048997,0.0
2019-01-14,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,57.215637,57.215637,57.215637,0.0,0.003109616,0.003109616,0.003109616,0.0
