Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,80.0612,80.0612,81.284836,29.761452,0.0036515193,0.0036515193,0.0036122696,1.6542218e-08
2019-01-02,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,56.545288,56.545288,56.48181,4.4177303,0.0030919155,0.0030919155,0.0031431755,2.1546374e-08
2019-01-03,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,91.99718,91.99718,91.70079,3.6548085,0.0035147564,0.0035147564,0.003524323,1.5998554e-08
2019-01-04,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,91.30568,91.30568,91.22853,3.3527546,0.002807733,0.002807733,0.0028327967,2.5266553e-08
2019-01-05,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,64.90576,64.90576,66.11963,14.889317,0.002151497,0.002151497,0.0021562057,4.7755364e-09
2019-01-06,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,44.511932,44.511932,44.426727,19.49424,0.002121268,0.002121268,0.0021033867,1.5806592e-09
2019-01-07,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,57.964813,57.964813,57.834198,9.224892,0.002133438,0.002133438,0.002152124,1.1287662e-08
2019-01-08,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,43.186005,43.186005,42.8049,11.508125,0.0015600866,0.0015600866,0.0015919155,9.499928e-09
2019-01-09,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,96.85326,96.85326,96.37962,4.432065,0.0038708518,0.0038708518,0.0038317214,2.8684271e-08
2019-01-10,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,85.503265,85.503265,84.2103,18.101196,0.0049404902,0.0049404902,0.0050138934,5.0283827e-08
2019-01-11,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,75.32863,75.32863,74.926285,3.0290012,0.0043472126,0.0043472126,0.0043382123,3.6635406e-08
2019-01-12,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,80.15204,80.15204,81.12396,35.34528,0.003353781,0.003353781,0.0033588177,1.4558234e-08
2019-01-13,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,59.097534,59.097534,58.73108,21.983055,0.002843974,0.002843974,0.0028120258,2.9246696e-08
2019-01-14,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,77.729065,77.729065,78.13751,35.331406,0.0039235177,0.0039235177,0.0039533796,2.1762652e-08
2019-01-15,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,35.503723,35.503723,35.295227,2.3043716,0.0014787943,0.0014787943,0.001486066,9.566797e-09
2019-01-16,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,49.327972,49.327972,49.447113,14.470206,0.0028792508,0.0028792508,0.0028634556,9.6146024e-09
2019-01-17,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,59.29358,59.29358,58.161255,41.39216,0.0038826857,0.0038826857,0.0039208923,2.9244953e-08
2019-01-18,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,72.78134,72.78134,71.861664,35.815475,0.0050132917,0.0050132917,0.005010997,8.049336e-09
2019-01-19,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,80.0919,80.0919,79.57262,17.738665,0.005647149,0.005647149,0.0056491755,1.1438878e-08
2019-01-20,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,69.53308,69.53308,68.91931,13.016704,0.005291149,0.005291149,0.005209282,2.5322445e-08
2019-01-21,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,72.8029,72.8029,73.2697,2.8646984,0.0053022355,0.0053022355,0.005286917,2.8016522e-08
2019-01-22,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,84.72676,84.72676,84.63765,9.518714,0.006011639,0.006011639,0.00600693,2.5260025e-08
2019-01-23,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,88.35011,88.35011,87.61037,9.313945,0.0061367974,0.0061367974,0.006111853,6.6447505e-08
2019-01-24,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,63.680573,63.680573,62.81656,19.224865,0.004725461,0.004725461,0.0046695517,1.7468885e-08
2019-01-25,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,89.52261,89.52261,89.19107,3.4881907,0.005711119,0.005711119,0.0056285667,5.3502703e-08
2019-01-26,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,73.29521,73.29521,72.99248,7.4671955,0.0043108338,0.0043108338,0.0043684714,7.268568e-08
2019-01-27,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,58.97029,58.97029,57.949295,10.99704,0.0044960007,0.0044960007,0.0045414194,2.976546e-08
2019-01-28,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,78.661575,78.661575,78.20381,65.67909,0.005807448,0.005807448,0.00580791,7.917469e-09
2019-01-29,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,95.05693,95.05693,95.95561,7.2734246,0.006068241,0.006068241,0.0060717575,9.416811e-08
2019-01-30,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,78.4041,78.4041,77.42119,29.488678,0.005241804,0.005241804,0.0051855072,1.1552119e-08
2019-01-31,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,73.031235,73.031235,72.499985,105.34999,0.00417953,0.00417953,0.0041455254,2.5311062e-08
2019-02-01,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,65.20407,65.20407,64.68674,55.023415,0.0051976424,0.0051976424,0.005191831,5.9250693e-09
2019-02-02,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,59.796097,59.796097,60.093704,2.6712103,0.0058223493,0.0058223493,0.005838234,6.714073e-08
2019-02-03,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,59.406845,59.406845,59.681015,23.301678,0.0062673427,0.0062673427,0.00624064,2.6519365e-07
2019-02-04,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,83.73552,83.73552,84.229904,3.9930384,0.0069085695,0.0069085695,0.0068991818,5.5725685e-08
2019-02-05,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,76.60455,76.60455,77.30792,7.4739327,0.006183382,0.006183382,0.006158974,4.1765396e-08
2019-02-06,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,94.16565,94.16565,94.51868,12.622202,0.005632218,0.005632218,0.0056841187,2.9748032e-08
2019-02-07,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,85.433426,85.433426,85.406815,4.4285164,0.0047746617,0.0047746617,0.0047643203,5.2618045e-08
2019-02-08,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,71.79227,71.79227,71.9512,0.16663331,0.004465497,0.004465497,0.0044678813,2.0086492e-08
2019-02-09,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,63.448685,63.448685,63.62471,2.2806132,0.0043597603,0.0043597603,0.004382842,3.133135e-08
2019-02-10,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,56.656967,56.656967,54.618393,22.345577,0.0048367213,0.0048367213,0.00492364,4.1949168e-08
2019-02-11,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,71.83945,71.83945,70.91611,67.981026,0.005905837,0.005905837,0.005884081,4.9895377e-09
2019-02-12,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,70.44881,70.44881,69.476395,6.4305325,0.0047812928,0.0047812928,0.004718261,1.325739e-07
2019-02-13,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,56.551376,56.551376,57.228622,41.41217,0.0025581813,0.0025581813,0.0025519228,1.76153e-08
2019-02-14,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,48.855606,48.855606,49.639297,11.153576,0.0030462013,0.0030462013,0.0030557083,2.1094406e-09
2019-02-15,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,66.12851,66.12851,67.31259,24.805397,0.0033146378,0.0033146378,0.0032610234,2.9860487e-08
2019-02-16,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,53.860077,53.860077,54.469208,12.911575,0.0030831874,0.0030831874,0.0030762732,8.735583e-09
2019-02-17,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,49.68312,49.68312,49.686295,0.6599323,0.003673488,0.003673488,0.0036515833,8.969566e-09
2019-02-18,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,51.679077,51.679077,51.760864,0.30896348,0.0046964157,0.0046964157,0.004678922,5.549131e-09
2019-02-19,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,52.83554,52.83554,53.332123,0.95733714,0.005039204,0.005039204,0.0050993003,4.023856e-08
2019-02-20,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,40.02794,40.02794,38.996933,19.211176,0.0041789254,0.0041789254,0.0042719385,1.1141106e-07
2019-02-21,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,41.45108,41.45108,40.74771,2.6050391,0.0038644634,0.0038644634,0.0038520657,3.0759885e-08
2019-02-22,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,58.353607,58.353607,58.338715,37.678436,0.004645798,0.004645798,0.0046485546,1.0647453e-08
2019-02-23,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,90.64317,90.64317,90.2484,3.1807442,0.0031335342,0.0031335342,0.0031447697,2.588594e-08
2019-02-24,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,74.46071,74.46071,76.035416,13.948597,0.0024813577,0.0024813577,0.0024647578,5.0592304e-09
2019-02-25,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,67.28436,67.28436,68.388855,32.35449,0.0025484418,0.0025484418,0.0025410806,6.056747e-09
2019-02-26,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,39.028442,39.028442,38.7677,12.096983,0.0037875571,0.0037875571,0.0037713149,3.9323897e-08
2019-02-27,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,51.08731,51.08731,50.828033,12.712317,0.0031811155,0.0031811155,0.00315933,5.5965625e-08
2019-02-28,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,43.98549,43.98549,43.159805,48.701138,0.003635859,0.003635859,0.0036229843,4.958708e-08
2019-03-01,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,48.01068,48.01068,46.898132,45.989815,0.0047877626,0.0047877626,0.004823764,4.6561468e-08
2019-03-02,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,49.98047,49.98047,51.521484,8.494253,0.004558875,0.004558875,0.004542007,2.0622842e-08
2019-03-03,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,49.713303,49.713303,48.167404,18.02798,0.004028605,0.004028605,0.0039267405,1.17198326e-07
2019-03-04,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,40.660416,40.660416,39.317154,23.05844,0.004104916,0.004104916,0.0040526427,3.712743e-08
2019-03-05,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,47.18277,47.18277,46.09439,48.327324,0.0052963453,0.0052963453,0.005294408,3.375048e-08
2019-03-06,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,47.303497,47.303497,46.233185,35.09545,0.0056947735,0.0056947735,0.005720344,3.8023273e-08
2019-03-07,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,42.318436,42.318436,41.024002,17.595781,0.0054972535,0.0054972535,0.005508608,9.553036e-09
2019-03-08,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,34.294327,34.294327,33.255264,13.715141,0.004407382,0.004407382,0.004393256,1.06245395e-08
2019-03-09,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,40.419205,40.419205,39.70436,33.851036,0.0049112276,0.0049112276,0.004918738,3.0397402e-08
2019-03-10,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,41.05838,41.05838,39.779083,45.75523,0.005189985,0.005189985,0.005149275,1.2117727e-07
2019-03-11,ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ,61.68834,61.68834,61.35704,60.9954,0.0064059645,0.0064059645,0.0063958317,1.9214813e-08
