Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,56.91602,56.91602,56.28093,2.937794,0.0032706952,0.0032706952,0.003317465,1.4930079e-08
2019-01-02,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,58.96114,58.96114,58.822144,1.251348,0.0034384767,0.0034384767,0.0034147939,2.6300058e-09
2019-01-03,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,93.901306,93.901306,93.01915,1.573711,0.0038610494,0.0038610494,0.0038650231,5.1538254e-09
2019-01-04,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,90.582375,90.582375,91.684586,3.8060923,0.003212061,0.003212061,0.0031566287,1.051481e-08
2019-01-05,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,63.15332,63.15332,64.993164,13.475492,0.0024763423,0.0024763423,0.0024859982,1.1877688e-08
2019-01-06,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,46.5584,46.5584,49.375458,23.558664,0.0024598623,0.0024598623,0.0024664982,2.1040918e-08
2019-01-07,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,57.829315,57.829315,56.5549,4.552408,0.0023011158,0.0023011158,0.0023108511,2.0477116e-09
2019-01-08,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,42.66786,42.66786,43.21115,1.5695256,0.0015680041,0.0015680041,0.0015625602,5.116389e-10
2019-01-09,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,94.69928,94.69928,94.67259,0.48047468,0.003699518,0.003699518,0.0036849747,3.0873935e-09
2019-01-10,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,81.415215,81.415215,78.489105,24.201403,0.00567618,0.00567618,0.005643557,4.394492e-09
2019-01-11,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,69.68019,69.68019,68.72414,1.957997,0.0045439876,0.0045439876,0.0046376064,3.0614512e-08
2019-01-12,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,76.67295,76.67295,75.99457,18.735216,0.0036291843,0.0036291843,0.0036818748,5.7884478e-08
2019-01-13,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,52.43111,52.43111,52.74524,0.7779264,0.0027268904,0.0027268904,0.0027415135,5.0592006e-09
2019-01-14,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,65.05483,65.05483,65.63165,0.6688349,0.003519219,0.003519219,0.003615421,2.0675268e-08
2019-01-15,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,29.375956,29.375956,30.191711,1.6273915,0.0014401706,0.0014401706,0.0014392168,3.3883605e-09
2019-01-16,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,41.19272,41.19272,40.745453,5.742241,0.0027948904,0.0027948904,0.0028127916,9.886853e-09
2019-01-17,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,52.094036,52.094036,53.204712,4.006466,0.003813892,0.003813892,0.0038068385,7.969688e-09
2019-01-18,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,66.47934,66.47934,65.66098,16.433529,0.005216832,0.005216832,0.005190526,3.533011e-09
2019-01-19,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,70.001976,70.001976,67.27574,16.468058,0.0056494535,0.0056494535,0.005635824,6.779177e-10
2019-01-20,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,63.950726,63.950726,63.077026,2.009278,0.0054896423,0.0054896423,0.0055790097,2.7524303e-08
2019-01-21,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,68.48031,68.48031,67.22185,21.066097,0.0055027455,0.0055027455,0.0055820197,1.5422103e-08
2019-01-22,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,77.82482,77.82482,76.87398,5.549375,0.0062958538,0.0062958538,0.0063570477,1.5423982e-08
2019-01-23,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,85.1133,85.1133,84.7383,2.9412696,0.006933642,0.006933642,0.006868832,2.8506124e-08
2019-01-24,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,57.464832,57.464832,57.24185,2.2707763,0.0049767145,0.0049767145,0.0050003575,1.7379822e-08
2019-01-25,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,90.43326,90.43326,91.5983,4.3759465,0.0065312986,0.0065312986,0.0064799595,1.0716133e-08
2019-01-26,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,76.73824,76.73824,76.19951,21.286503,0.0046337917,0.0046337917,0.00472145,2.6897702e-08
2019-01-27,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,54.995358,54.995358,53.2408,9.596893,0.0043232464,0.0043232464,0.0043003187,1.095717e-09
2019-01-28,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,59.86234,59.86234,57.24971,15.234248,0.005451981,0.005451981,0.0054303445,1.7442142e-09
2019-01-29,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,87.2087,87.2087,87.173874,1.217541,0.0065208487,0.0065208487,0.006500941,2.765833e-08
2019-01-30,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,71.879524,71.879524,68.640915,37.68803,0.0057149357,0.0057149357,0.0056627616,2.2154785e-08
2019-01-31,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,53.75552,53.75552,53.7285,1.665825,0.0039381213,0.0039381213,0.004036747,3.6244884e-08
2019-02-01,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,54.2813,54.2813,52.935272,11.045388,0.00508041,0.00508041,0.005105285,3.0311975e-09
2019-02-02,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,61.422318,61.422318,59.911575,7.7516594,0.006285984,0.006285984,0.006312806,1.6253333e-09
2019-02-03,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,73.18346,73.18346,74.26842,10.191995,0.007098092,0.007098092,0.007100079,1.4056737e-08
2019-02-04,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,79.240486,79.240486,78.54289,13.816659,0.0074379086,0.0074379086,0.0074701346,8.511851e-09
2019-02-05,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,70.68536,70.68536,71.49005,3.802079,0.0065148734,0.0065148734,0.006480422,1.3352529e-08
2019-02-06,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,87.493935,87.493935,88.50305,3.318302,0.0059156925,0.0059156925,0.005900096,1.8327523e-08
2019-02-07,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,79.059975,79.059975,78.918045,16.566244,0.004822077,0.004822077,0.004869165,1.1985729e-08
2019-02-08,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,70.29202,70.29202,68.32425,11.778169,0.004645404,0.004645404,0.004610217,4.026812e-09
2019-02-09,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,60.932816,60.932816,60.0627,4.134331,0.004349086,0.004349086,0.0043360526,4.5433177e-09
2019-02-10,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,55.235256,55.235256,55.952377,1.9143704,0.0049617966,0.0049617966,0.0049826186,6.136925e-09
2019-02-11,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,55.626232,55.626232,54.86972,1.3788873,0.0056420267,0.0056420267,0.0057044923,1.4048207e-08
2019-02-12,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,64.975746,64.975746,64.60823,1.7104317,0.0047044125,0.0047044125,0.004744308,8.1187274e-08
2019-02-13,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,43.80154,43.80154,44.144638,1.2399961,0.0023571944,0.0023571944,0.0023794866,7.744319e-09
2019-02-14,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,39.998672,39.998672,39.45961,5.966952,0.0029067958,0.0029067958,0.0029086636,3.7918384e-09
2019-02-15,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,67.94671,67.94671,69.89462,21.382217,0.0037344035,0.0037344035,0.003702813,2.6369866e-08
2019-02-16,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,49.16989,49.16989,49.134735,2.044564,0.0031820915,0.0031820915,0.003199774,2.0197826e-09
2019-02-17,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,49.8069,49.8069,49.669205,9.721935,0.0038805846,0.0038805846,0.0038463713,2.7595704e-08
2019-02-18,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,46.12154,46.12154,43.689575,12.179051,0.00437312,0.00437312,0.00427215,2.4160338e-08
2019-02-19,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,50.82594,50.82594,49.269623,7.1584396,0.0048985817,0.0048985817,0.0048610903,5.796496e-09
2019-02-20,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,40.495792,40.495792,38.11168,25.89834,0.0042441627,0.0042441627,0.004044368,1.8053868e-07
