Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΣΕΡΡΩΝ,44.799484,44.799484,44.76042,3.9016273,0.0026609795,0.0026609795,0.0027145045,3.160154e-08
2019-01-02,ΔΗΜΟΣ ΣΕΡΡΩΝ,55.076702,55.076702,55.710815,2.1570468,0.0028644046,0.0028644046,0.0028998097,6.6220402e-09
2019-01-03,ΔΗΜΟΣ ΣΕΡΡΩΝ,82.835556,82.835556,86.710556,44.3951,0.0036263263,0.0036263263,0.0038075643,7.192948e-08
2019-01-04,ΔΗΜΟΣ ΣΕΡΡΩΝ,77.60581,77.60581,77.26271,24.348793,0.003009604,0.003009604,0.003078785,2.870415e-08
2019-01-05,ΔΗΜΟΣ ΣΕΡΡΩΝ,70.125,70.125,69.30371,1.8974196,0.0025155225,0.0025155225,0.002469905,5.0926148e-09
2019-01-06,ΔΗΜΟΣ ΣΕΡΡΩΝ,47.568165,47.568165,49.378387,7.5586395,0.002068816,0.002068816,0.0021427257,1.6169878e-08
2019-01-07,ΔΗΜΟΣ ΣΕΡΡΩΝ,53.44748,53.44748,52.970917,5.241526,0.001969118,0.001969118,0.0019465475,1.6339586e-08
2019-01-08,ΔΗΜΟΣ ΣΕΡΡΩΝ,48.46408,48.46408,48.260956,0.28842226,0.0015143004,0.0015143004,0.0015329367,8.4904256e-10
2019-01-09,ΔΗΜΟΣ ΣΕΡΡΩΝ,89.10618,89.10618,89.811264,1.6638609,0.0029569238,0.0029569238,0.0029870044,2.2082185e-09
2019-01-10,ΔΗΜΟΣ ΣΕΡΡΩΝ,90.1294,90.1294,90.267426,0.33092648,0.005055855,0.005055855,0.0050577624,3.8774044e-08
2019-01-11,ΔΗΜΟΣ ΣΕΡΡΩΝ,62.71372,62.71372,62.729996,0.80765873,0.0032136117,0.0032136117,0.0031764582,4.1064854e-09
2019-01-12,ΔΗΜΟΣ ΣΕΡΡΩΝ,53.411884,53.411884,54.23578,1.8034848,0.0026585425,0.0026585425,0.0026091104,9.8441175e-09
2019-01-13,ΔΗΜΟΣ ΣΕΡΡΩΝ,56.88912,56.88912,57.286255,1.0127877,0.0026105025,0.0026105025,0.002575455,4.6292143e-09
2019-01-14,ΔΗΜΟΣ ΣΕΡΡΩΝ,66.32273,66.32273,65.66681,4.206265,0.0030463159,0.0030463159,0.0030234277,1.2079605e-09
2019-01-15,ΔΗΜΟΣ ΣΕΡΡΩΝ,33.583637,33.583637,31.82843,6.4893756,0.0014588466,0.0014588466,0.0014469654,1.758063e-08
2019-01-16,ΔΗΜΟΣ ΣΕΡΡΩΝ,48.18556,48.18556,47.278656,2.7525442,0.0026602831,0.0026602831,0.0026421435,2.9656164e-09
2019-01-17,ΔΗΜΟΣ ΣΕΡΡΩΝ,51.551716,51.551716,51.365845,0.46641687,0.003342856,0.003342856,0.0033047886,3.2421645e-09
2019-01-18,ΔΗΜΟΣ ΣΕΡΡΩΝ,63.89503,63.89503,63.895355,6.0215034,0.0037476171,0.0037476171,0.0038234342,2.4475563e-08
2019-01-19,ΔΗΜΟΣ ΣΕΡΡΩΝ,63.782578,63.782578,63.368515,0.3779831,0.0046492876,0.0046492876,0.0046928786,2.387295e-08
2019-01-20,ΔΗΜΟΣ ΣΕΡΡΩΝ,89.00183,89.00183,89.26062,0.23536746,0.0061249086,0.0061249086,0.006294742,5.8951173e-08
2019-01-21,ΔΗΜΟΣ ΣΕΡΡΩΝ,70.05323,70.05323,69.941574,1.3108956,0.0051754764,0.0051754764,0.005304739,3.9649617e-08
2019-01-22,ΔΗΜΟΣ ΣΕΡΡΩΝ,84.95634,84.95634,84.29976,5.7128677,0.00502246,0.00502246,0.0050582625,1.2856184e-08
2019-01-23,ΔΗΜΟΣ ΣΕΡΡΩΝ,93.19403,93.19403,94.17775,2.2911303,0.0067465627,0.0067465627,0.006908171,7.732405e-08
2019-01-24,ΔΗΜΟΣ ΣΕΡΡΩΝ,73.54361,73.54361,74.73111,2.883398,0.005704845,0.005704845,0.005668764,8.608665e-08
2019-01-25,ΔΗΜΟΣ ΣΕΡΡΩΝ,94.39289,94.39289,95.08072,1.5945729,0.0062809195,0.0062809195,0.006425123,4.9804598e-08
2019-01-26,ΔΗΜΟΣ ΣΕΡΡΩΝ,84.32581,84.32581,83.68486,3.5584717,0.0048387125,0.0048387125,0.0049642795,1.09249015e-07
2019-01-27,ΔΗΜΟΣ ΣΕΡΡΩΝ,63.077713,63.077713,62.26619,7.0674896,0.004163983,0.004163983,0.00425037,1.7740001e-08
2019-01-28,ΔΗΜΟΣ ΣΕΡΡΩΝ,81.81612,81.81612,81.02608,12.00491,0.0057850517,0.0057850517,0.0058226027,1.5650459e-08
2019-01-29,ΔΗΜΟΣ ΣΕΡΡΩΝ,84.713585,84.713585,84.443405,2.7792215,0.0061095767,0.0061095767,0.006226223,6.016319e-08
2019-01-30,ΔΗΜΟΣ ΣΕΡΡΩΝ,82.328415,82.328415,82.25029,0.8409526,0.0058781332,0.0058781332,0.0060065016,4.120044e-08
2019-01-31,ΔΗΜΟΣ ΣΕΡΡΩΝ,91.03384,91.03384,90.27733,1.1639317,0.005354725,0.005354725,0.0054045543,2.1325556e-08
2019-02-01,ΔΗΜΟΣ ΣΕΡΡΩΝ,51.785534,51.785534,52.130585,0.8260328,0.0042450707,0.0042450707,0.0043287557,5.0319045e-08
2019-02-02,ΔΗΜΟΣ ΣΕΡΡΩΝ,67.028114,67.028114,66.95943,0.72280264,0.006099461,0.006099461,0.0062669106,7.3801324e-08
2019-02-03,ΔΗΜΟΣ ΣΕΡΡΩΝ,79.85012,79.85012,78.360214,4.6105742,0.00757934,0.00757934,0.007746313,1.1792517e-07
2019-02-04,ΔΗΜΟΣ ΣΕΡΡΩΝ,75.6259,75.6259,77.41106,9.20473,0.00768042,0.00768042,0.007868413,1.0623563e-07
2019-02-05,ΔΗΜΟΣ ΣΕΡΡΩΝ,50.22475,50.22475,52.16095,30.79939,0.0054215654,0.0054215654,0.0056287907,3.594125e-07
2019-02-06,ΔΗΜΟΣ ΣΕΡΡΩΝ,74.1453,74.1453,75.732544,5.577417,0.005106341,0.005106341,0.0050557964,2.708572e-08
2019-02-07,ΔΗΜΟΣ ΣΕΡΡΩΝ,65.69441,65.69441,66.596756,11.842354,0.004301848,0.004301848,0.004428806,4.4213106e-08
2019-02-08,ΔΗΜΟΣ ΣΕΡΡΩΝ,78.706085,78.706085,78.2139,1.0783138,0.0045574075,0.0045574075,0.004552341,8.062081e-09
2019-02-09,ΔΗΜΟΣ ΣΕΡΡΩΝ,59.510616,59.510616,57.42305,10.352468,0.0036457907,0.0036457907,0.0036269359,9.567512e-10
2019-02-10,ΔΗΜΟΣ ΣΕΡΡΩΝ,64.45238,64.45238,64.29515,0.7355137,0.004550286,0.004550286,0.0045810025,4.3777376e-08
2019-02-11,ΔΗΜΟΣ ΣΕΡΡΩΝ,62.00644,62.00644,62.319916,0.9142577,0.0053634346,0.0053634346,0.0054243505,5.5046893e-08
2019-02-12,ΔΗΜΟΣ ΣΕΡΡΩΝ,40.929195,40.929195,40.851395,0.9563194,0.0027997263,0.0027997263,0.0028593708,7.46165e-09
2019-02-13,ΔΗΜΟΣ ΣΕΡΡΩΝ,37.592556,37.592556,37.36534,2.913005,0.0021621285,0.0021621285,0.0021628833,3.790379e-09
2019-02-14,ΔΗΜΟΣ ΣΕΡΡΩΝ,42.405575,42.405575,40.339493,12.406295,0.0029313928,0.0029313928,0.0029135512,3.510195e-08
2019-02-15,ΔΗΜΟΣ ΣΕΡΡΩΝ,47.17262,47.17262,47.84189,1.2301289,0.0027210452,0.0027210452,0.0028092202,2.9415071e-08
2019-02-16,ΔΗΜΟΣ ΣΕΡΡΩΝ,46.859344,46.859344,48.25583,4.248324,0.0033766013,0.0033766013,0.0034342587,1.504439e-08
2019-02-17,ΔΗΜΟΣ ΣΕΡΡΩΝ,51.557224,51.557224,51.30104,0.6717811,0.0039945487,0.0039945487,0.003989661,2.9039124e-09
2019-02-18,ΔΗΜΟΣ ΣΕΡΡΩΝ,50.37317,50.37317,50.29602,0.56774586,0.0046443013,0.0046443013,0.0046673883,1.6899124e-08
2019-02-19,ΔΗΜΟΣ ΣΕΡΡΩΝ,59.447357,59.447357,59.828217,0.5548579,0.0052619316,0.0052619316,0.0052928664,1.8908326e-08
2019-02-20,ΔΗΜΟΣ ΣΕΡΡΩΝ,48.698593,48.698593,48.308945,0.3222828,0.0047889887,0.0047889887,0.004870965,1.6832475e-08
2019-02-21,ΔΗΜΟΣ ΣΕΡΡΩΝ,35.70702,35.70702,35.98111,2.0883539,0.00325137,0.00325137,0.003230866,5.5108935e-09
2019-02-22,ΔΗΜΟΣ ΣΕΡΡΩΝ,65.6115,65.6115,65.451996,8.510808,0.004396655,0.004396655,0.0043907347,2.6587001e-09
2019-02-23,ΔΗΜΟΣ ΣΕΡΡΩΝ,46.266953,46.266953,44.649765,8.575383,0.00198987,0.00198987,0.0020144272,4.1171273e-08
2019-02-24,ΔΗΜΟΣ ΣΕΡΡΩΝ,49.898373,49.898373,51.208267,7.3195934,0.0020008946,0.0020008946,0.0020708307,1.4202606e-08
2019-02-25,ΔΗΜΟΣ ΣΕΡΡΩΝ,48.42401,48.42401,48.220886,0.22864787,0.0022532498,0.0022532498,0.0022309576,2.5371019e-09
2019-02-26,ΔΗΜΟΣ ΣΕΡΡΩΝ,41.406536,41.406536,41.615845,0.10777176,0.0030745566,0.0030745566,0.003098438,3.488692e-09
2019-02-27,ΔΗΜΟΣ ΣΕΡΡΩΝ,33.99942,33.99942,34.96231,1.9209181,0.0025146261,0.0025146261,0.002590642,2.6945735e-08
2019-02-28,ΔΗΜΟΣ ΣΕΡΡΩΝ,42.618137,42.618137,41.823868,2.052652,0.00371107,0.00371107,0.003695076,1.0486529e-09
