Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,71.302414,71.302414,70.50554,1.9046732,0.0038794177,0.0038794177,0.00388812,2.329538e-10
2019-01-02,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,60.195843,60.195843,60.966675,4.3345675,0.0035878064,0.0035878064,0.0036131581,1.5794933e-08
2019-01-03,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,97.62787,97.62787,97.36876,1.4602695,0.0038937526,0.0038937526,0.0038898187,6.4013173e-09
2019-01-04,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,93.91831,93.91831,92.79103,4.0089135,0.0033630992,0.0033630992,0.0033220912,2.786723e-08
2019-01-05,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,70.47949,70.47949,69.913086,21.933367,0.002632268,0.002632268,0.0026047307,3.3349192e-08
2019-01-06,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,50.725067,50.725067,50.69284,58.53935,0.0024086817,0.0024086817,0.0023708923,3.7127535e-08
2019-01-07,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,61.65907,61.65907,60.718964,10.411991,0.0025776017,0.0025776017,0.0025669127,2.2627681e-08
2019-01-08,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,46.00998,46.00998,45.7883,1.9109427,0.0017279234,0.0017279234,0.0017103201,1.183521e-09
2019-01-09,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,94.29596,94.29596,93.80443,0.8446359,0.003976044,0.003976044,0.0039075385,1.5807636e-08
2019-01-10,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,72.53598,72.53598,71.8602,1.7855154,0.005434861,0.005434861,0.0054236157,3.4498424e-08
2019-01-11,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,73.64927,73.64927,73.51515,8.656495,0.0049651936,0.0049651936,0.005016811,2.9245834e-08
2019-01-12,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,90.85459,90.85459,90.92816,1.795004,0.003912505,0.003912505,0.0039386516,4.7742446e-09
2019-01-13,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,57.403767,57.403767,56.728638,0.94496435,0.0029554146,0.0029554146,0.0029771903,1.3516829e-09
2019-01-14,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,71.71987,71.71987,71.324036,1.0973469,0.0040061893,0.0040061893,0.003995103,6.2780714e-10
2019-01-15,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,33.650043,33.650043,32.949524,2.3328588,0.0016818872,0.0016818872,0.0016835958,8.4283004e-11
2019-01-16,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,44.802746,44.802746,43.108734,6.3731956,0.0031346567,0.0031346567,0.0030917414,5.091581e-09
2019-01-17,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,55.23173,55.23173,54.951782,1.837894,0.0041768444,0.0041768444,0.0041843746,3.9137246e-10
2019-01-18,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,62.98943,62.98943,61.290863,5.951265,0.005169903,0.005169903,0.005149995,2.6006498e-08
2019-01-19,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,68.51565,68.51565,68.22984,3.7765608,0.0057969154,0.0057969154,0.0058188103,1.8752677e-09
2019-01-20,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,60.691936,60.691936,60.633667,0.55217767,0.005410885,0.005410885,0.005362883,6.179994e-09
2019-01-21,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,70.72608,70.72608,68.04216,17.387386,0.005825644,0.005825644,0.0057384223,2.2839766e-08
2019-01-22,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,75.81148,75.81148,75.32515,0.58848256,0.006371631,0.006371631,0.006371353,3.8089196e-10
2019-01-23,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,85.83791,85.83791,86.287125,2.3313072,0.0071578748,0.0071578748,0.007248275,3.0682205e-08
2019-01-24,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,54.86978,54.86978,53.908844,4.8293004,0.0049083675,0.0049083675,0.0049012946,2.9072012e-08
2019-01-25,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,89.93912,89.93912,90.33951,6.987057,0.006459058,0.006459058,0.0065618563,8.01705e-08
2019-01-26,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,73.026985,73.026985,72.922165,0.16317008,0.00467019,0.00467019,0.0046594613,4.1044737e-10
2019-01-27,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,56.95955,56.95955,56.786697,2.3623524,0.0046556816,0.0046556816,0.0046676025,2.3087523e-09
2019-01-28,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,59.072628,59.072628,58.026077,8.405108,0.0055792765,0.0055792765,0.0055072345,2.936602e-08
2019-01-29,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,90.54431,90.54431,90.502,0.05849796,0.007092139,0.007092139,0.007155936,1.8286977e-08
2019-01-30,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,66.83395,66.83395,65.63115,8.031999,0.0054004616,0.0054004616,0.0053202733,4.6987818e-08
2019-01-31,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,57.762356,57.762356,56.678696,3.154507,0.0040906295,0.0040906295,0.0040804967,1.3238927e-09
2019-02-01,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,53.201874,53.201874,53.310272,1.1330496,0.0052696746,0.0052696746,0.0052113812,2.1714214e-08
2019-02-02,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,61.31262,61.31262,61.99849,6.5457687,0.0065316744,0.0065316744,0.0065919943,1.1598739e-08
2019-02-03,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,71.97512,71.97512,73.13365,8.501771,0.0072881915,0.0072881915,0.0073011853,1.3919342e-09
2019-02-04,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,77.78801,77.78801,77.59758,3.8048801,0.0073006987,0.0073006987,0.0072501935,2.6492941e-08
2019-02-05,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,73.84747,73.84747,73.463684,3.5178459,0.006600704,0.006600704,0.006574001,9.906368e-09
2019-02-06,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,91.00533,91.00533,90.28821,1.5490751,0.0062532336,0.0062532336,0.0063000433,3.5639218e-08
2019-02-07,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,77.33178,77.33178,76.88191,1.0382056,0.0048516016,0.0048516016,0.0048456807,7.576311e-10
2019-02-08,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,69.67809,69.67809,68.799835,3.1628292,0.0047128764,0.0047128764,0.004707015,3.6150245e-09
2019-02-09,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,61.853714,61.853714,60.25508,8.195195,0.00453698,0.00453698,0.004503184,7.2121673e-09
2019-02-10,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,57.712143,57.712143,57.17308,11.972107,0.0053589027,0.0053589027,0.005379943,1.5495793e-08
2019-02-11,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,56.17766,56.17766,55.343353,3.393139,0.005764574,0.005764574,0.0057456195,7.3675704e-10
2019-02-12,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,59.421055,59.421055,58.437332,5.5613937,0.004385051,0.004385051,0.004394548,1.6728103e-09
2019-02-13,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,53.994247,53.994247,53.67003,1.8299433,0.0028041897,0.0028041897,0.0027517772,1.2068676e-08
2019-02-14,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,44.652317,44.652317,43.680313,2.6790526,0.0031016634,0.0031016634,0.0030711459,2.3926627e-09
2019-02-15,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,76.354256,76.354256,76.07431,8.593151,0.004075183,0.004075183,0.004071408,1.5396061e-08
2019-02-16,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,52.281544,52.281544,51.618134,2.1250925,0.0032515507,0.0032515507,0.0032435239,1.908284e-09
2019-02-17,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,49.7597,49.7597,49.658463,5.2657523,0.0038947705,0.0038947705,0.003913963,3.418729e-08
2019-02-18,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,47.097126,47.097126,47.59192,0.6640513,0.00462193,0.00462193,0.004636394,1.0476392e-09
2019-02-19,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,53.167736,53.167736,52.925873,0.33767465,0.0053020255,0.0053020255,0.005263839,3.2760976e-09
2019-02-20,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,40.16116,40.16116,39.274765,3.4407322,0.004352246,0.004352246,0.0043749353,7.702779e-09
2019-02-21,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,41.176098,41.176098,41.47525,0.89510113,0.004135625,0.004135625,0.0041448437,1.650632e-09
2019-02-22,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,50.153492,50.153492,48.575043,5.381552,0.0047982116,0.0047982116,0.0047584358,5.7296656e-09
2019-02-23,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,87.068054,87.068054,87.60191,12.715621,0.0034348853,0.0034348853,0.003469019,4.76585e-09
2019-02-24,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,69.18678,69.18678,68.887955,1.6418787,0.0027427338,0.0027427338,0.0027404292,1.1898874e-09
2019-02-25,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,68.12649,68.12649,66.78534,4.038377,0.0029546774,0.0029546774,0.0029409681,2.1084654e-08
2019-02-26,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,45.34143,45.34143,45.78186,12.560085,0.00428612,0.00428612,0.0043171146,2.9461006e-08
2019-02-27,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,64.466545,64.466545,66.71036,17.648834,0.004204617,0.004204617,0.004312978,3.0657713e-08
2019-02-28,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,37.74737,37.74737,37.76332,0.28340426,0.0036304647,0.0036304647,0.0036089474,1.1640987e-09
2019-03-01,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,44.403667,44.403667,44.266296,0.16521794,0.0052701035,0.0052701035,0.005283733,1.5919571e-08
2019-03-02,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,48.437176,48.437176,47.339844,6.0620627,0.0049945056,0.0049945056,0.0049131652,2.5529102e-08
2019-03-03,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,61.356533,61.356533,59.57756,21.1696,0.005059447,0.005059447,0.0050526126,4.9966133e-08
2019-03-04,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,41.202896,41.202896,40.438248,12.464406,0.0043361224,0.0043361224,0.0042910613,2.8912638e-08
2019-03-05,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,42.888012,42.888012,41.297516,7.074957,0.0059090513,0.0059090513,0.005876865,1.34385e-07
2019-03-06,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,44.001087,44.001087,43.999786,0.86142045,0.006188161,0.006188161,0.00618526,2.5781281e-08
2019-03-07,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,44.34952,44.34952,42.932205,33.29843,0.0062371157,0.0062371157,0.006194598,1.3792315e-07
2019-03-08,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,37.89947,37.89947,35.478897,63.94034,0.005450702,0.005450702,0.0053438903,4.201402e-07
2019-03-09,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,34.245377,34.245377,33.69069,1.2954508,0.0049472093,0.0049472093,0.004885419,1.4580284e-08
2019-03-10,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,35.71886,35.71886,34.971466,1.5041639,0.0054802597,0.0054802597,0.005407423,3.033905e-08
2019-03-11,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,50.40131,50.40131,49.779892,4.4860153,0.0065829703,0.0065829703,0.006530836,8.300858e-09
2019-03-12,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,83.64791,83.64791,83.50664,1.129548,0.006043941,0.006043941,0.006013781,8.996011e-09
2019-03-13,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,61.13574,61.13574,61.820633,1.2909077,0.0041214903,0.0041214903,0.004138895,1.0796081e-09
2019-03-14,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,68.95761,68.95761,67.47128,15.746921,0.0052578705,0.0052578705,0.005253539,1.1358455e-08
2019-03-15,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,44.831326,44.831326,45.139267,17.778738,0.003912413,0.003912413,0.003940467,5.514529e-08
2019-03-16,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,41.20189,41.20189,41.160873,0.036251705,0.005458309,0.005458309,0.005467925,2.6874085e-09
2019-03-17,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,39.259686,39.259686,38.20044,7.0999312,0.0062797237,0.0062797237,0.0062668095,9.840414e-08
2019-03-18,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,39.33325,39.33325,39.443924,0.49847496,0.00562383,0.00562383,0.005577338,7.5834386e-08
2019-03-19,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,49.47972,49.47972,48.421127,48.85988,0.0065211602,0.0065211602,0.0064457804,3.006328e-07
2019-03-20,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,59.216946,59.216946,58.34227,2.9960759,0.0068965317,0.0068965317,0.006892518,5.9732237e-09
2019-03-21,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,57.739902,57.739902,56.42708,12.828832,0.005257111,0.005257111,0.005266608,6.191518e-08
2019-03-22,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,63.675266,63.675266,62.82045,2.7286787,0.0055036168,0.0055036168,0.005519988,1.5309953e-09
2019-03-23,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,42.98318,42.98318,42.51378,0.7207745,0.0045730458,0.0045730458,0.0045674825,1.9328972e-10
2019-03-24,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,47.59627,47.59627,45.809814,25.502058,0.005291539,0.005291539,0.005243021,4.1439034e-08
2019-03-25,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,44.272022,44.272022,44.33778,22.17129,0.006132593,0.006132593,0.006127109,4.4345065e-09
2019-03-26,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,63.80937,63.80937,64.85266,32.8428,0.006819175,0.006819175,0.006869958,6.012301e-08
2019-03-27,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,76.11932,76.11932,74.0119,9.933479,0.00645224,0.00645224,0.006417987,3.2175237e-08
2019-03-28,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,68.36832,68.36832,68.67691,0.8709819,0.0046606786,0.0046606786,0.0046820566,1.47251855e-08
2019-03-29,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,41.61853,41.61853,40.270874,15.096332,0.0033655928,0.0033655928,0.0033451682,4.5729397e-08
2019-03-30,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,41.640503,41.640503,39.954956,12.742809,0.003929127,0.003929127,0.0038809667,4.0200685e-08
2019-03-31,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,31.997194,31.997194,31.852013,0.2816425,0.0036944589,0.0036944589,0.0036633054,4.068533e-09
2019-04-01,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,41.38324,41.38324,39.87738,6.867302,0.0051904586,0.0051904586,0.005167014,4.3095692e-08
2019-04-02,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,46.170406,46.170406,44.476395,5.8861527,0.0051958016,0.0051958016,0.005175417,1.9757474e-08
2019-04-03,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,48.844498,48.844498,48.54567,1.6338272,0.0046179076,0.0046179076,0.0045813103,2.3888228e-08
2019-04-04,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,55.45244,55.45244,53.61357,13.985489,0.00547966,0.00547966,0.0054795807,1.7520404e-11
2019-04-05,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,66.433205,66.433205,64.58197,9.932698,0.0062731467,0.0062731467,0.0062197805,1.0292073e-08
2019-04-06,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,86.809875,86.809875,85.281555,4.932938,0.007317651,0.007317651,0.007306684,2.553378e-09
2019-04-07,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,57.314087,57.314087,54.83264,14.484387,0.0069484077,0.0069484077,0.006856259,1.7854035e-08
2019-04-08,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,71.61345,71.61345,71.32829,84.91444,0.007003013,0.007003013,0.0070533194,1.3556007e-07
2019-04-09,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,49.859287,49.859287,50.30818,5.512413,0.005806791,0.005806791,0.005777128,1.2139055e-08
2019-04-10,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,53.433437,53.433437,52.893723,5.259181,0.006800819,0.006800819,0.0067891367,1.8362982e-09
2019-04-11,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,50.277634,50.277634,48.96904,8.0510435,0.0062326067,0.0062326067,0.006192115,3.5263794e-09
2019-04-12,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,56.260605,56.260605,52.487167,81.194756,0.0065552243,0.0065552243,0.006433353,4.8615e-07
2019-04-13,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,52.19929,52.19929,52.38028,12.319541,0.0058505796,0.0058505796,0.005825863,2.9087623e-08
2019-04-14,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,67.66526,67.66526,67.32672,7.014591,0.0068139345,0.0068139345,0.0068466775,1.3749877e-08
2019-04-15,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,87.401695,87.401695,86.89812,0.92931515,0.007064283,0.007064283,0.007097423,7.0757076e-09
2019-04-16,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,60.992527,60.992527,60.708023,9.7504425,0.0060553052,0.0060553052,0.006128659,1.2760754e-08
2019-04-17,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,62.613605,62.613605,63.78678,34.1803,0.006318506,0.006318506,0.006481306,1.04913944e-07
