Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,56.624683,56.624683,58.654953,23.313196,0.0027990716,0.0027990716,0.0027874606,4.2344142e-10
2019-01-02,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,56.47859,56.47859,57.424683,13.252439,0.0026825867,0.0026825867,0.0027267179,8.4742595e-09
2019-01-03,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,84.342,84.342,85.091415,7.39749,0.0029125887,0.0029125887,0.002915998,1.6298582e-08
2019-01-04,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,87.38009,87.38009,88.062515,1.8635689,0.0023192312,0.0023192312,0.0023024941,1.7920504e-08
2019-01-05,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,71.382614,71.382614,72.05371,16.484364,0.0019246178,0.0019246178,0.0019279795,1.3938029e-09
2019-01-06,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,65.739914,65.739914,67.56882,21.003967,0.0023237092,0.0023237092,0.0023190363,4.7517346e-10
2019-01-07,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,66.573456,66.573456,69.15744,46.26754,0.0015834362,0.0015834362,0.0015898733,1.054616e-10
2019-01-08,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,54.693962,54.693962,52.915253,8.636339,0.0014286882,0.0014286882,0.001426006,1.2528304e-09
2019-01-09,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,92.63881,92.63881,93.19212,1.3924814,0.002613355,0.002613355,0.0026175748,1.4551381e-09
2019-01-10,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,89.631096,89.631096,89.14926,1.4920706,0.003980993,0.003980993,0.004033874,8.56062e-09
2019-01-11,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,71.12687,71.12687,70.54347,14.128073,0.0027203872,0.0027203872,0.0027117804,3.534236e-09
2019-01-12,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,74.8807,74.8807,74.90863,16.575623,0.0022719388,0.0022719388,0.0022794968,2.8073295e-09
2019-01-13,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,64.610275,64.610275,64.19641,6.63245,0.0023797373,0.0023797373,0.0023862699,9.593904e-09
2019-01-14,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,79.60138,79.60138,79.35431,5.150983,0.0031900823,0.0031900823,0.00319795,9.0240065e-10
2019-01-15,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,52.369446,52.369446,51.543274,8.4259615,0.001723197,0.001723197,0.0017045767,3.953434e-09
2019-01-16,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,55.149162,55.149162,55.029633,1.127249,0.0025221712,0.0025221712,0.0025498755,9.531987e-09
2019-01-17,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,56.137917,56.137917,56.126587,3.578495,0.0031286448,0.0031286448,0.003161797,1.5894056e-08
2019-01-18,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,70.11781,70.11781,70.8436,11.222166,0.0039273603,0.0039273603,0.003933941,3.3808625e-08
