Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,50.216476,50.216476,50.216476,0.56984806,0.003157963,0.003157963,0.003157963,8.810872e-10
2019-01-02,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,53.54773,53.54773,53.54773,6.2597694,0.0031696996,0.0031696996,0.0031696996,1.0359713e-09
2019-01-03,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,82.26036,82.26036,82.26036,17.674469,0.0037782984,0.0037782984,0.0037782984,1.7023613e-08
2019-01-04,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,87.221695,87.221695,87.221695,1.8267212,0.0032099152,0.0032099152,0.0032099152,9.485589e-09
2019-01-05,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,66.438965,66.438965,66.438965,16.907034,0.0024550634,0.0024550634,0.0024550634,1.497401e-08
2019-01-06,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,50.05905,50.05905,50.05905,6.5414057,0.00239837,0.00239837,0.00239837,5.542237e-09
2019-01-07,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,48.27951,48.27951,48.27951,8.600244,0.0018622666,0.0018622666,0.0018622666,1.226455e-08
2019-01-08,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,47.025604,47.025604,47.025604,3.295785,0.001634056,0.001634056,0.001634056,1.4123112e-09
2019-01-09,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,90.13548,90.13548,90.13548,1.4734735,0.0033401619,0.0033401619,0.0033401619,9.792167e-10
2019-01-10,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,88.98813,88.98813,88.98813,17.371964,0.005303572,0.005303572,0.005303572,6.272957e-08
2019-01-11,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,56.66945,56.66945,56.66945,6.2109985,0.0031381324,0.0031381324,0.0031381324,1.10675025e-08
2019-01-12,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,56.612244,56.612244,56.612244,1.6353514,0.0026823645,0.0026823645,0.0026823645,1.2784827e-08
2019-01-13,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,52.763306,52.763306,52.763306,2.1243632,0.002634404,0.002634404,0.002634404,8.7050367e-10
2019-01-14,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,59.131165,59.131165,59.131165,3.669245,0.003151816,0.003151816,0.003151816,1.7808475e-09
2019-01-15,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,40.21222,40.21222,40.21222,2.7593622,0.0018892318,0.0018892318,0.0018892318,3.0859724e-09
2019-01-16,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,42.091156,42.091156,42.091156,5.2130165,0.002652008,0.002652008,0.002652008,5.3792713e-09
2019-01-17,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,45.101685,45.101685,45.101685,1.6453574,0.0032989474,0.0032989474,0.0032989474,2.0412614e-09
2019-01-18,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,62.50766,62.50766,62.50766,7.762536,0.0040693628,0.0040693628,0.0040693628,8.381903e-09
2019-01-19,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,65.91783,65.91783,65.91783,13.386023,0.0049960874,0.0049960874,0.0049960874,7.911524e-08
2019-01-20,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,87.67761,87.67761,87.67761,3.0864725,0.0067998916,0.0067998916,0.0067998916,8.612663e-09
2019-01-21,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,73.640305,73.640305,73.640305,2.3943331,0.005654797,0.005654797,0.005654797,1.6621616e-08
2019-01-22,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,85.9897,85.9897,85.9897,1.0464251,0.006400738,0.006400738,0.006400738,4.1515626e-09
2019-01-23,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,89.66896,89.66896,89.66896,0.10197544,0.0073690936,0.0073690936,0.0073690936,2.5668356e-11
2019-01-24,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,64.42203,64.42203,64.42203,4.1319294,0.0056311535,0.0056311535,0.0056311535,4.733103e-10
2019-01-25,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,82.61246,82.61246,82.61246,0.0037252903,0.0065698433,0.0065698433,0.0065698433,1.3675972e-08
2019-01-26,ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ,75.00029,75.00029,75.00029,5.8654785,0.0036470764,0.0036470764,0.0036470764,3.1995775e-09
