Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,62.22273,62.22273,58.214523,44.445953,0.003564228,0.003564228,0.0033860104,6.503377e-08
2019-01-02,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,60.01902,60.01902,59.045776,1.8822949,0.0036276542,0.0036276542,0.0036131581,6.755639e-09
2019-01-03,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,96.82208,96.82208,96.941025,2.211011,0.004040332,0.004040332,0.00399365,2.4434101e-08
2019-01-04,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,95.3004,95.3004,96.52345,6.9926744,0.0035589598,0.0035589598,0.0035849477,4.6497185e-08
2019-01-05,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,73.52676,73.52676,74.728516,31.989567,0.002878459,0.002878459,0.0028684216,7.77997e-08
2019-01-06,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,55.987762,55.987762,57.68112,20.242294,0.0027085408,0.0027085408,0.0026612862,4.5455867e-08
2019-01-07,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,61.88752,61.88752,60.718964,13.683571,0.0025869638,0.0025869638,0.0025669127,3.6350222e-08
2019-01-08,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,45.489277,45.489277,45.7883,2.4267294,0.0017135506,0.0017135506,0.0017103201,5.7154046e-09
2019-01-09,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,92.32005,92.32005,93.49974,14.087344,0.004026009,0.004026009,0.0039617787,6.166478e-08
2019-01-10,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,74.44575,74.44575,74.304535,6.659691,0.005758832,0.005758832,0.0057686074,5.1375167e-08
2019-01-11,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,71.37882,71.37882,70.61574,13.831884,0.0048162057,0.0048162057,0.004704125,5.2446957e-08
2019-01-12,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,84.74867,84.74867,82.2807,36.1594,0.0039373883,0.0039373883,0.0039386516,1.3712258e-09
