Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,85.09083,85.09083,90.36394,70.45777,0.0038597083,0.0038597083,0.00388812,1.5599959e-08
2019-01-02,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,59.662964,59.662964,59.65222,3.5847607,0.0033235194,0.0033235194,0.0032967767,5.275679e-09
2019-01-03,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,96.95046,96.95046,96.71837,0.4242289,0.003624419,0.003624419,0.0036167102,1.9186741e-08
2019-01-04,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,92.96161,92.96161,92.28908,0.9829059,0.0030630098,0.0030630098,0.0031170512,1.5723481e-08
2019-01-05,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,70.91862,70.91862,73.291016,17.444263,0.0023912666,0.0023912666,0.0024136382,1.5158655e-09
2019-01-06,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,44.90866,44.90866,42.58737,17.412903,0.0021501167,0.0021501167,0.0021938665,5.421905e-09
2019-01-07,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,63.683807,63.683807,65.13791,15.751454,0.0023572235,0.0023572235,0.0023878603,2.6384726e-09
2019-01-08,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,47.562714,47.562714,46.35666,9.987888,0.0017097838,0.0017097838,0.0016974455,1.2818641e-09
2019-01-09,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,96.27871,96.27871,95.8474,4.916873,0.0040819417,0.0040819417,0.004183985,2.2858416e-08
2019-01-10,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,80.7225,80.7225,78.78403,37.30388,0.005163898,0.005163898,0.005188654,2.8435954e-09
2019-01-11,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,77.17238,77.17238,78.176285,29.155067,0.004675714,0.004675714,0.004734762,1.7902384e-08
2019-01-12,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,92.063255,92.063255,93.012146,4.3243375,0.0036357807,0.0036357807,0.00363133,2.158275e-08
2019-01-13,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,63.21529,63.21529,64.493286,23.804108,0.003160693,0.003160693,0.0032021382,1.8523794e-08
2019-01-14,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,76.61343,76.61343,75.76251,27.306566,0.004089477,0.004089477,0.0040798606,1.947686e-09
2019-01-15,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,38.02309,38.02309,37.945618,3.505153,0.0016367467,0.0016367467,0.0016921789,7.3818662e-09
2019-01-16,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,47.47462,47.47462,45.571625,21.963041,0.0029166427,0.0029166427,0.0028706081,1.3637908e-08
2019-01-17,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,60.78935,60.78935,58.766235,45.48222,0.004140724,0.004140724,0.0041497443,8.075018e-10
2019-01-18,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,68.32276,68.32276,65.497894,52.123413,0.0048676278,0.0048676278,0.0048995363,1.20246595e-08
2019-01-19,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,74.613304,74.613304,73.015976,35.664387,0.0056004585,0.0056004585,0.005491819,2.383892e-08
2019-01-20,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,65.64994,65.64994,64.55945,21.214952,0.0051861755,0.0051861755,0.005107835,1.567969e-08
2019-01-21,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,71.961105,71.961105,72.77263,8.557591,0.005461181,0.005461181,0.0055920333,7.0382804e-08
2019-01-22,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,79.720985,79.720985,79.52339,5.7244134,0.006051673,0.006051673,0.0060186125,7.203666e-08
2019-01-23,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,84.145195,84.145195,83.784195,0.59803665,0.0064220354,0.0064220354,0.0064437315,1.68072e-07
2019-01-24,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,60.157867,60.157867,59.92154,37.38158,0.004705354,0.004705354,0.0047031688,2.2001562e-11
2019-01-25,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,89.16828,89.16828,88.11099,7.286793,0.005635282,0.005635282,0.0055526304,1.0790373e-07
2019-01-26,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,75.85218,75.85218,76.09697,5.2851043,0.0047152513,0.0047152513,0.0047194236,2.4583926e-09
2019-01-27,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,57.845615,57.845615,58.08748,4.381864,0.004590037,0.004590037,0.0046255216,1.2844854e-08
2019-01-28,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,67.87113,67.87113,65.49971,83.93028,0.0054255365,0.0054255365,0.005414907,5.4104614e-09
2019-01-29,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,93.12927,93.12927,93.91704,2.6564753,0.006564658,0.006564658,0.0066375546,9.685582e-08
2019-01-30,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,74.58265,74.58265,71.993454,73.34025,0.005116982,0.005116982,0.005150698,5.293876e-09
2019-01-31,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,70.55044,70.55044,68.44725,87.873314,0.004115226,0.004115226,0.004139386,2.1510909e-09
2019-02-01,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,61.216522,61.216522,58.404022,61.770184,0.005162148,0.005162148,0.0051255506,1.2331962e-08
2019-02-02,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,56.916134,56.916134,57.067825,0.7503385,0.00592776,0.00592776,0.005939681,1.4027923e-07
2019-02-03,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,61.41783,61.41783,65.51158,57.65919,0.006522868,0.006522868,0.0068018176,5.2513457e-07
2019-02-04,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,81.40617,81.40617,82.86516,7.3848953,0.0068728165,0.0068728165,0.0068948306,4.8716895e-08
2019-02-05,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,77.67039,77.67039,79.307434,8.99315,0.0062573017,0.0062573017,0.006326046,5.148249e-08
2019-02-06,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,93.27128,93.27128,94.839966,5.447662,0.005743177,0.005743177,0.005801212,5.6995177e-08
2019-02-07,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,81.00561,81.00561,80.295,4.8240447,0.004612547,0.004612547,0.0046512503,4.324818e-08
2019-02-08,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,70.518585,70.518585,70.84964,1.6631323,0.0044255224,0.0044255224,0.004448808,3.5068492e-08
2019-02-09,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,61.147984,61.147984,61.382034,0.428715,0.0042564007,0.0042564007,0.0043044025,5.0034696e-08
2019-02-10,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,57.541897,57.541897,55.752182,16.12208,0.0050060633,0.0050060633,0.0049478095,1.9155308e-08
2019-02-11,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,68.86158,68.86158,66.95273,83.725,0.005859027,0.005859027,0.0058086812,5.667444e-09
2019-02-12,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,63.50081,63.50081,63.00374,0.8963375,0.0041837464,0.0041837464,0.0042735506,4.7622077e-08
2019-02-13,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,65.81065,65.81065,71.51964,73.784424,0.0029040074,0.0029040074,0.0029468036,2.224625e-08
2019-02-14,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,48.971653,48.971653,51.407852,14.028399,0.0030013686,0.0030013686,0.0030554102,6.7184978e-09
2019-02-15,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,78.11468,78.11468,78.658295,16.355392,0.0037665104,0.0037665104,0.0038604077,3.2582758e-08
2019-02-16,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,61.243134,61.243134,64.563446,24.092888,0.003299592,0.003299592,0.0033086122,5.6358958e-09
2019-02-17,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,48.51556,48.51556,48.760025,1.3218247,0.0035016974,0.0035016974,0.003476584,1.43470364e-08
2019-02-18,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,49.503704,49.503704,50.0636,1.9320006,0.00450282,0.00450282,0.004594611,2.5685695e-08
