Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΒΟΛΟΥ,63.370285,63.370285,63.51042,28.212116,0.0037972527,0.0037972527,0.00391828,5.7100753e-08
2019-01-02,ΔΗΜΟΣ ΒΟΛΟΥ,60.712036,60.712036,60.793823,1.3594042,0.0038578948,0.0038578948,0.003815814,2.3410244e-08
2019-01-03,ΔΗΜΟΣ ΒΟΛΟΥ,96.192245,96.192245,96.45421,6.680994,0.0042290883,0.0042290883,0.0042623477,2.4400421e-08
2019-01-04,ΔΗΜΟΣ ΒΟΛΟΥ,97.82887,97.82887,97.906265,0.7558714,0.003960874,0.003960874,0.0039659403,6.9756474e-08
2019-01-05,ΔΗΜΟΣ ΒΟΛΟΥ,78.26611,78.26611,77.532715,3.74123,0.0032061713,0.0032061713,0.0032569843,4.9232007e-08
2019-01-06,ΔΗΜΟΣ ΒΟΛΟΥ,56.883026,56.883026,58.009247,10.805134,0.0028559251,0.0028559251,0.0029128178,1.2732011e-08
2019-01-07,ΔΗΜΟΣ ΒΟΛΟΥ,70.259735,70.259735,69.0217,20.773376,0.0029802113,0.0029802113,0.0029269247,4.3389967e-08
2019-01-08,ΔΗΜΟΣ ΒΟΛΟΥ,47.420624,47.420624,47.79953,0.521703,0.0018886274,0.0018886274,0.0018640107,1.1403654e-08
2019-01-09,ΔΗΜΟΣ ΒΟΛΟΥ,85.84105,85.84105,85.50853,27.045685,0.004531182,0.004531182,0.004484154,9.471921e-08
2019-01-10,ΔΗΜΟΣ ΒΟΛΟΥ,72.424164,72.424164,72.32846,1.7113135,0.0061153574,0.0061153574,0.0061372025,9.11957e-08
2019-01-11,ΔΗΜΟΣ ΒΟΛΟΥ,71.06642,71.06642,70.16847,21.0782,0.0049038604,0.0049038604,0.0049754456,6.028862e-08
2019-01-12,ΔΗΜΟΣ ΒΟΛΟΥ,82.16229,82.16229,80.56,33.29338,0.004151649,0.004151649,0.004084802,3.929857e-08
2019-01-13,ΔΗΜΟΣ ΒΟΛΟΥ,59.21985,59.21985,59.379517,0.76386786,0.003200827,0.003200827,0.0031924227,2.8014064e-08
2019-01-14,ΔΗΜΟΣ ΒΟΛΟΥ,67.309875,67.309875,66.72296,17.198315,0.0039728405,0.0039728405,0.004020435,1.2886235e-08
2019-01-15,ΔΗΜΟΣ ΒΟΛΟΥ,35.59796,35.59796,34.881165,9.255104,0.0019669563,0.0019669563,0.0019112856,6.0616934e-08
2019-01-16,ΔΗΜΟΣ ΒΟΛΟΥ,45.509125,45.509125,45.821136,6.466141,0.003175307,0.003175307,0.003174264,8.053425e-09
2019-01-17,ΔΗΜΟΣ ΒΟΛΟΥ,53.851685,53.851685,53.260864,4.3027077,0.0041375253,0.0041375253,0.004151771,2.8936622e-09
2019-01-18,ΔΗΜΟΣ ΒΟΛΟΥ,66.664154,66.664154,66.687836,0.43943948,0.005533819,0.005533819,0.005540942,1.1848806e-08
2019-01-19,ΔΗΜΟΣ ΒΟΛΟΥ,74.249374,74.249374,73.98424,6.2726545,0.0061082505,0.0061082505,0.0061567686,3.1208373e-08
2019-01-20,ΔΗΜΟΣ ΒΟΛΟΥ,66.17468,66.17468,66.21765,10.14382,0.0060437173,0.0060437173,0.0060815364,1.1864244e-07
2019-01-21,ΔΗΜΟΣ ΒΟΛΟΥ,81.636154,81.636154,82.80876,8.973819,0.0063489825,0.0063489825,0.0063931197,3.772952e-08
2019-01-22,ΔΗΜΟΣ ΒΟΛΟΥ,75.779495,75.779495,75.85152,0.15069169,0.0066044666,0.0066044666,0.006615434,3.0301578e-08
2019-01-23,ΔΗΜΟΣ ΒΟΛΟΥ,83.88527,83.88527,85.048355,13.328236,0.0074081942,0.0074081942,0.007391982,8.087458e-09
2019-01-24,ΔΗΜΟΣ ΒΟΛΟΥ,57.99527,57.99527,58.214508,0.7163565,0.0052569257,0.0052569257,0.005270426,1.01562225e-08
2019-01-25,ΔΗΜΟΣ ΒΟΛΟΥ,85.30313,85.30313,85.58951,32.436913,0.0065535414,0.0065535414,0.006571214,2.1745509e-08
2019-01-26,ΔΗΜΟΣ ΒΟΛΟΥ,73.46977,73.46977,73.067184,3.408905,0.004820513,0.004820513,0.0048259967,7.977874e-09
2019-01-27,ΔΗΜΟΣ ΒΟΛΟΥ,58.743484,58.743484,58.46248,0.87310946,0.0045242533,0.0045242533,0.0045207962,2.1423467e-09
2019-01-28,ΔΗΜΟΣ ΒΟΛΟΥ,65.83394,65.83394,66.46309,2.7699978,0.0060568787,0.0060568787,0.0060727634,2.5868978e-08
2019-01-29,ΔΗΜΟΣ ΒΟΛΟΥ,83.75566,83.75566,85.1768,37.342384,0.0071741156,0.0071741156,0.007131975,2.0245784e-08
2019-01-30,ΔΗΜΟΣ ΒΟΛΟΥ,73.46953,73.46953,73.359665,4.5936475,0.006125383,0.006125383,0.00621026,6.6641014e-08
2019-01-31,ΔΗΜΟΣ ΒΟΛΟΥ,54.07274,54.07274,53.7744,2.6004949,0.004225455,0.004225455,0.0042484626,8.309279e-09
2019-02-01,ΔΗΜΟΣ ΒΟΛΟΥ,58.796356,58.796356,58.138885,13.9223995,0.0058493298,0.0058493298,0.0057901423,1.0370258e-07
2019-02-02,ΔΗΜΟΣ ΒΟΛΟΥ,66.69771,66.69771,66.18843,5.2731786,0.006761659,0.006761659,0.006724555,1.6889091e-08
2019-02-03,ΔΗΜΟΣ ΒΟΛΟΥ,77.01964,77.01964,76.23863,5.20022,0.0075438656,0.0075438656,0.0075577833,2.827011e-08
2019-02-04,ΔΗΜΟΣ ΒΟΛΟΥ,86.73625,86.73625,88.00139,15.277131,0.00805277,0.00805277,0.008102123,1.2033117e-07
2019-02-05,ΔΗΜΟΣ ΒΟΛΟΥ,79.43829,79.43829,80.44269,3.263269,0.007011201,0.007011201,0.007049229,3.023092e-08
2019-02-06,ΔΗΜΟΣ ΒΟΛΟΥ,91.07483,91.07483,90.94202,1.64621,0.0064940415,0.0064940415,0.00648297,1.9032207e-08
2019-02-07,ΔΗΜΟΣ ΒΟΛΟΥ,72.92268,72.92268,73.22957,8.28528,0.0046539623,0.0046539623,0.004684033,2.1414793e-08
2019-02-08,ΔΗΜΟΣ ΒΟΛΟΥ,73.451935,73.451935,73.31058,1.0504414,0.004775039,0.004775039,0.004784352,1.6885164e-09
2019-02-09,ΔΗΜΟΣ ΒΟΛΟΥ,71.873245,71.873245,72.870316,13.947959,0.004875579,0.004875579,0.0048953826,2.3451875e-08
2019-02-10,ΔΗΜΟΣ ΒΟΛΟΥ,65.82323,65.82323,65.84447,6.780016,0.0054980945,0.0054980945,0.005516408,4.3545776e-09
2019-02-11,ΔΗΜΟΣ ΒΟΛΟΥ,56.03183,56.03183,55.178314,3.6758652,0.006010592,0.006010592,0.0059473217,5.8053708e-08
2019-02-12,ΔΗΜΟΣ ΒΟΛΟΥ,53.74617,53.74617,53.6429,7.716402,0.004147636,0.004147636,0.004158752,2.233788e-08
2019-02-13,ΔΗΜΟΣ ΒΟΛΟΥ,61.073837,61.073837,58.863388,46.950134,0.0033088124,0.0033088124,0.0032064414,1.2531025e-07
2019-02-14,ΔΗΜΟΣ ΒΟΛΟΥ,49.22841,49.22841,49.487442,2.108458,0.003272073,0.003272073,0.0032794045,4.741697e-09
2019-02-15,ΔΗΜΟΣ ΒΟΛΟΥ,79.66855,79.66855,79.78525,0.8286922,0.0043354267,0.0043354267,0.0043330723,7.01377e-09
2019-02-16,ΔΗΜΟΣ ΒΟΛΟΥ,51.20822,51.20822,51.230927,0.11829251,0.0032091022,0.0032091022,0.0032079995,7.970424e-11
2019-02-17,ΔΗΜΟΣ ΒΟΛΟΥ,53.514908,53.514908,53.152603,0.9926233,0.004144216,0.004144216,0.0041255,1.704084e-09
2019-02-18,ΔΗΜΟΣ ΒΟΛΟΥ,50.86023,50.86023,50.509888,6.672206,0.0048175026,0.0048175026,0.004797267,2.2367681e-08
2019-02-19,ΔΗΜΟΣ ΒΟΛΟΥ,59.983,59.983,59.345795,23.426586,0.0056183524,0.0056183524,0.00558931,8.002132e-08
2019-02-20,ΔΗΜΟΣ ΒΟΛΟΥ,49.115585,49.115585,48.396835,25.673143,0.0049825152,0.0049825152,0.004989519,1.4013511e-07
2019-02-21,ΔΗΜΟΣ ΒΟΛΟΥ,47.071198,47.071198,45.01187,34.623196,0.0044546686,0.0044546686,0.004275795,1.5262975e-07
2019-02-22,ΔΗΜΟΣ ΒΟΛΟΥ,57.56308,57.56308,58.38852,6.600979,0.005099702,0.005099702,0.005114037,1.7656008e-08
2019-02-23,ΔΗΜΟΣ ΒΟΛΟΥ,76.88097,76.88097,76.02086,11.867015,0.0032464552,0.0032464552,0.0032390046,4.132012e-09
