Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,55.54753,55.54753,55.54753,11.121964,0.00278001,0.00278001,0.00278001,6.004086e-13
2019-01-02,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,52.211792,52.211792,52.211792,0.011750221,0.0026329597,0.0026329597,0.0026329597,8.7905825e-09
2019-01-03,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,83.727646,83.727646,83.727646,1.8598673,0.0029115872,0.0029115872,0.0029115872,1.1004886e-08
2019-01-04,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,88.227554,88.227554,88.227554,0.027237892,0.0023296142,0.0023296142,0.0023296142,1.1910689e-08
2019-01-05,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,69.22266,69.22266,69.22266,8.014871,0.0019069987,0.0019069987,0.0019069987,4.4019544e-10
2019-01-06,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,64.52878,64.52878,64.52878,13.282608,0.0023186787,0.0023186787,0.0023186787,2.513758e-10
2019-01-07,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,65.25363,65.25363,65.25363,25.683317,0.0015820651,0.0015820651,0.0015820651,6.096812e-11
2019-01-08,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,52.14621,52.14621,52.14621,0.5914271,0.0013999289,0.0013999289,0.0013999289,6.800116e-10
2019-01-09,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,91.94066,91.94066,91.94066,1.5661643,0.0026190649,0.0026190649,0.0026190649,2.220446e-12
2019-01-10,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,88.75375,88.75375,88.75375,0.15642643,0.0040435893,0.0040435893,0.0040435893,9.439205e-11
2019-01-11,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,67.41994,67.41994,67.41994,5.313835,0.0027319267,0.0027319267,0.0027319267,1.4190391e-09
2019-01-12,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,72.11371,72.11371,72.11371,7.8115883,0.0023138886,0.0023138886,0.0023138886,1.1828014e-09
2019-01-13,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,62.567505,62.567505,62.567505,2.6533356,0.0023283341,0.0023283341,0.0023283341,3.356547e-09
2019-01-14,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,78.181946,78.181946,78.181946,1.3744357,0.0032011687,0.0032011687,0.0032011687,2.0463631e-10
2019-01-15,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,49.748352,49.748352,49.748352,3.2217445,0.0016704232,0.0016704232,0.0016704232,1.1664589e-09
2019-01-16,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,54.460785,54.460785,54.460785,0.32358766,0.002490241,0.002490241,0.002490241,5.852642e-09
2019-01-17,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,55.098267,55.098267,55.098267,2.733468,0.0031282098,0.0031282098,0.0031282098,1.5660007e-08
2019-01-18,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,72.31137,72.31137,72.31137,2.1543589,0.004120265,0.004120265,0.004120265,3.315236e-09
2019-01-19,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,80.65074,80.65074,80.65074,0.15642643,0.0046224855,0.0046224855,0.0046224855,1.352479e-09
2019-01-20,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,74.15271,74.15271,74.15271,1.6129496,0.004943207,0.004943207,0.004943207,5.8100852e-08
2019-01-21,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,75.7487,75.7487,75.7487,0.39859986,0.004559502,0.004559502,0.004559502,1.8097698e-08
2019-01-22,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,99.749954,99.749954,99.749954,0.4686365,0.005430553,0.005430553,0.005430553,3.0708236e-08
2019-01-23,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,99.7007,99.7007,99.7007,0.24951196,0.0054547116,0.0054547116,0.0054547116,2.6303727e-08
2019-01-24,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,57.144684,57.144684,57.144684,4.345026,0.004100089,0.004100089,0.004100089,5.8676903e-08
2019-01-25,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,98.2233,98.2233,98.2233,0.43838882,0.004884999,0.004884999,0.004884999,9.773524e-08
2019-01-26,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,74.2415,74.2415,74.2415,1.6616821,0.0028055185,0.0028055185,0.0028055185,7.1435267e-09
2019-01-27,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,57.238846,57.238846,57.238846,0.6777277,0.0033977255,0.0033977255,0.0033977255,8.546412e-09
2019-01-28,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,79.36983,79.36983,79.36983,0.07965183,0.005163554,0.005163554,0.005163554,1.3885884e-08
2019-01-29,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,97.094284,97.094284,97.094284,1.1175215,0.005783748,0.005783748,0.005783748,3.6938985e-08
2019-01-30,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,90.51201,90.51201,90.51201,2.2441444,0.0056323633,0.0056323633,0.0056323633,2.8533819e-08
2019-01-31,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,69.27928,69.27928,69.27928,2.1629677,0.004215382,0.004215382,0.004215382,6.18667e-08
2019-02-01,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,63.022675,63.022675,63.022675,6.583935,0.004884986,0.004884986,0.004884986,3.5072972e-08
2019-02-02,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,70.789505,70.789505,70.789505,18.648228,0.0059480853,0.0059480853,0.0059480853,5.7498998e-08
2019-02-03,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,84.94615,84.94615,84.94615,0.12844944,0.006713245,0.006713245,0.006713245,2.6439238e-08
2019-02-04,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,83.79631,83.79631,83.79631,0.37551522,0.006896142,0.006896142,0.006896142,4.1505373e-08
2019-02-05,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,59.44513,59.44513,59.44513,0.038146973,0.005256679,0.005256679,0.005256679,5.5122914e-08
2019-02-06,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,91.11438,91.11438,91.11438,10.9855995,0.0049735717,0.0049735717,0.0049735717,1.3350324e-08
2019-02-07,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,68.313065,68.313065,68.313065,0.5646994,0.004068913,0.004068913,0.004068913,1.5548324e-08
2019-02-08,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,66.768585,66.768585,66.768585,37.34833,0.0039766794,0.0039766794,0.0039766794,9.740019e-08
2019-02-09,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,54.200394,54.200394,54.200394,28.964157,0.0036927694,0.0036927694,0.0036927694,6.286406e-08
2019-02-10,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,53.785873,53.785873,53.785873,27.927715,0.004322408,0.004322408,0.004322408,9.362403e-08
2019-02-11,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,51.479584,51.479584,51.479584,3.143349,0.004618734,0.004618734,0.004618734,5.113931e-08
2019-02-12,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,46.851395,46.851395,46.851395,3.674859,0.0025783349,0.0025783349,0.0025783349,2.2908218e-09
2019-02-13,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,35.261826,35.261826,35.261826,2.7626076,0.0016593433,0.0016593433,0.0016593433,5.684342e-10
2019-02-14,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,61.298965,61.298965,61.298965,8.880283,0.003046231,0.003046231,0.003046231,1.1869048e-09
2019-02-15,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,61.29892,61.29892,61.29892,64.53235,0.0030468043,0.0030468043,0.0030468043,3.5565847e-08
2019-02-16,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,48.41989,48.41989,48.41989,2.229539,0.003151375,0.003151375,0.003151375,1.0982717e-09
2019-02-17,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,44.483658,44.483658,44.483658,0.007385254,0.003525579,0.003525579,0.003525579,1.2028067e-08
2019-02-18,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,45.825317,45.825317,45.825317,8.237573,0.0041307975,0.0041307975,0.0041307975,4.8125344e-08
2019-02-19,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,57.473724,57.473724,57.473724,13.554478,0.005071018,0.005071018,0.005071018,8.856932e-08
2019-02-20,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,35.310898,35.310898,35.310898,0.0015258789,0.0034669181,0.0034669181,0.0034669181,2.7338402e-08
2019-02-21,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,37.022614,37.022614,37.022614,0.72599053,0.0030845366,0.0030845366,0.0030845366,2.2794246e-09
2019-02-22,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,67.42319,67.42319,67.42319,12.144272,0.0041933837,0.0041933837,0.0041933837,4.3272408e-10
2019-02-23,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,65.94762,65.94762,65.94762,0.37971592,0.0021332193,0.0021332193,0.0021332193,9.01554e-09
2019-02-24,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,51.929947,51.929947,51.929947,0.33535862,0.0016960367,0.0016960367,0.0016960367,2.9033345e-09
2019-02-25,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,58.571472,58.571472,58.571472,0.1922617,0.0022891914,0.0022891914,0.0022891914,6.5036296e-09
2019-02-26,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,35.477173,35.477173,35.477173,0.15875244,0.0026013353,0.0026013353,0.0026013353,8.3165475e-09
2019-02-27,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,42.917877,42.917877,42.917877,1.2383082,0.002688036,0.002688036,0.002688036,5.4802882e-09
2019-02-28,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,31.117813,31.117813,31.117813,0.08697891,0.0028413886,0.0028413886,0.0028413886,5.19723e-09
2019-03-01,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,29.979675,29.979675,29.979675,2.6836455,0.0032960968,0.0032960968,0.0032960968,5.197842e-08
2019-03-02,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,50.347656,50.347656,50.347656,0.40915012,0.0042280694,0.0042280694,0.0042280694,1.8990477e-08
2019-03-03,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,37.73625,37.73625,37.73625,1.8518851,0.0028688773,0.0028688773,0.0028688773,6.2371797e-10
2019-03-04,ΔΗΜΟΣ ΕΔΕΣΣΑΣ,30.899673,30.899673,30.899673,15.739351,0.0030733384,0.0030733384,0.0030733384,9.233362e-08
